Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Сургутская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277					
1	"Число избирателей, внесенных в списки"	56758	2769	1068	1296	1323	1242	1123	604	1402	1315	1618	1964	2024	2743	1828	2085	1558	156	953	2730	2062	2169	1307	1890	1168	2216	1872	1748	1693	2632	2680	1590	390	506	87	791	145	1659	120	232					
2	"Число бюллетеней, полученных участковыми комиссиями"	51230	2600	1000	1200	1200	1150	1050	600	1350	1300	1400	1750	1850	2450	1600	1850	1450	150	900	2150	1650	1800	1150	1750	1050	2000	1550	1500	1600	2400	2500	1500	360	480	70	750	130	1660	110	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	16	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	154	21	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30660	1416	485	610	584	600	560	161	635	608	922	1071	1047	1544	1120	1264	716	84	371	1805	1274	1166	650	925	545	1141	1050	999	1008	1621	1749	768	308	297	67	482	105	686	54	162					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	190	0	16	9	9	9	2	5	6	3	6	0	18	0	2	3	5	0	6	0	6	5	0	0	0	5	3	5	0	8	9	3	0	18	0	24	0	5	0	0					
6	Число погашенных бюллетеней	20001	1184	499	581	607	541	488	434	709	689	472	679	785	906	478	583	729	66	388	345	354	629	500	825	452	854	497	496	592	771	742	729	52	165	3	244	25	815	35	58					
7	Число бюллетеней в переносных ящиках для голосования	569	0	16	9	9	9	2	5	6	3	6	0	18	0	2	3	5	0	141	0	22	5	0	0	53	5	3	5	0	8	9	3	0	18	0	24	0	159	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	30637	1416	485	610	584	600	560	161	635	608	922	1071	1046	1544	1120	1264	716	84	371	1805	1252	1166	650	925	545	1141	1050	999	1008	1621	1749	768	308	297	67	482	105	686	54	162					
9	Число недействительных бюллетеней	286	17	1	7	7	3	6	3	13	3	10	8	0	14	9	17	9	2	3	10	10	13	5	18	9	14	9	9	10	16	7	11	3	2	0	3	0	3	0	2					
10	Число действительных бюллетеней	30920	1399	500	612	586	606	556	163	628	608	918	1063	1064	1530	1113	1250	712	82	509	1795	1264	1158	645	907	589	1132	1044	995	998	1613	1751	760	305	313	67	503	105	842	75	160					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	496	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	6	8	8	8	8	8	22	20	20	20	20	20	20	20	20	18	18	18	18	18	18	18	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	160	8	0	3	3	1	1	1	2	3	3	8	8	7	7	7	5	0	8	8	8	5	4	0	3	12	7	1	1	15	13	2	1	2	0	2	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	197	9	6	0	4	1	0	0	0	0	0	13	6	6	7	1	13	6	16	16	25	10	2	4	2	10	7	1	2	8	0	2	4	0	2	1	0	13	0	0					
14	Число погашенных открепительных удостоверений	336	0	8	5	5	7	7	7	6	5	5	0	0	1	1	1	3	6	0	0	0	3	4	22	17	8	13	19	19	5	7	18	17	16	18	16	18	17	18	14					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	424	3	7	2	9	4	5	2	7	7	14	9	18	10	15	10	5	2	9	37	23	22	17	20	15	20	9	8	13	15	24	23	8	6	0	8	1	15	0	2					
		1.35%	0.21%	1.39%	0.32%	1.51%	0.65%	0.88%	1.20%	1.09%	1.14%	1.50%	0.84%	1.69%	0.64%	1.33%	0.78%	0.69%	2.38%	1.75%	2.04%	1.80%	1.87%	2.61%	2.16%	2.50%	1.74%	0.85%	0.79%	1.28%	0.92%	1.36%	2.98%	2.59%	1.90%	0.0%	1.58%	0.95%	1.77%	0.0%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	727	28	15	16	12	17	12	6	20	15	25	28	19	30	27	26	12	0	3	35	12	34	16	18	13	34	34	41	23	62	54	15	7	2	0	4	1	10	0	1					
		2.32%	1.97%	2.99%	2.58%	2.02%	2.79%	2.13%	3.61%	3.12%	2.45%	2.69%	2.61%	1.78%	1.94%	2.40%	2.05%	1.66%	0.0%	0.58%	1.93%	0.94%	2.90%	2.46%	1.94%	2.17%	2.96%	3.22%	4.08%	2.28%	3.80%	3.07%	1.94%	2.27%	0.63%	0.0%	0.79%	0.95%	1.18%	0.0%	0.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	829	40	9	13	18	29	17	7	27	19	30	24	45	31	25	53	16	1	11	38	17	24	13	26	15	18	29	21	21	52	51	15	6	6	2	14	5	39	0	2					
		2.65%	2.82%	1.79%	2.10%	3.03%	4.76%	3.02%	4.21%	4.21%	3.10%	3.23%	2.24%	4.22%	2.00%	2.22%	4.18%	2.21%	1.19%	2.14%	2.10%	1.33%	2.04%	2.0%	2.81%	2.50%	1.57%	2.75%	2.09%	2.08%	3.19%	2.90%	1.94%	1.94%	1.90%	2.98%	2.76%	4.76%	4.61%	0.0%	1.23%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	888	44	15	25	13	16	13	5	12	21	15	22	21	38	33	23	6	1	2	33	24	30	26	29	19	40	34	51	31	95	85	21	3	4	0	11	0	27	0	0					
		2.84%	3.10%	2.99%	4.03%	2.19%	2.62%	2.31%	3.01%	1.87%	3.43%	1.61%	2.05%	1.97%	2.46%	2.94%	1.81%	0.83%	1.19%	0.39%	1.82%	1.88%	2.56%	4.0%	3.13%	3.17%	3.49%	3.22%	5.07%	3.07%	5.83%	4.83%	2.72%	0.97%	1.26%	0.0%	2.17%	0.0%	3.19%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	133	12	2	1	5	1	2	0	4	3	6	2	6	9	2	2	0	0	2	5	12	5	5	2	3	5	4	3	3	8	6	4	1	1	0	2	0	3	0	2					
		0.42%	0.84%	0.39%	0.16%	0.84%	0.16%	0.35%	0.0%	0.62%	0.49%	0.64%	0.18%	0.56%	0.58%	0.17%	0.15%	0.0%	0.0%	0.39%	0.27%	0.94%	0.42%	0.76%	0.21%	0.50%	0.43%	0.37%	0.29%	0.29%	0.49%	0.34%	0.51%	0.32%	0.31%	0.0%	0.39%	0.0%	0.35%	0.0%	1.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	111	3	0	5	2	0	3	1	1	4	3	5	8	1	3	2	2	0	0	8	3	7	1	3	4	2	1	3	8	2	9	3	2	5	1	2	0	3	0	1					
		0.35%	0.21%	0.0%	0.80%	0.33%	0.0%	0.53%	0.60%	0.15%	0.65%	0.32%	0.46%	0.75%	0.06%	0.26%	0.15%	0.27%	0.0%	0.0%	0.44%	0.23%	0.59%	0.15%	0.32%	0.66%	0.17%	0.09%	0.29%	0.79%	0.12%	0.51%	0.38%	0.64%	1.58%	1.49%	0.39%	0.0%	0.35%	0.0%	0.61%					
24	"7. ""Новый курс - Автомобильная Россия"""	349	14	6	4	4	4	4	1	9	2	6	15	12	17	10	16	14	2	5	28	7	18	3	14	7	19	17	8	14	17	26	7	3	0	0	3	2	11	0	0					
		1.11%	0.98%	1.19%	0.64%	0.67%	0.65%	0.71%	0.60%	1.40%	0.32%	0.64%	1.40%	1.12%	1.10%	0.89%	1.26%	1.94%	2.38%	0.97%	1.55%	0.54%	1.53%	0.46%	1.51%	1.17%	1.65%	1.61%	0.79%	1.38%	1.04%	1.47%	0.90%	0.97%	0.0%	0.0%	0.59%	1.90%	1.30%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	40	2	1	0	1	0	2	0	2	1	0	2	5	1	0	0	0	0	1	0	0	0	0	1	1	1	3	0	1	1	6	3	3	0	0	0	0	2	0	0					
