Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63242	1679	738	1044	817	873	1485	1431	1412	1008	1735	1153	1385	1402	1248	1011	1448	756	857	1040	1435	687	978	1110	1451	1284	669	741	960	449	583	721	717	740	970	627	1053	890	935	597	985	870	578	880	859	1157	808	1372	1381	621	265	1399	1267	1219	1450	1330	1730	1571	1181	1077	1123									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62180	1630	740	1030	800	850	1470	1420	1390	990	1730	1130	1360	1360	1220	990	1420	740	850	1020	1420	680	960	1080	1430	1260	660	730	940	440	580	710	710	730	960	620	1030	880	920	600	980	850	570	870	850	1140	810	1370	1330	590	260	1380	1230	1200	1430	1320	1670	1540	1160	1060	1090									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50530	1379	660	871	679	713	1218	1186	1157	821	1457	968	1094	1160	1054	794	1243	459	568	870	1213	567	787	970	1210	1062	516	591	823	372	384	588	588	574	716	472	933	714	720	508	675	560	476	640	674	876	656	1053	1131	463	195	1125	1135	993	1228	1135	1340	1168	562	786	1000									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4521	82	19	27	25	54	47	62	50	48	53	55	100	32	49	106	75	101	170	39	79	14	55	52	23	36	60	41	30	21	121	25	20	52	105	56	41	50	89	22	230	180	27	114	66	122	48	128	96	72	30	73	54	83	54	26	77	179	444	162	70									
6	Число погашенных избирательных бюллетеней	7129	169	61	132	96	83	205	172	183	121	220	107	166	168	117	90	102	180	112	111	128	99	118	58	197	162	84	98	87	47	75	97	102	104	139	92	56	116	111	70	75	110	67	116	110	142	106	189	103	55	35	182	41	124	148	159	253	193	154	112	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4521	82	19	27	25	54	47	62	50	48	53	55	100	32	49	106	75	101	170	39	79	14	55	52	23	36	60	41	30	21	121	25	20	52	105	56	41	50	89	22	230	180	27	114	66	122	48	128	96	72	30	73	54	83	54	26	77	179	444	162	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	50529	1379	660	871	679	713	1218	1186	1157	821	1457	968	1094	1160	1054	794	1243	459	568	870	1213	567	787	970	1209	1062	516	591	823	372	384	588	588	574	716	472	933	714	720	508	675	560	476	640	674	876	656	1053	1131	463	195	1125	1135	993	1228	1135	1340	1168	562	786	1000									
9	Число недействительных избирательных бюллетеней	356	28	10	4	0	8	4	0	10	3	0	0	0	0	12	37	0	4	0	9	7	0	5	8	0	0	23	5	8	6	0	0	0	0	0	0	0	12	0	0	0	3	0	15	9	6	6	6	10	8	5	4	0	23	11	0	29	3	0	7	8									
10	Число действительных избирательных бюллетеней	54694	1433	669	894	704	759	1261	1248	1197	866	1510	1023	1194	1192	1091	863	1318	556	738	900	1285	581	837	1014	1232	1098	553	627	845	387	505	613	608	626	821	528	974	752	809	530	905	737	503	739	731	992	698	1175	1217	527	220	1194	1189	1053	1271	1161	1388	1344	1006	941	1062									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	945	30	10	20	10	10	20	20	20	20	30	20	20	20	20	10	20	10	10	10	20	10	10	20	20	20	10	10	10	10	10	10	10	10	10	10	20	10	10	10	20	10	10	10	10	20	15	20	20	10	10	20	20	20	20	20	30	30	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	383	8	5	9	0	3	9	9	7	4	30	7	15	13	10	2	6	1	5	4	4	7	5	6	10	2	7	4	1	1	2	1	0	3	7	3	5	4	2	2	8	5	1	3	6	4	11	12	11	2	0	4	7	9	5	20	19	11	5	2	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	126	1	0	0	0	4	0	0	0	1	0	0	0	4	7	0	0	1	0	0	1	1	2	0	1	0	2	4	2	1	0	2	0	0	1	0	3	0	0	0	0	2	0	0	0	3	0	0	27	18	1	4	1	2	0	0	17	1	10	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	562	22	5	11	10	7	11	11	13	16	0	13	5	7	10	8	14	9	5	6	16	3	5	14	10	18	3	6	9	9	8	9	10	7	3	7	15	6	8	8	12	5	9	7	4	16	4	8	9	8	10	16	13	11	15	0	11	19	5	18	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
