Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    район Внуково														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №4007					
1	"Число избирателей, внесенных в список избирателей"	17060	904	3162	2656	3084	3266	3101	887					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13600	600	2500	2000	2300	2800	2400	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10007	498	2027	1243	1645	2029	2016	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	186	41	8	13	47	42	35	0					
6	Число погашенных избирательных бюллетеней	3407	61	465	744	608	729	349	451					
7	Число избирательных бюллетеней в переносных ящиках для голосования	186	41	8	13	47	42	35	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9786	498	2022	1243	1645	1911	2000	467					
9	Число недействительных избирательных бюллетеней	332	5	39	27	167	33	54	7					
10	Число действительных избирательных бюллетеней	9640	534	1991	1229	1525	1920	1981	460					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	30	30	60	60	60	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	190	15	20	35	30	50	40	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	550	98	29	64	96	58	59	146					
14	Число погашенных неиспользованных открепительных удостоверений	110	15	10	25	30	10	20	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	3	2	2	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1110	61	262	178	208	137	227	37					
		11.13%	11.32%	12.91%	14.17%	12.29%	7.01%	11.15%	7.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	963	61	235	174	78	234	134	47					
		9.66%	11.32%	11.58%	13.85%	4.61%	11.98%	6.58%	10.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	108	3	27	13	24	10	29	2					
		1.08%	0.56%	1.33%	1.04%	1.42%	0.51%	1.43%	0.43%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2142	81	409	227	359	498	496	72					
		21.48%	15.03%	20.15%	18.07%	21.22%	25.50%	24.37%	15.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	375	41	94	105	76	20	27	12					
		3.76%	7.61%	4.63%	8.36%	4.49%	1.02%	1.33%	2.57%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4890	283	951	528	778	1011	1050	289					
		49.04%	52.50%	46.85%	42.04%	45.98%	51.77%	51.60%	61.88%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	52	4	13	4	2	10	18	1					
		0.52%	0.74%	0.64%	0.32%	0.12%	0.51%	0.88%	0.21%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
