Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Каргасокская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17075	239	372	183	339	1227	1411	1052	787	958	1513	1476	599	639	215	106	170	202	180	168	146	347	377	202	131	198	1288	1699	280	424	147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16474	240	370	177	336	1100	1300	1000	750	900	1400	1400	550	600	212	106	172	203	195	187	150	350	380	205	145	190	1300	1685	285	440	146									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6014	150	201	83	158	369	396	329	251	304	462	408	144	158	145	52	109	159	92	74	50	121	178	78	34	127	416	523	96	242	105									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	553	11	10	10	34	73	11	27	4	12	20	23	17	1	8	7	12	4	11	2	8	46	11	45	4	12	30	38	12	45	5									
6	Число погашенных избирательных бюллетеней	9899	79	159	84	144	658	893	644	495	584	918	969	389	441	59	47	51	40	92	111	92	183	191	80	107	51	854	1118	177	153	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	561	11	10	10	34	73	11	27	4	12	20	23	17	1	8	7	12	4	11	2	8	46	11	47	4	12	30	44	12	45	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6013	150	201	83	158	368	396	329	251	304	462	408	144	158	145	52	109	159	92	74	50	121	178	78	34	127	416	523	96	242	105									
9	Число недействительных избирательных бюллетеней	156	4	8	0	7	11	12	11	3	7	8	10	0	2	6	0	5	2	0	1	3	0	6	2	2	10	7	21	0	5	3									
10	Число действительных избирательных бюллетеней	6418	157	203	93	185	430	395	345	252	309	474	421	161	157	147	59	116	161	103	75	55	167	183	123	36	129	439	546	108	282	107									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	10	20	10	15	10	10	10	10	10	10	10	5	5	10	10	15	10	10	5	5	10	10	10	10	10	30	40	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	65	0	3	0	0	5	3	1	2	4	5	4	2	1	0	0	3	0	7	1	0	4	1	6	0	1	5	3	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	0	0	2	4	1	0	1	2	0	2	2	1	1	2	1	1	0	2	1	0	1	0	2	0	3	1	1	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	285	10	17	10	15	5	7	9	8	6	5	6	3	4	10	10	12	10	3	4	5	6	9	4	10	9	25	37	10	8	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	1	2	2	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0									
