Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Унинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7513	185	156	85	70	387	302	118	109	314	494	228	200	100	160	1129	1018	1152	1022	171	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7315	180	150	80	70	380	300	115	100	300	480	230	200	90	160	1100	1000	1100	1000	170	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3983	106	99	43	40	223	175	65	73	185	283	128	113	60	76	583	509	577	474	91	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	617	9	14	7	10	18	24	24	5	20	71	22	20	5	16	110	66	73	67	25	11									
6	Число погашенных избирательных бюллетеней	2715	65	37	30	20	139	101	26	22	95	126	80	67	25	68	407	425	450	459	54	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	617	9	14	7	10	18	24	24	5	20	71	22	20	5	16	110	66	73	67	25	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3981	106	99	43	40	223	175	65	73	185	283	128	113	60	76	582	509	577	473	91	80									
9	Число недействительных избирательных бюллетеней	117	4	0	0	0	6	3	2	0	3	6	6	6	3	3	9	24	20	18	4	0									
10	Число действительных избирательных бюллетеней	4481	111	113	50	50	235	196	87	78	202	348	144	127	62	89	683	551	630	522	112	91									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	5	15	5	5	10	10	10	5	10	20	15	10	5	10	30	30	30	30	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	202	4	15	3	5	8	10	10	5	7	7	15	7	2	10	27	30	6	25	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	1	1	1	3	1	10	1	1	3	5	2	1	2	3	7	0	3	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	68	1	0	2	0	2	0	0	0	3	13	0	3	3	0	3	0	24	5	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	0	1	1	0	0	0	0	0	0	1	7	1	2	8	0	0									
