Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Шуйская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15224	2303	464	344	355	289	966	83	139	78	292	298	316	484	439	2537	620	221	625	495	139	679	246	2174	265	373									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13070	2000	400	300	300	250	800	90	150	80	250	250	300	400	400	2000	500	200	600	400	100	600	200	2000	200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6839	845	184	200	170	161	353	40	53	37	113	107	150	250	228	1506	265	117	308	148	66	326	105	851	116	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2074	710	84	57	28	64	73	11	23	9	33	0	33	70	65	203	25	18	83	67	28	20	46	189	70	65									
6	Число погашенных избирательных бюллетеней	4157	445	132	43	102	25	374	39	74	34	104	143	117	80	107	291	210	65	209	185	6	254	49	960	14	95									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2074	710	84	57	28	64	73	11	23	9	33	0	33	70	65	203	25	18	83	67	28	20	46	189	70	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6839	845	184	200	170	161	353	40	53	37	113	107	150	250	228	1506	265	117	308	148	66	326	105	851	116	140									
9	Число недействительных избирательных бюллетеней	96	0	4	2	1	0	7	2	0	0	0	0	0	3	2	17	7	2	4	1	1	15	3	24	0	1									
10	Число действительных избирательных бюллетеней	8817	1555	264	255	197	225	419	49	76	46	146	107	183	317	291	1692	283	133	387	214	93	331	148	1016	186	204									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	25	10	10	10	5	15	5	5	5	10	10	10	10	10	25	10	5	15	10	5	10	5	30	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	216	25	10	10	3	0	15	5	5	5	10	0	10	10	10	16	4	4	15	5	1	10	5	30	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	249	8	3	4	8	0	3	1	1	2	3	2	3	9	10	49	30	6	4	1	4	29	3	56	3	7									
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	0	7	5	0	0	0	0	0	10	0	0	0	9	6	1	0	5	4	0	0	0	0	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	4	3	0	0	1	1	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	4	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	5	2	3	2	3	8	1	0	0	0	4	4	3	2	11	1	0	2	1	2	1	0	15	0	2									
		0.81%	0.32%	0.75%	1.17%	1.01%	1.33%	1.88%	1.96%	0.00%	0.00%	0.00%	3.74%	2.19%	0.94%	0.68%	0.64%	0.34%	0.00%	0.51%	0.47%	2.13%	0.29%	0.00%	1.44%	0.00%	0.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	257	21	6	6	12	3	19	0	7	4	2	1	8	8	10	31	7	3	17	7	6	15	4	47	4	9									
		2.88%	1.35%	2.24%	2.33%	6.06%	1.33%	4.46%	0.00%	9.21%	8.70%	1.37%	0.93%	4.37%	2.50%	3.41%	1.81%	2.41%	2.22%	4.35%	3.26%	6.38%	4.34%	2.65%	4.52%	2.15%	4.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	195	16	7	8	4	6	16	1	8	1	0	6	2	14	9	34	18	4	5	5	2	3	2	16	2	6									
		2.19%	1.03%	2.61%	3.11%	2.02%	2.67%	3.76%	1.96%	10.53%	2.17%	0.00%	5.61%	1.09%	4.38%	3.07%	1.99%	6.21%	2.96%	1.28%	2.33%	2.13%	0.87%	1.32%	1.54%	1.08%	2.93%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5094	1127	117	163	87	151	177	26	26	18	64	26	136	150	175	1143	110	88	180	94	60	169	103	461	125	118									
		57.15%	72.48%	43.66%	63.42%	43.94%	67.11%	41.55%	50.98%	34.21%	39.13%	43.84%	24.30%	74.32%	46.88%	59.73%	66.88%	37.93%	65.19%	46.04%	43.72%	63.83%	48.84%	68.21%	44.33%	67.20%	57.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	54	11	2	0	0	1	3	0	0	0	0	1	0	2	0	12	4	0	5	3	0	2	0	5	2	1									
		0.61%	0.71%	0.75%	0.00%	0.00%	0.44%	0.70%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.63%	0.00%	0.70%	1.38%	0.00%	1.28%	1.40%	0.00%	0.58%	0.00%	0.48%	1.08%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0									
		0.09%	0.13%	0.00%	0.00%	0.00%	1.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1473	204	67	28	30	30	107	12	20	11	38	36	17	83	33	222	46	18	61	43	16	74	19	203	23	32									
		16.53%	13.12%	25.00%	10.89%	15.15%	13.33%	25.12%	23.53%	26.32%	23.91%	26.03%	33.64%	9.29%	25.94%	11.26%	12.99%	15.86%	13.33%	15.60%	20.00%	17.02%	21.39%	12.58%	19.52%	12.37%	15.61%									
