Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																											
Дата голосования: 18.09.2016																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Красногорская																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																											
																																																																																																											
		Сумма	УИК №632	УИК №633	УИК №657	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №3574	УИК №3575	УИК №3582									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	160139	170	41	549	599	1102	1846	2181	2017	1064	1486	2139	2285	1639	1618	3006	1761	2067	2079	2127	1953	2874	1199	1283	1140	1578	1421	1351	2106	2330	1292	1395	2404	1398	1260	1712	1231	1833	1454	1351	1593	1263	2424	1415	1444	1581	1421	1452	1606	1780	1810	2250	2238	2198	1426	2013	1514	1581	1689	1503	1940	1962	1561	1915	1389	1296	2913	2824	1392	1359	2525	2794	315	1712	2092	328	2275	1236	2125	1171	1845	1347	2539	1542	1936	578	1082	322	1467	795	2504	1553	1199	1158	2654	2794	3158									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112100	500	300	400	450	800	1300	1550	1450	750	1050	1500	1650	1200	1150	1600	1200	1450	1450	1450	1400	2000	800	900	800	1100	1050	850	1450	1650	950	1000	1700	1000	900	1200	850	1300	1050	1000	1150	900	1700	1050	950	1100	1000	1050	1150	1250	1300	1650	1600	1550	1000	1400	1100	1150	1150	1050	1400	1400	1100	1350	1000	950	1950	1750	1000	950	1800	1900	250	1200	1400	550	1600	850	1400	800	1300	800	1700	1050	1350	400	700	200	1000	450	1850	900	900	850	1750	1800	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	56231	126	37	136	212	308	577	742	708	327	406	828	815	587	623	1312	489	785	769	915	723	928	403	440	388	528	532	432	706	733	412	474	871	529	426	559	439	702	580	490	635	505	860	471	483	441	553	551	657	596	708	750	825	756	528	727	487	490	602	492	573	660	601	592	391	414	928	855	424	495	769	937	111	659	898	305	819	551	913	496	712	526	1034	609	793	237	470	136	603	349	759	372	421	382	725	731	867									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	994	28	0	3	6	28	6	11	13	8	6	7	2	3	7	14	22	2	2	1	9	7	8	10	8	6	13	158	4	7	0	8	3	5	3	3	1	11	6	8	13	10	10	6	0	1	4	11	8	6	4	10	13	10	5	9	5	7	2	2	5	6	7	3	11	8	1	3	5	9	4	5	6	15	7	23	7	8	10	8	1	32	39	11	29	16	83	1	4	16	9	5	4	8	0	0	2									
6	Число погашенных избирательных бюллетеней	54875	346	263	261	232	464	717	797	729	415	638	665	833	610	520	274	689	663	679	534	668	1065	389	450	404	566	505	260	740	910	538	518	826	466	471	638	410	587	464	502	502	385	830	573	467	658	443	488	485	648	588	890	762	784	467	664	608	653	546	556	822	734	492	755	598	528	1021	892	571	446	1027	958	133	526	495	222	774	291	477	296	587	242	627	430	528	147	147	63	393	85	1082	523	475	460	1025	1069	1231									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	994	28	0	3	6	28	6	11	13	8	6	7	2	3	7	14	22	2	2	1	9	7	8	10	8	6	13	158	4	7	0	8	3	5	3	3	1	11	6	8	13	10	10	6	0	1	4	11	8	6	4	10	13	10	5	9	5	7	2	2	5	6	7	3	11	8	1	3	5	9	4	5	6	15	7	23	7	8	10	8	1	32	39	11	29	16	83	1	4	16	9	5	4	8	0	0	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	56171	126	37	136	212	307	577	742	708	327	406	828	815	586	623	1312	489	785	769	915	723	928	403	440	388	528	532	432	703	733	412	474	871	529	424	546	439	702	580	490	635	504	860	471	483	441	553	551	657	596	706	747	825	756	528	726	487	490	601	492	573	660	601	592	391	414	928	855	424	495	764	930	111	659	896	305	819	551	903	496	712	526	1034	609	793	237	469	136	603	349	759	367	421	380	725	731	867									
9	Число недействительных избирательных бюллетеней	1365	11	0	2	12	8	22	21	11	5	13	23	17	20	16	30	15	14	16	19	12	23	8	5	3	23	13	12	10	7	3	7	22	5	1	8	13	22	8	6	12	12	13	13	12	15	8	8	27	11	19	13	19	38	11	23	29	16	13	16	14	28	16	19	21	23	16	12	9	11	15	27	2	19	22	11	20	13	20	11	16	5	27	18	23	8	8	1	16	12	20	12	12	5	8	13	18									
10	Число действительных избирательных бюллетеней	55800	143	37	137	206	327	561	732	710	330	399	812	800	569	614	1296	496	773	755	897	720	912	403	445	393	511	532	578	697	733	409	475	852	529	426	541	427	691	578	492	636	502	857	464	471	427	549	554	638	591	691	744	819	728	522	712	463	481	590	478	564	638	592	576	381	399	913	846	420	493	753	908	115	655	881	317	806	546	893	493	697	553	1046	602	799	245	544	136	591	353	748	360	413	383	717	718	851									
