Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Волгодонская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24115	460	570	188	239	658	958	613	1029	732	852	746	395	1137	1020	201	343	968	704	368	262	1391	487	1225	1461	1614	1776	814	365	959	1013	567									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22020	400	525	175	210	600	875	550	925	650	800	700	350	1050	925	200	325	900	650	350	250	1275	450	1100	1325	1450	1600	775	325	875	925	510									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10407	180	317	108	167	253	352	262	460	338	435	434	142	368	387	157	152	455	265	200	131	599	203	560	586	715	741	260	134	421	406	219									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	975	10	9	6	2	55	35	31	14	20	16	4	33	39	41	9	27	33	24	15	11	77	36	31	152	47	40	35	28	30	38	27									
6	Число погашенных избирательных бюллетеней	10638	210	199	61	41	292	488	257	451	292	349	262	175	643	497	34	146	412	361	135	108	599	211	509	587	688	819	480	163	424	481	264									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	975	10	9	6	2	55	35	31	14	20	16	4	33	39	41	9	27	33	24	15	11	77	36	31	152	47	40	35	28	30	38	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10407	180	317	108	167	253	352	262	460	338	435	434	142	368	387	157	152	455	265	200	131	599	203	560	586	715	741	260	134	421	406	219									
9	Число недействительных избирательных бюллетеней	375	0	9	9	24	15	25	10	24	14	4	12	7	16	16	2	0	5	11	5	2	47	12	10	0	16	19	17	4	10	18	12									
10	Число действительных избирательных бюллетеней	11007	190	317	105	145	293	362	283	450	344	447	426	168	391	412	164	179	483	278	210	140	629	227	581	738	746	762	278	158	441	426	234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	482	5	10	10	6	15	20	10	20	7	15	15	10	20	20	27	11	20	15	10	6	25	10	20	20	30	25	20	10	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	374	0	2	10	0	15	20	5	20	7	15	15	5	20	15	27	11	20	15	10	6	23	10	14	17	8	19	20	2	10	10	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	6	5	2	4	3	4	5	18	6	4	6	4	8	1	2	2	2	4	1	5	3	3	5	18	8	29	6	5	5	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	108	5	8	0	6	0	0	5	0	0	0	0	5	0	5	0	0	0	0	0	0	2	0	6	3	22	6	0	8	10	10	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	2	1	2	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	157	5	3	0	5	5	8	3	8	9	6	9	0	3	0	2	2	6	6	2	4	12	1	11	0	10	14	8	0	8	3	4									
