Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Карагинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в списки избирателей"	4410	890	137	354	2213	574	242					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4244	814	109	364	2153	559	245					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	45	0	0	0	21	24	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2266	432	80	208	1077	362	107					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	79	16	0	1	55	7	0					
6	Число погашенных избирательных бюллетеней	1854	366	29	155	1000	166	138					
7	Число избирательных бюллетеней в переносных ящиках для голосования	124	16	0	1	76	31	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2265	431	80	208	1077	362	107					
9	Число недействительных избирательных бюллетеней	49	17	2	6	13	11	0					
10	Число действительных избирательных бюллетеней	2340	430	78	203	1140	382	107					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	85	20	5	10	25	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	30	9	5	4	11	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	29	22	0	1	5	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	55	11	0	6	14	19	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	10	0	1	5	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	58	11	1	7	31	7	1					
		2.43%	2.46%	1.25%	3.35%	2.69%	1.78%	0.93%					
19	2.Всероссийская политическая партия «Гражданская Сила»	23	4	1	1	11	5	1					
		0.96%	0.89%	1.25%	0.48%	0.95%	1.27%	0.93%					
20	3.Политическая партия «Демократическая партия России»	9	2	1	1	3	2	0					
		0.38%	0.45%	1.25%	0.48%	0.26%	0.51%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	165	40	2	16	79	18	10					
		6.91%	8.95%	2.50%	7.66%	6.85%	4.58%	9.35%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	0	2	1	4	1	0					
		0.33%	0.00%	2.50%	0.48%	0.35%	0.25%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	0	4	1	0					
		0.21%	0.00%	0.00%	0.00%	0.35%	0.25%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	250	47	10	21	129	35	8					
		10.46%	10.51%	12.50%	10.05%	11.19%	8.91%	7.48%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	113	28	4	8	56	12	5					
		4.73%	6.26%	5.00%	3.83%	4.86%	3.05%	4.67%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	20	4	1	2	9	4	0					
		0.84%	0.89%	1.25%	0.96%	0.78%	1.02%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1673	291	56	145	803	296	82					
		70.03%	65.10%	70.00%	69.38%	69.64%	75.32%	76.64%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	3	0	1	11	1	0					
		0.67%	0.67%	0.00%	0.48%	0.95%	0.25%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
