Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Карагинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182					
1	"Число избирателей, внесенных в список избирателей"	3426	662	102	257	1862	431	112					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3699	717	109	286	2005	448	134					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	40	0	0	0	0	40	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1864	352	76	189	918	278	51					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	106	12	0	6	75	11	2					
6	Число погашенных избирательных бюллетеней	1689	353	33	91	1012	119	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	146	12	0	6	75	51	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1864	352	76	189	918	278	51					
9	Число недействительных избирательных бюллетеней	33	6	2	3	18	4	0					
10	Число действительных избирательных бюллетеней	1977	358	74	192	975	325	53					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	85	20	5	10	25	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	16	4	0	3	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	69	16	5	7	17	19	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	2	1	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	354	48	16	37	226	24	3					
		17.61%	13.19%	21.05%	18.97%	22.76%	7.29%	5.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	303	64	13	35	141	41	9					
		15.07%	17.58%	17.11%	17.95%	14.20%	12.46%	16.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	5	0	0	12	4	2					
		1.14%	1.37%	0.00%	0.00%	1.21%	1.22%	3.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	170	40	7	20	82	19	2					
		8.46%	10.99%	9.21%	10.26%	8.26%	5.78%	3.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	47	4	0	7	28	6	2					
		2.34%	1.10%	0.00%	3.59%	2.82%	1.82%	3.77%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1068	195	38	89	483	229	34					
		53.13%	53.57%	50.00%	45.64%	48.64%	69.60%	64.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	2	0	4	3	2	1					
		0.60%	0.55%	0.00%	2.05%	0.30%	0.61%	1.89%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
