Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Ирафская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №350									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13207	739	562	918	603	971	670	666	928	426	437	856	95	506	353	722	301	1032	930	323	110	253	88	130	183	180	225									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12765	700	500	850	550	900	600	800	900	400	500	800	110	450	320	700	300	1000	900	320	100	250	90	120	200	180	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10177	605	408	720	420	747	501	637	740	337	395	635	85	371	250	582	224	772	546	262	79	209	88	105	132	102	225									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	621	0	22	10	14	30	30	23	12	6	42	64	10	14	19	7	36	75	186	5	0	11	0	0	5	0	0									
6	Число погашенных избирательных бюллетеней	1967	95	70	120	116	123	69	140	148	57	63	101	15	65	51	111	40	153	168	53	21	30	2	15	63	78	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	621	0	22	10	14	30	30	23	12	6	42	64	10	14	19	7	36	75	186	5	0	11	0	0	5	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10166	605	408	720	420	747	501	637	740	337	395	635	85	371	250	582	224	772	546	262	79	198	88	105	132	102	225									
9	Число недействительных избирательных бюллетеней	70	4	0	0	2	1	10	10	0	2	4	6	3	3	0	0	3	11	6	4	0	0	0	0	0	1	0									
10	Число действительных избирательных бюллетеней	10717	601	430	730	432	776	521	650	752	341	433	693	92	382	269	589	257	836	726	263	79	209	88	105	137	101	225									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	91	2	3	3	5	5	3	5	5	5	5	5	3	5	3	5	3	5	5	3	3	3	3	2	1	1	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	22	2	2	1	2	2	0	0	0	0	2	1	1	1	0	1	0	3	2	1	0	0	0	0	1	0	0									
