Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Старокулаткинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10839	2430	1715	633	450	292	94	122	303	559	316	163	103	781	176	722	219	347	846	282	286									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11050	2500	1700	650	470	300	90	130	310	560	310	180	110	800	180	750	230	350	850	280	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8037	1606	1032	477	322	248	80	99	267	424	195	132	84	669	150	564	185	295	725	245	238									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	988	122	101	81	90	29	10	20	15	68	22	31	12	90	19	65	26	25	100	26	36									
6	Число погашенных избирательных бюллетеней	2025	772	567	92	58	23	0	11	28	68	93	17	14	41	11	121	19	30	25	9	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	988	122	101	81	90	29	10	20	15	68	22	31	12	90	19	65	26	25	100	26	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8036	1606	1032	476	322	248	80	99	267	424	195	132	84	669	150	564	185	295	725	245	238									
9	Число недействительных избирательных бюллетеней	218	48	37	13	0	0	0	2	1	3	8	0	0	17	7	12	5	21	41	0	3									
10	Число действительных избирательных бюллетеней	8806	1680	1096	544	412	277	90	117	281	489	209	163	96	742	162	617	206	299	784	271	271									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	777	100	70	55	30	20	10	15	25	60	20	15	10	80	20	60	15	30	85	30	27									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	709	99	61	51	30	20	6	14	24	52	11	14	10	79	19	52	14	28	75	24	26									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	15	7	2	6	2	0	3	3	6	3	0	1	3	1	5	0	4	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	68	1	9	4	0	0	4	1	1	8	9	1	0	1	1	8	1	2	10	6	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	123	36	23	4	7	5	0	4	0	2	0	3	1	5	3	16	8	2	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	74	13	16	3	5	2	0	1	0	4	3	3	0	6	1	2	0	6	7	2	0									
		0.82%	0.75%	1.41%	0.54%	1.21%	0.72%	0.00%	0.84%	0.00%	0.81%	1.38%	1.84%	0.00%	0.79%	0.59%	0.32%	0.00%	1.88%	0.85%	0.74%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	276	79	49	17	14	8	1	1	4	9	8	3	3	16	3	16	0	7	23	9	6									
		3.06%	4.57%	4.32%	3.05%	3.40%	2.89%	1.11%	0.84%	1.42%	1.83%	3.69%	1.84%	3.13%	2.11%	1.78%	2.54%	0.00%	2.19%	2.79%	3.32%	2.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	88	17	32	11	4	6	0	0	4	0	0	0	0	2	0	1	1	4	5	0	1									
		0.98%	0.98%	2.82%	1.97%	0.97%	2.17%	0.00%	0.00%	1.42%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.16%	0.47%	1.25%	0.61%	0.00%	0.36%									
