Выборы Президента Российской Федерации																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																															
																																																																																															
Итоги голосования 																																																																																															
																																																																																															
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786					
1	"Число избирателей, внесенных в список"	184733	695	2408	2718	2366	2296	2445	2437	2750	2533	2807	2847	2732	2733	2735	3060	2848	1575	2939	2830	2243	2599	2503	2472	2262	2337	2024	1718	2015	1644	1600	2726	2432	2397	2226	2404	1378	3148	2168	2773	2862	2291	2768	1448	2521	2485	1764	2415	2362	2261	1303	1864	1896	1864	2859	1031	1339	1528	1334	2495	2615	2235	2114	2138	2494	2071	2377	2241	2245	1813	1524	2536	2615	1952	1170	564	2386	2027	275	374	160	134	2214	2145	2089	2347	2213	2118	34					
2	Число полученных избирательных бюллетеней	171280	650	2200	2500	2200	2100	2250	2250	2550	2350	2600	2600	2500	2550	2500	2750	2650	1450	2700	2600	2100	2400	2250	2250	2100	2200	1900	1600	1850	1500	1500	2550	2250	2200	2050	2200	1300	2800	2000	2550	2650	2150	2550	1350	2300	2300	1650	2200	2150	2100	1200	1750	1800	1750	2650	1000	1250	1450	1250	2300	2450	2100	2000	2000	2300	2000	2200	2100	2100	1700	1450	2300	2450	1850	1100	550	2200	1900	250	380	200	150	2050	2000	1900	2200	2050	2000	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	93264	291	1245	1294	1283	1163	1252	1328	1359	1290	1475	1480	1490	1367	1344	1500	1503	860	1487	1356	1139	1327	1414	1019	1147	1123	1041	835	1074	691	715	1416	1154	1010	964	1194	595	1144	1019	1203	1401	1120	1304	512	1156	1212	887	1202	907	1119	552	885	782	824	1853	565	740	615	684	1340	1331	1262	1126	1116	1466	1086	1198	1209	1272	1049	865	1088	952	844	636	230	1105	991	147	241	87	65	1430	1364	1565	1346	1217	1691	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	2862	15	24	16	9	27	8	22	20	11	11	19	13	17	12	18	17	7	27	20	21	24	11	32	31	71	37	45	21	16	18	24	14	24	71	13	26	18	27	36	9	19	13	205	20	5	10	55	30	36	13	53	18	34	134	288	13	47	68	37	42	25	20	29	25	13	13	19	31	21	21	39	100	13	30	11	15	27	0	56	73	64	28	19	115	10	3	0	0					
6	Число погашенных избирательных бюллетеней	75154	344	931	1190	908	910	990	900	1171	1049	1114	1101	997	1166	1144	1232	1130	583	1186	1224	940	1049	825	1199	922	1006	822	720	755	793	767	1110	1082	1166	1015	993	679	1638	954	1311	1240	1011	1233	633	1124	1083	753	943	1213	945	635	812	1000	892	663	147	497	788	498	923	1077	813	854	855	809	901	989	872	797	630	564	1173	1398	993	434	309	1080	882	103	83	40	21	592	617	220	844	830	309	16					
7	Число избирательных бюллетеней в переносных ящиках	2862	15	24	16	9	27	8	22	20	11	11	19	13	17	12	18	17	7	27	20	21	24	11	32	31	71	37	45	21	16	18	24	14	24	71	13	26	18	27	36	9	19	13	205	20	5	10	55	30	36	13	53	18	34	134	288	13	47	68	37	42	25	20	29	25	13	13	19	31	21	21	39	100	13	30	11	15	27	0	56	73	64	28	19	115	10	3	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	93218	291	1245	1294	1279	1163	1252	1328	1359	1290	1475	1480	1490	1367	1344	1500	1503	860	1487	1356	1139	1326	1413	1019	1147	1123	1040	835	1074	691	714	1413	1149	1010	964	1193	595	1144	1019	1203	1401	1120	1302	512	1156	1212	887	1202	907	1119	552	885	782	824	1849	565	740	615	684	1340	1330	1262	1126	1116	1465	1086	1197	1209	1272	1049	864	1088	952	844	636	230	1105	991	147	241	87	65	1430	1345	1565	1346	1217	1691	34					
9	Число недействительных избирательных бюллетеней	860	2	18	7	5	9	10	9	5	2	9	10	10	2	7	4	7	6	9	22	15	15	14	17	12	6	16	8	5	11	11	13	13	8	4	27	11	16	16	7	14	7	26	8	10	8	9	5	10	5	6	0	2	10	15	2	10	1	11	11	5	7	13	5	13	10	6	10	12	6	3	7	9	14	10	5	20	22	3	27	2	5	19	0	13	9	8	29	0					
10	Число действительных избирательных бюллетеней	95220	304	1251	1303	1283	1181	1250	1341	1374	1299	1477	1489	1493	1382	1349	1514	1513	861	1505	1354	1145	1335	1410	1034	1166	1188	1061	872	1090	696	721	1424	1150	1026	1031	1179	610	1146	1030	1232	1396	1132	1289	709	1166	1209	888	1252	927	1150	559	938	798	848	1968	851	743	661	741	1366	1367	1280	1133	1140	1477	1089	1204	1218	1291	1064	882	1120	1043	843	656	236	1100	996	144	270	158	124	1439	1364	1667	1347	1212	1662	34					
