Выборы Президента Российской Федерации																																																																																																						
Дата голосования: 04.03.2012																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Екатеринбург, Чкаловская																																																																																																						
																																																																																																						
Сводная таблица итогов голосования																																																																																																						
																																																																																																						
	Число участковых избирательных комиссий	91																																																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	91																																																																																																				
																																																																																																						
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №2408	УИК №2409									
1	Число избирателей, включенных в список избирателей	191352	2042	3155	2946	2140	2130	2024	2495	2745	2681	2814	3004	2937	3039	2903	2845	2795	1607	2753	2767	1965	2310	2905	2716	2159	2141	2309	1514	2361	1568	1866	2233	2312	2271	2913	2470	2231	2737	2022	1961	2614	2874	2549	1678	2321	2194	2175	2333	1974	2176	1221	2148	1608	1954	1901	745	1315	1809	1538	2579	2422	2123	1977	1820	2381	1888	2030	2452	2283	1643	1372	2877	2866	2258	1705	2704	2707	2249	286	320	348	413	2069	2123	1362	2039	2027	2014	1299	2392	347	64									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	167880	1700	2500	2600	2000	1900	1800	2100	2400	2400	2400	2600	2600	2700	2500	2500	2400	1400	2400	2400	1800	2000	2500	2400	1900	1900	2000	1300	2100	1400	1500	2000	2000	2000	2500	2200	1800	2600	1800	1700	2300	2500	2200	1300	2100	1900	1900	2000	1700	1900	1100	1900	1400	1700	1700	600	1200	1600	1300	2300	2100	1900	1800	1600	2100	1700	1800	2200	2000	1500	1200	2500	2500	2000	1500	2400	2400	2000	200	280	350	450	1800	1900	1350	1800	1800	1900	1100	2000	250	200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	106337	1159	2029	1735	1327	1275	1203	1544	1595	1560	1711	1768	1743	1821	1781	1654	1722	879	1489	1427	1083	1205	1671	1394	1141	1197	1127	755	1454	745	884	1219	1224	1184	1468	1310	881	1068	997	1146	1481	1577	1301	574	1277	1253	1037	1285	1020	1213	674	1111	850	887	1087	444	719	903	810	1447	1315	1310	1107	1022	1426	1148	1178	1415	1402	998	847	1471	1456	958	856	1567	1421	1151	126	215	261	347	1322	1300	1273	1105	1139	1606	671	1173	162	64									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2402	4	23	13	17	29	22	23	37	10	8	13	11	18	10	24	9	15	27	28	25	24	30	33	27	34	25	28	18	27	5	17	35	24	55	20	14	6	12	7	11	24	35	387	9	11	11	48	17	32	4	13	10	26	15	7	21	21	14	37	54	20	20	17	13	10	15	12	28	21	15	21	21	39	35	15	35	35	0	65	70	66	25	16	0	24	26	0	33	6	85	0									
6	Число погашенных избирательных бюллетеней	59141	537	448	852	656	596	575	533	768	830	681	819	846	861	709	822	669	506	884	945	692	771	799	973	732	669	848	517	628	628	611	764	741	792	977	870	905	1526	791	547	808	899	864	339	814	636	852	667	663	655	422	776	540	787	598	149	460	676	476	816	731	570	673	561	661	542	607	773	570	481	338	1008	1023	1003	609	818	944	814	74	0	19	37	453	584	77	671	635	294	396	821	3	136									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2401	4	23	13	17	29	22	23	37	10	8	13	11	18	10	24	9	15	27	28	25	24	30	33	27	34	25	28	18	27	5	17	35	24	55	20	14	6	12	7	11	24	35	387	9	11	11	47	17	32	4	13	10	26	15	7	21	21	14	37	54	20	20	17	13	10	15	12	28	21	15	21	21	39	35	15	35	35	0	65	70	66	25	16	0	24	26	0	33	6	85	0									
8	Число бюллетеней в стационарных ящиках для голосования	106301	1157	2029	1735	1327	1275	1195	1544	1595	1560	1711	1768	1743	1821	1781	1652	1722	879	1489	1424	1083	1205	1671	1394	1141	1197	1127	755	1454	745	882	1216	1224	1184	1468	1310	881	1068	997	1146	1481	1576	1301	574	1277	1252	1037	1285	1020	1213	674	1111	850	887	1087	444	719	903	810	1445	1315	1305	1106	1022	1423	1147	1178	1415	1402	998	847	1471	1456	958	856	1567	1421	1151	126	215	261	347	1322	1298	1273	1105	1139	1606	671	1173	162	64									
9	Число недействительных избирательных бюллетеней	1289	18	21	22	14	8	12	8	13	13	18	23	12	21	71	21	12	13	20	13	16	15	10	21	11	8	13	31	16	6	12	13	17	18	7	14	10	18	6	15	11	24	14	26	8	12	6	8	13	7	3	2	3	16	10	7	8	6	12	16	13	12	28	14	15	14	14	16	11	8	8	22	6	14	9	26	21	17	3	9	4	6	15	19	7	6	17	16	11	21	44	1									
10	Число действительных избирательных бюллетеней	107413	1143	2031	1726	1330	1296	1205	1559	1619	1557	1701	1758	1742	1818	1720	1655	1719	881	1496	1439	1092	1214	1691	1406	1157	1223	1139	752	1456	766	875	1220	1242	1190	1516	1316	885	1056	1003	1138	1481	1576	1322	935	1278	1251	1042	1324	1024	1238	675	1122	857	897	1092	444	732	918	812	1466	1356	1313	1098	1025	1421	1143	1179	1411	1419	1011	854	1470	1471	983	882	1556	1435	1169	123	271	327	407	1332	1295	1266	1123	1148	1590	693	1158	203	63									
11	Число полученных открепительных  удостоверений	4422	51	75	75	50	50	50	50	70	95	80	60	70	70	75	70	70	35	50	65	60	50	60	50	50	50	50	40	50	40	40	50	50	50	60	55	40	70	50	50	65	50	50	30	85	50	50	65	40	55	30	35	35	45	50	21	25	40	30	40	30	40	60	50	50	35	45	60	40	30	30	70	50	40	40	95	50	50	5	5	0	0	50	60	10	50	60	115	35	50	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	3636	48	73	73	49	31	42	43	64	82	71	51	68	64	67	62	59	21	46	65	43	40	54	38	37	40	33	19	48	24	25	32	33	37	53	45	27	65	35	36	50	42	37	29	75	46	38	62	28	44	24	26	19	35	47	16	25	27	20	21	30	33	54	39	42	31	36	50	31	27	25	62	50	27	22	85	36	31	1	2	0	0	42	49	5	49	52	101	32	38	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	2927	40	76	51	22	15	41	34	51	27	51	60	43	35	27	30	56	14	26	27	18	30	37	32	26	43	30	12	42	32	21	31	19	24	24	20	32	52	27	24	31	48	14	89	20	25	34	50	48	34	10	13	29	17	22	12	15	16	30	12	19	18	20	21	29	19	14	21	23	11	17	28	45	21	18	26	14	28	8	8	144	230	13	11	28	21	22	23	24	42	26	64									
14	Число неиспользованных открепительных удостоверений	786	3	2	2	1	19	8	7	6	13	9	9	2	6	8	8	11	14	4	0	17	10	6	12	13	10	17	21	2	16	15	18	17	13	7	10	13	5	15	14	15	8	13	1	10	4	12	3	12	11	6	9	16	10	3	5	0	13	10	19	0	7	6	11	8	4	9	10	9	3	5	8	0	13	18	10	14	19	4	3	0	0	8	11	5	1	8	14	3	12	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	96	4	2	2	4	1	2	0	3	0	0	1	1	2	2	5	1	3	0	1	3	0	1	4	1	1	2	0	1	0	1	0	1	0	2	1	0	2	2	0	0	1	0	1	1	0	1	1	2	1	1	0	1	3	1	0	0	0	1	0	1	0	0	2	0	0	1	0	1	1	0	0	4	0	1	4	0	0	0	0	0	0	0	1	0	2	1	3	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																						
19	Жириновский Владимир Вольфович	5287	32	77	85	61	62	41	42	86	67	77	62	67	71	67	66	84	41	72	80	63	60	92	67	76	59	72	44	59	29	38	62	74	59	83	66	55	98	64	45	74	69	59	76	68	62	65	61	66	57	44	59	30	44	48	37	53	62	46	55	71	51	54	56	66	64	57	58	71	49	23	72	67	51	52	72	89	80	4	21	9	10	105	79	50	40	39	55	33	54	41	4									
		4.86%	2.76%	3.75%	4.86%	4.54%	4.75%	3.37%	2.68%	5.27%	4.27%	4.48%	3.48%	3.82%	3.86%	3.74%	3.94%	4.85%	4.59%	4.75%	5.51%	5.69%	4.88%	5.41%	4.70%	6.51%	4.79%	6.25%	5.62%	4.01%	3.76%	4.28%	5.03%	5.88%	4.88%	5.45%	4.96%	6.15%	9.12%	6.34%	3.90%	4.96%	4.31%	4.42%	7.91%	5.29%	4.91%	6.20%	4.58%	6.36%	4.58%	6.49%	5.25%	3.49%	4.82%	4.36%	8.20%	7.16%	6.71%	5.58%	3.71%	5.19%	3.85%	4.80%	5.39%	4.60%	5.53%	4.78%	4.06%	4.97%	4.81%	2.67%	4.83%	4.54%	5.12%	5.84%	4.55%	6.11%	6.75%	3.17%	7.50%	2.72%	2.42%	7.80%	6.01%	3.93%	3.54%	3.35%	3.42%	4.69%	4.58%	16.60%	6.25%									
20	Зюганов Геннадий Андреевич	13393	116	235	216	166	166	164	217	207	202	245	207	241	213	208	198	245	125	161	195	157	166	189	184	149	162	151	92	167	81	114	145	172	150	207	184	101	126	160	152	168	234	201	91	140	161	122	143	106	152	80	161	131	154	165	32	100	101	114	179	175	164	129	131	164	142	152	163	216	110	122	181	178	131	118	189	167	138	24	26	34	30	192	172	41	145	157	57	102	150	15	7									
		12.32%	9.99%	11.45%	12.36%	12.35%	12.73%	13.48%	13.85%	12.68%	12.87%	14.25%	11.62%	13.74%	11.58%	11.61%	11.81%	14.15%	13.98%	10.62%	13.43%	14.17%	13.51%	11.11%	12.89%	12.76%	13.16%	13.11%	11.75%	11.35%	10.49%	12.85%	11.76%	13.66%	12.42%	13.59%	13.83%	11.28%	11.73%	15.86%	13.18%	11.26%	14.63%	15.04%	9.47%	10.89%	12.75%	11.64%	10.74%	10.22%	12.21%	11.80%	14.32%	15.23%	16.87%	14.97%	7.10%	13.51%	10.93%	13.83%	12.08%	12.78%	12.38%	11.46%	12.61%	11.42%	12.27%	12.74%	11.42%	15.10%	10.79%	14.15%	12.13%	12.05%	13.14%	13.24%	11.95%	11.47%	11.64%	19.05%	9.29%	10.27%	7.26%	14.25%	13.09%	3.22%	12.84%	13.48%	3.55%	14.49%	12.72%	6.07%	10.94%									
21	Миронов Сергей Михайлович	5970	60	121	102	86	107	89	114	98	92	103	76	95	96	103	87	105	39	116	100	106	86	64	73	69	98	83	37	87	41	40	69	64	47	86	72	50	47	68	74	84	79	78	42	70	78	69	84	61	64	42	62	36	57	58	10	28	45	49	99	61	67	68	66	73	66	65	69	90	79	38	86	82	31	22	111	57	38	3	14	20	13	82	72	11	56	48	22	36	58	17	4									
