Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Шенталинская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479					
1	"Число избирателей, внесенных в список избирателей"	12887	230	376	336	223	165	934	451	405	98	888	205	490	314	172	411	361	224	297	161	361	226	622	162	965	822	964	986	1038					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12845	225	375	335	220	165	940	470	400	95	880	200	495	310	180	400	355	220	295	165	345	215	625	155	955	820	950	995	1060					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9001	109	199	161	152	118	738	284	282	65	596	149	354	211	104	351	221	151	214	136	225	189	439	90	634	655	644	783	747					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1346	56	111	80	27	10	81	29	23	16	156	21	64	33	21	32	24	28	41	16	86	25	49	41	88	53	47	38	50					
6	Число погашенных избирательных бюллетеней	2498	60	65	94	41	37	121	157	95	14	128	30	77	66	55	17	110	41	40	13	34	1	137	24	233	112	259	174	263					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1345	56	111	80	27	10	81	29	23	16	156	21	64	33	21	32	24	28	41	16	86	25	49	41	87	53	47	38	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9001	109	199	161	152	118	738	284	282	65	596	149	354	211	104	351	221	151	214	136	225	189	439	90	634	655	644	783	747					
9	Число недействительных избирательных бюллетеней	157	7	1	7	3	6	0	18	5	0	6	2	5	5	4	3	4	33	0	0	6	1	1	0	22	7	3	6	2					
10	Число действительных избирательных бюллетеней	10189	158	309	234	176	122	819	295	300	81	746	168	413	239	121	380	241	146	255	152	305	213	487	131	699	701	688	815	795					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	490	10	15	10	10	10	35	20	15	5	30	10	15	10	10	15	10	10	10	10	10	10	25	10	35	30	35	35	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	215	1	5	6	2	2	9	16	2	0	2	0	15	2	10	6	3	1	4	8	2	1	3	2	20	22	16	22	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	4	2	6	3	0	5	3	5	2	4	3	10	4	1	1	6	2	5	2	3	3	3	3	8	5	1	9	8					
14	Число погашенных неиспользованных открепительных удостоверений	275	9	10	4	8	8	26	4	13	5	28	10	0	8	0	9	7	9	6	2	8	9	22	8	15	8	19	13	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	898	18	36	18	16	7	42	38	29	4	82	17	43	12	14	29	28	3	15	10	15	9	32	10	73	75	60	74	89					
		8.68%	10.91%	11.61%	7.47%	8.94%	5.47%	5.13%	12.14%	9.51%	4.94%	10.90%	10.00%	10.29%	4.92%	11.20%	7.57%	11.43%	1.68%	5.88%	6.58%	4.82%	4.21%	6.56%	7.63%	10.12%	10.59%	8.68%	9.01%	11.17%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	603	14	20	12	16	4	4	38	16	4	50	12	22	14	11	2	29	2	22	8	18	14	43	13	71	67	10	51	16					
		5.83%	8.48%	6.45%	4.98%	8.94%	3.13%	0.49%	12.14%	5.25%	4.94%	6.65%	7.06%	5.26%	5.74%	8.80%	0.52%	11.84%	1.12%	8.63%	5.26%	5.79%	6.54%	8.81%	9.92%	9.85%	9.46%	1.45%	6.21%	2.01%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	2	1	4	0	0	0	2	4	0	4	0	5	3	2	4	1	0	2	3	5	0	7	1	5	5	11	13	5					
