Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Адамовская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20917	1207	1592	1004	1044	681	831	454	236	186	362	208	772	193	271	802	205	164	1044	279	132	1214	771	188	273	355	429	119	709	230	1051	580	278	295	215	1146	561	560	276									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21290	1213	1615	1026	1060	685	825	456	240	190	375	210	780	197	273	820	205	165	1060	285	135	1220	813	195	275	365	475	120	720	232	1075	585	285	300	215	1170	585	565	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7864	425	586	431	404	203	347	184	81	56	130	65	369	57	114	380	99	75	333	90	47	394	352	95	112	101	135	43	273	86	390	167	79	135	91	409	156	271	99									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	346	9	22	7	5	0	6	0	9	13	7	0	15	0	11	27	9	3	18	5	0	12	14	0	0	23	2	0	12	2	13	8	12	1	8	36	31	6	0									
6	Число погашенных избирательных бюллетеней	13080	779	1007	588	651	482	472	272	150	121	238	145	396	140	148	413	97	87	709	190	88	814	447	100	163	241	338	77	435	144	672	410	194	164	116	725	398	288	181									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	346	9	22	7	5	0	6	0	9	13	7	0	15	0	11	27	9	3	18	5	0	12	14	0	0	23	2	0	12	2	13	8	12	1	8	36	31	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7864	425	586	431	404	203	347	184	81	56	130	65	369	57	114	380	99	75	333	90	47	394	352	95	112	101	135	43	273	86	390	167	79	135	91	409	156	271	99									
9	Число недействительных избирательных бюллетеней	267	13	25	12	19	10	9	7	1	2	2	0	13	2	6	19	3	0	16	1	0	6	3	1	5	5	5	0	16	3	8	4	6	8	2	17	3	4	11									
10	Число действительных избирательных бюллетеней	7943	421	583	426	390	193	344	177	89	67	135	65	371	55	119	388	105	78	335	94	47	400	363	94	107	119	132	43	269	85	395	171	85	128	97	428	184	273	88									
