Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Ижморская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10730	349	59	604	681	774	522	646	605	94	590	94	297	199	244	511	160	90	482	151	394	250	42	35	285	139	46	270	82	280	228	48	205	56	438	276	121	140	112	131									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10750	350	55	630	690	800	530	630	600	95	580	90	295	200	240	500	155	90	500	145	400	250	40	35	290	140	45	270	80	275	230	45	200	55	450	270	120	140	110	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9061	296	51	506	598	491	498	557	538	84	445	78	268	174	152	419	126	75	458	131	365	203	38	31	260	121	42	248	71	250	201	45	183	52	401	231	94	85	90	105									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	754	15	4	53	11	35	18	34	39	2	43	6	17	8	69	59	23	5	22	9	14	35	0	0	25	13	0	16	6	21	13	0	7	0	22	34	19	34	7	16									
6	Число погашенных избирательных бюллетеней	935	39	0	71	81	274	14	39	23	9	92	6	10	18	19	22	6	10	20	5	21	12	2	4	5	6	3	6	3	4	16	0	10	3	27	5	7	21	13	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	754	15	4	53	11	35	18	34	39	2	43	6	17	8	69	59	23	5	22	9	14	35	0	0	25	13	0	16	6	21	13	0	7	0	22	34	19	34	7	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9061	296	51	506	598	491	498	557	538	84	445	78	268	174	152	419	126	75	458	131	365	203	38	31	260	121	42	248	71	250	201	45	183	52	401	231	94	85	90	105									
9	Число недействительных избирательных бюллетеней	72	3	0	6	2	7	7	5	6	0	5	0	0	2	5	5	1	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0									
10	Число действительных избирательных бюллетеней	9743	308	55	553	607	519	509	586	571	86	483	84	285	180	216	473	148	79	480	140	373	235	38	31	285	134	42	264	77	271	214	45	190	52	420	265	113	116	95	121									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	298	10	2	15	25	20	25	10	10	5	10	2	5	5	10	10	5	5	15	5	2	5	2	2	15	3	2	5	5	10	5	2	5	2	10	5	5	5	5	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	1	0	1	4	20	1	10	8	0	0	0	0	0	0	1	1	0	15	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	10	0	5	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	1	2	1	2	5	0	3	1	0	0	0	1	2	1	6	1	0	2	1	2	0	1	0	0	0	0	1	1	3	1	2	2	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	214	9	2	14	21	0	24	0	2	5	10	2	5	5	10	9	4	5	0	5	1	5	2	2	13	0	2	5	5	10	5	2	5	2	0	5	0	5	4	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	0	0	0	0	0	0	10	0	9	0	4	0	7	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.73%	0.00%	1.84%	0.00%	1.40%	0.00%	3.17%	0.00%	0.00%	0.00%	1.04%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	19	15	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.19%	4.82%	0.00%	0.18%	0.00%	0.19%	0.19%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
