Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    территориальная избирательная комиссия Меленковского района																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993					
1	"Число избирателей, внесенных в списки избирателей"	31915	844	952	1789	942	1804	1695	997	1692	1756	674	280	301	134	704	139	207	166	303	329	302	278	167	316	161	138	320	265	222	77	285	614	209	707	485	234	391	1017	206	175	201	244	269	491	234	899	296	299	740	812	340	294	292	343	342	222	117	349	160	368	573	398	221	884	140	110					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31390	800	900	1800	950	1750	1650	950	1700	1700	640	270	300	136	700	138	200	166	300	330	290	280	168	300	160	142	320	260	220	76	280	630	210	700	480	230	400	1000	210	180	200	240	260	490	230	870	300	290	750	800	330	290	280	349	340	220	115	350	160	350	550	400	210	850	140	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17073	449	541	1129	508	982	873	501	872	952	368	131	160	87	367	44	87	69	160	214	194	152	109	211	86	86	166	138	99	52	160	341	82	373	244	106	206	623	142	79	82	152	181	269	131	545	129	130	302	314	223	113	132	177	207	114	41	177	92	175	327	191	107	489	76	54					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3150	33	41	37	49	33	81	29	56	45	61	40	35	15	68	41	61	20	57	22	20	35	11	27	22	12	28	5	39	17	45	99	66	81	101	62	34	74	15	30	36	31	33	34	31	83	60	56	118	120	41	134	91	39	56	44	53	66	34	71	74	70	46	46	18	18					
6	Число погашенных избирательных бюллетеней	11167	318	318	634	393	735	696	420	772	703	211	99	105	34	265	53	52	77	83	94	76	93	48	62	52	44	126	117	82	7	75	190	62	246	135	62	160	303	53	71	82	57	46	187	68	242	111	104	330	366	66	43	57	133	77	62	21	107	34	104	149	139	57	315	46	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3150	33	41	37	49	33	81	29	56	45	61	40	35	15	68	41	61	20	57	22	20	35	11	27	22	12	28	5	39	17	45	99	66	81	101	62	34	74	15	30	36	31	33	34	31	83	60	56	118	120	41	134	91	39	56	44	53	66	34	71	74	70	46	46	18	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17073	449	541	1129	508	982	873	501	872	952	368	131	160	87	367	44	87	69	160	214	194	152	109	211	86	86	166	138	99	52	160	341	82	373	244	106	206	623	142	79	82	152	181	269	131	545	129	130	302	314	223	113	132	177	207	114	41	177	92	175	327	191	107	489	76	54					
9	Число недействительных избирательных бюллетеней	272	2	14	16	9	19	6	8	15	13	12	1	1	4	3	0	2	0	3	3	3	1	0	0	0	0	4	4	0	0	1	5	1	10	2	9	4	8	0	0	2	2	6	9	3	6	7	2	4	4	1	1	4	1	3	1	0	1	1	4	7	3	1	15	0	1					
10	Число действительных избирательных бюллетеней	19951	480	568	1150	548	996	948	522	913	984	417	170	194	98	432	85	146	89	214	233	211	186	120	238	108	98	190	139	138	69	204	435	147	444	343	159	236	689	157	109	116	181	208	294	159	622	182	184	416	430	263	246	219	215	260	157	94	242	125	242	394	258	152	520	94	71					
