Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	114511	2094	2159	2351	2350	1672	2265	2497	2157	2051	1945	1976	2001	1888	2030	1992	1813	2341	1182	1785	1814	2090	2048	1905	1447	1264	1817	2021	2005	1660	1734	1040	1657	1450	1635	1459	1984	2426	1872	2041	2589	2472	2051	1663	1923	2088	1220	1334	1512	1950	2269	1818	1663	2005	1765	1597	2258	1956	2094	1249	1348	1769									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	94654	1500	1500	2000	2000	1500	1800	2300	2000	1800	1700	1700	1800	1700	1800	1800	1500	2000	1000	1500	1500	1800	1800	1500	1300	256	1500	1800	1800	1000	1500	230	1400	1240	1300	1300	1500	2200	1500	1800	2300	2200	1800	1500	1700	1800	309	419	1300	1500	2000	1300	1500	1800	1500	1500	2000	1800	2000	1000	1000	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28505	360	522	474	436	309	443	628	507	540	586	460	470	462	596	490	419	631	260	477	357	557	377	461	300	250	557	566	581	260	455	228	276	326	354	442	454	648	426	365	665	778	722	501	523	646	301	413	464	536	505	449	479	524	500	467	482	474	566	455	351	394									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3375	514	300	8	5	3	255	14	10	9	52	3	12	32	24	22	21	11	13	50	7	17	7	17	11	6	68	21	69	14	1	2	112	6	20	15	165	6	249	5	6	14	5	33	21	1	8	6	36	116	25	384	8	17	9	16	10	10	10	10	147	307									
6	Число погашенных избирательных бюллетеней	62773	626	678	1518	1558	1188	1102	1658	1483	1251	1062	1237	1318	1206	1180	1288	1060	1358	727	973	1136	1226	1416	1022	989	0	875	1213	1150	726	1044	0	1012	908	926	843	881	1546	825	1430	1629	1408	1073	966	1156	1153	0	0	800	848	1470	467	1013	1259	991	1017	1508	1316	1424	535	502	599									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3365	514	300	8	5	3	255	14	10	9	52	3	12	32	24	22	21	11	13	50	7	17	7	17	11	6	68	21	69	4	1	2	112	6	20	15	165	6	249	5	6	14	5	33	21	1	8	6	36	116	25	384	8	17	9	16	10	10	10	10	147	307									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28471	360	522	472	435	309	443	628	507	540	586	458	470	462	596	490	419	628	260	477	357	557	377	460	300	249	557	566	581	260	455	228	276	324	353	441	454	648	425	365	665	778	722	501	522	646	299	413	464	531	504	445	478	524	500	463	482	474	566	455	351	393									
9	Число недействительных избирательных бюллетеней	628	0	8	9	14	8	11	9	10	6	12	4	13	14	5	10	17	10	2	9	17	14	10	9	1	3	9	9	14	10	0	2	7	10	9	4	15	23	9	12	16	16	14	10	9	18	1	8	14	10	23	8	18	5	14	6	11	20	11	3	21	14									
10	Число действительных избирательных бюллетеней	31208	874	814	471	426	304	687	633	507	543	626	457	469	480	615	502	423	629	271	518	347	560	374	468	310	252	616	578	636	254	456	228	381	320	364	452	604	631	665	358	655	776	713	524	534	629	306	411	486	637	506	821	468	536	495	473	481	464	565	462	477	686									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1910	30	30	30	30	30	30	50	50	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1027	8	9	12	13	9	24	35	29	19	14	9	9	14	19	17	13	24	12	12	12	24	20	28	15	3	24	20	21	10	20	13	7	10	15	11	19	26	13	11	26	23	21	19	23	30	9	10	20	14	17	13	20	13	13	9	16	27	49	3	15	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	514	12	2	11	8	12	5	5	7	6	16	6	4	7	13	11	8	10	3	11	9	15	3	0	9	18	17	19	37	2	5	9	1	7	4	5	4	6	6	2	7	7	21	18	5	2	7	10	19	1	3	6	8	0	6	14	4	7	18	11	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	883	22	21	18	17	21	6	15	21	11	16	21	21	16	11	13	17	6	18	18	18	6	10	2	15	27	6	10	9	20	10	17	23	20	15	19	11	4	17	19	4	7	9	11	7	20	21	20	10	16	13	17	10	17	17	21	14	3	1	27	15	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	2	0	0	1	0	1	0	3	0	1	1	0	0	2	3	0	1	0	2	0	1	1	0	2	0	2	6	1	1	2	0	2	1	0	2	0	2	3	5	2	1	1	0	0	2	1	1	0	2	0	1	1	3	0	0	2	0	2	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	768	10	19	24	0	6	14	22	26	22	20	16	9	11	7	16	10	22	2	4	7	16	13	10	12	4	12	22	18	5	8	13	7	13	2	6	21	23	10	13	19	14	12	21	11	21	3	2	6	10	9	8	16	16	19	9	11	14	11	13	12	16									
		2.41%	1.14%	2.31%	5.00%	0.00%	1.92%	2.01%	3.43%	5.03%	4.01%	3.13%	3.47%	1.87%	2.23%	1.13%	3.13%	2.27%	3.44%	0.73%	0.76%	1.92%	2.79%	3.39%	2.10%	3.86%	1.57%	1.92%	3.75%	2.77%	1.89%	1.75%	5.65%	1.80%	3.94%	0.54%	1.32%	3.39%	3.52%	1.48%	3.51%	2.83%	1.77%	1.65%	3.93%	2.03%	3.25%	0.98%	0.48%	1.20%	1.55%	1.70%	0.97%	3.29%	2.96%	3.73%	1.88%	2.24%	2.89%	1.91%	2.80%	2.41%	2.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	598	7	16	21	8	7	10	11	16	0	14	5	9	11	11	7	8	14	4	12	9	14	3	16	7	17	4	10	8	6	9	15	4	21	7	9	6	20	9	7	8	13	18	8	8	5	17	12	3	8	11	9	10	11	7	10	5	8	14	4	6	11									
		1.88%	0.80%	1.95%	4.38%	1.82%	2.24%	1.43%	1.71%	3.09%	0.00%	2.19%	1.08%	1.87%	2.23%	1.77%	1.37%	1.82%	2.19%	1.47%	2.28%	2.47%	2.44%	0.78%	3.35%	2.25%	6.67%	0.64%	1.70%	1.23%	2.27%	1.97%	6.52%	1.03%	6.36%	1.88%	1.97%	0.97%	3.06%	1.34%	1.89%	1.19%	1.64%	2.48%	1.50%	1.47%	0.77%	5.54%	2.86%	0.60%	1.24%	2.08%	1.09%	2.06%	2.03%	1.38%	2.09%	1.02%	1.65%	2.43%	0.86%	1.20%	1.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	556	5	5	10	7	6	9	7	3	6	17	12	13	14	9	10	9	12	0	9	6	10	8	5	10	9	2	9	17	5	3	6	10	12	5	3	17	13	13	6	15	16	15	8	3	12	7	10	7	11	6	8	9	17	9	10	11	11	11	10	9	9									
		1.75%	0.57%	0.61%	2.08%	1.59%	1.92%	1.29%	1.09%	0.58%	1.09%	2.66%	2.60%	2.70%	2.83%	1.45%	1.95%	2.05%	1.88%	0.00%	1.71%	1.65%	1.74%	2.08%	1.05%	3.22%	3.53%	0.32%	1.53%	2.62%	1.89%	0.66%	2.61%	2.58%	3.64%	1.34%	0.66%	2.75%	1.99%	1.93%	1.62%	2.24%	2.02%	2.06%	1.50%	0.55%	1.85%	2.28%	2.39%	1.40%	1.70%	1.13%	0.97%	1.85%	3.14%	1.77%	2.09%	2.24%	2.27%	1.91%	2.15%	1.81%	1.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15445	634	493	198	233	150	412	258	186	344	302	232	205	221	359	241	199	303	194	300	142	232	156	236	138	150	401	222	277	110	279	133	158	125	155	259	289	246	402	149	215	339	319	238	279	234	140	224	244	298	194	554	188	216	199	207	204	180	259	233	307	451									
		48.51%	72.54%	59.98%	41.25%	52.95%	48.08%	59.03%	40.19%	35.98%	62.66%	47.34%	50.33%	42.53%	44.74%	57.90%	47.07%	45.23%	47.42%	71.06%	56.93%	39.01%	40.42%	40.63%	49.48%	44.37%	58.82%	64.16%	37.82%	42.62%	41.67%	61.18%	57.83%	40.72%	37.88%	41.55%	56.80%	46.69%	37.61%	59.64%	40.27%	32.04%	42.80%	43.88%	44.57%	51.38%	36.17%	45.60%	53.46%	48.80%	46.06%	36.67%	66.83%	38.68%	39.93%	39.10%	43.22%	41.46%	37.19%	44.97%	50.11%	61.65%	64.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	252	4	3	3	3	4	5	8	9	0	4	5	4	3	8	2	1	5	2	5	1	8	5	7	4	0	2	2	12	0	1	2	5	6	4	1	5	9	4	1	6	8	2	2	1	4	4	2	6	6	4	3	2	8	4	3	5	4	6	7	3	5									
		0.79%	0.46%	0.36%	0.63%	0.68%	1.28%	0.72%	1.25%	1.74%	0.00%	0.63%	1.08%	0.83%	0.61%	1.29%	0.39%	0.23%	0.78%	0.73%	0.95%	0.27%	1.39%	1.30%	1.47%	1.29%	0.00%	0.32%	0.34%	1.85%	0.00%	0.22%	0.87%	1.29%	1.82%	1.07%	0.22%	0.81%	1.38%	0.59%	0.27%	0.89%	1.01%	0.28%	0.37%	0.18%	0.62%	1.30%	0.48%	1.20%	0.93%	0.76%	0.36%	0.41%	1.48%	0.79%	0.63%	1.02%	0.83%	1.04%	1.51%	0.60%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	1	1	0	0	1	0	3	2	0	1	7	0	2	1	0	1	2	0	1	1	0	2	1	1	0	0	0	1	0	0	0	1	1	2	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	2	0	1	1	0	1	0	0	0	4	0	1									
		0.16%	0.11%	0.12%	0.00%	0.00%	0.32%	0.00%	0.47%	0.39%	0.00%	0.16%	1.52%	0.00%	0.40%	0.16%	0.00%	0.23%	0.31%	0.00%	0.19%	0.27%	0.00%	0.52%	0.21%	0.32%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.26%	0.30%	0.54%	0.22%	0.16%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.19%	0.18%	0.15%	0.33%	0.00%	0.20%	0.00%	0.38%	0.00%	0.21%	0.18%	0.00%	0.21%	0.00%	0.00%	0.00%	0.86%	0.00%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3679	49	72	54	81	30	76	79	67	56	78	56	90	60	53	62	50	74	11	63	54	87	51	47	51	21	48	76	95	41	21	26	51	42	68	44	75	79	64	51	101	93	95	61	72	69	46	38	55	72	50	71	44	67	57	77	70	67	84	45	41	51									
		11.56%	5.61%	8.76%	11.25%	18.41%	9.62%	10.89%	12.31%	12.96%	10.20%	12.23%	12.15%	18.67%	12.15%	8.55%	12.11%	11.36%	11.58%	4.03%	11.95%	14.84%	15.16%	13.28%	9.85%	16.40%	8.24%	7.68%	12.95%	14.62%	15.53%	4.61%	11.30%	13.14%	12.73%	18.23%	9.65%	12.12%	12.08%	9.50%	13.78%	15.05%	11.74%	13.07%	11.42%	13.26%	10.66%	14.98%	9.07%	11.00%	11.13%	9.45%	8.56%	9.05%	12.38%	11.20%	16.08%	14.23%	13.84%	14.58%	9.68%	8.23%	7.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	344	11	11	3	1	3	4	5	6	0	6	9	1	11	3	5	7	7	0	7	4	7	4	4	5	7	4	8	11	4	6	2	4	8	2	5	7	4	6	6	9	9	9	2	1	18	5	10	3	10	5	9	5	1	3	7	3	7	5	6	4	5									
		1.08%	1.26%	1.34%	0.63%	0.23%	0.96%	0.57%	0.78%	1.16%	0.00%	0.94%	1.95%	0.21%	2.23%	0.48%	0.98%	1.59%	1.10%	0.00%	1.33%	1.10%	1.22%	1.04%	0.84%	1.61%	2.75%	0.64%	1.36%	1.69%	1.52%	1.32%	0.87%	1.03%	2.42%	0.54%	1.10%	1.13%	0.61%	0.89%	1.62%	1.34%	1.14%	1.24%	0.37%	0.18%	2.78%	1.63%	2.39%	0.60%	1.55%	0.95%	1.09%	1.03%	0.18%	0.59%	1.46%	0.61%	1.45%	0.87%	1.29%	0.80%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	499	4	18	9	7	11	5	14	8	0	10	6	5	6	8	6	8	14	2	2	3	9	8	9	3	1	2	16	9	2	6	2	12	10	7	6	3	8	14	6	16	8	12	13	7	19	4	10	10	8	11	5	12	7	18	10	7	10	14	5	4	10									
