Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Сафакулевская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864					
1	"Число избирателей, внесенных в список"	11367	240	322	436	461	337	583	351	149	72	632	210	155	116	60	612	150	111	320	156	137	378	155	499	172	102	278	470	279	384	158	424	459	1274	725					
2	Число полученных избирательных бюллетеней	11710	255	330	415	450	350	590	345	150	70	640	205	165	120	60	620	180	110	320	155	135	385	160	565	225	100	280	495	295	400	160	465	480	1315	720					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8575	183	248	360	418	286	467	257	119	61	406	131	123	76	53	359	99	67	253	136	106	284	128	371	145	89	213	364	242	294	129	308	337	906	557					
5	"Число избирательных бюллетеней, выданных вне помещения"	616	15	16	20	25	10	0	10	0	5	51	20	13	6	0	17	14	5	17	5	6	25	5	39	4	4	21	19	14	37	6	45	42	82	18					
6	Число погашенных избирательных бюллетеней	2519	57	66	35	7	54	123	78	31	4	183	54	29	38	7	244	67	38	50	14	23	76	27	155	76	7	46	112	39	69	25	112	101	327	145					
7	Число избирательных бюллетеней в переносных ящиках	616	15	16	20	25	10	0	10	0	5	51	20	13	6	0	17	14	5	17	5	6	25	5	39	4	4	21	19	14	37	6	45	42	82	18					
8	Число бюллетеней в стационарных ящиках для голосования	8571	183	248	360	418	286	463	257	119	61	406	131	123	76	53	359	99	67	253	136	106	284	128	371	145	89	213	364	242	294	129	308	337	906	557					
9	Число недействительных избирательных бюллетеней	100	3	1	1	6	6	1	3	2	0	6	4	2	0	0	10	1	2	7	1	2	4	0	4	1	2	0	3	6	5	2	3	2	7	3					
10	Число действительных избирательных бюллетеней	9087	195	263	379	437	290	462	264	117	66	451	147	134	82	53	366	112	70	263	140	110	305	133	406	148	91	234	380	250	326	133	350	377	981	572					
11	Число полученных открепительных  удостоверений	303	5	10	10	10	10	10	5	5	5	15	5	5	5	5	15	5	5	10	5	5	10	5	15	5	5	5	13	10	15	5	10	15	25	15					
12	Число выданных открепительных удостоверений	137	3	6	0	1	3	1	2	0	0	3	2	2	2	0	2	1	1	2	0	2	10	5	11	0	5	2	10	10	7	3	4	7	23	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	1	4	1	1	2	2	1	1	1	6	0	1	1	2	0	0	0	2	2	1	1	0	1	0	4	0	2	2	1	0	1	1	6	0					
14	Число неиспользованных открепительных удостоверений	166	2	4	10	9	7	9	3	5	5	12	3	3	3	5	13	4	4	8	5	3	0	0	4	5	0	3	3	0	8	2	6	8	2	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	273	12	8	14	5	7	16	5	0	0	21	12	1	12	2	8	0	2	15	2	2	7	2	8	5	2	5	7	1	13	3	10	5	47	14					
