Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Углегорская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №753	УИК №754					
1	"Число избирателей, внесенных в списки избирателей"	3204	1803	1401					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3320	1830	1490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2521	1419	1102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	38	22	16					
6	Число погашенных избирательных бюллетеней	761	389	372					
7	Число избирательных бюллетеней в переносных ящиках для голосования	38	22	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2517	1415	1102					
9	Число недействительных избирательных бюллетеней	23	14	9					
10	Число действительных избирательных бюллетеней	2532	1423	1109					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	94	47	47					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	75	42	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	28	22	6					
14	Число погашенных неиспользованных открепительных удостоверений	19	5	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	3	3					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	31	15	16					
		1.21%	1.04%	1.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	14	8	6					
		0.55%	0.56%	0.54%					
20	3.Политическая партия «Демократическая партия России»	6	5	1					
		0.23%	0.35%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	131	73	58					
		5.13%	5.08%	5.19%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	3	8					
		0.43%	0.21%	0.72%					
23	6.Политическая партия «Партия социальной справедливости»	5	2	3					
		0.20%	0.14%	0.27%					
24	7.Политическая партия «Либерально-демократическая партия России»	355	200	155					
		13.89%	13.92%	13.86%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	103	59	44					
		4.03%	4.11%	3.94%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	26	16	10					
		1.02%	1.11%	0.89%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1833	1028	805					
		71.74%	71.54%	72.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	17	14	3					
		0.67%	0.97%	0.27%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
