Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Красноармейская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006					
1	"Число избирателей, внесенных в списки"	20920	2871	3014	2874	2677	2832	2559	1481	2612					
2	"Число бюллетеней, полученных участковыми комиссиями"	20900	2890	2990	2870	2680	2840	2570	1480	2580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11284	1670	1595	1681	1610	1619	1106	787	1216					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	194	19	20	24	23	20	40	7	41					
6	Число погашенных бюллетеней	9423	1201	1376	1165	1047	1201	1424	686	1323					
7	Число бюллетеней в переносных ящиках для голосования	194	19	20	24	23	20	40	7	41					
8	Число бюллетеней в стационарных ящиках для голосования	11271	1666	1593	1681	1607	1619	1105	787	1213					
9	Число недействительных бюллетеней	222	25	26	42	23	26	32	22	26					
10	Число действительных бюллетеней	11243	1660	1587	1663	1607	1613	1113	772	1228					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	25	25	25	25	25	25	24	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	10	7	3	7	3	3	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	13	11	4	2	7	5	3	6					
14	Число погашенных открепительных удостоверений	162	15	18	22	18	22	22	24	21					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	1	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	116	12	27	16	13	9	16	5	18					
		1.01%	0.71%	1.67%	0.93%	0.79%	0.54%	1.39%	0.62%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	429	68	57	79	76	71	20	36	22					
		3.74%	4.03%	3.53%	4.63%	4.66%	4.33%	1.74%	4.53%	1.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	329	46	57	53	47	34	40	23	29					
		2.86%	2.72%	3.53%	3.10%	2.88%	2.07%	3.49%	2.89%	2.31%					
