Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Балахтинская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №881	УИК №2279									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16588	1096	725	1068	692	963	1123	316	128	117	378	154	787	165	139	1217	433	83	29	230	177	547	36	144	301	37	806	110	67	132	319	125	55	1338	159	114	90	555	174	102	171	571	545	70									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15754	1000	650	1000	650	900	1000	300	130	116	350	154	750	168	139	1100	420	86	32	210	185	530	38	144	280	33	780	113	67	127	300	129	57	1300	159	115	92	550	179	103	169	550	530	69									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7575	534	306	371	275	516	337	157	71	68	206	82	230	74	82	523	239	57	16	117	133	214	6	76	203	24	371	81	49	71	188	80	42	453	65	68	56	282	78	53	77	279	317	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1157	67	57	98	23	37	120	13	10	3	23	14	65	11	9	55	19	5	1	5	0	27	10	5	16	4	77	6	0	29	27	17	3	144	12	17	14	27	5	5	14	33	30	0									
6	Число погашенных избирательных бюллетеней	7022	399	287	531	352	347	543	130	49	45	121	58	455	83	48	522	162	24	15	88	52	289	22	63	61	5	332	26	18	27	85	32	12	703	82	30	22	241	96	45	78	238	183	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1157	67	57	98	23	37	120	13	10	3	23	14	65	11	9	55	19	5	1	5	0	27	10	5	16	4	77	6	0	29	27	17	3	144	12	17	14	27	5	5	14	33	30	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7571	534	306	371	275	516	337	157	71	68	206	82	230	74	82	519	239	57	16	117	133	214	6	76	203	24	371	81	49	71	188	80	42	453	65	68	56	282	78	53	77	279	317	48									
9	Число недействительных избирательных бюллетеней	166	6	9	14	11	12	6	2	0	3	4	2	2	0	0	11	8	0	0	2	1	4	1	2	1	0	2	1	0	0	0	0	2	19	1	0	1	15	4	2	0	15	1	2									
10	Число действительных избирательных бюллетеней	8562	595	354	455	287	541	451	168	81	68	225	94	293	85	91	563	250	62	17	120	132	237	15	79	218	28	446	86	49	100	215	97	43	578	76	85	69	294	79	56	91	297	346	46									
