Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Тосненская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974					
1	"Число избирателей, внесенных в списки"	88518	2156	2691	2336	509	2247	702	1548	1250	2753	2608	2775	2305	2962	2423	888	927	621	938	2780	2241	1507	1927	2429	1215	1596	732	1578	1213	1234	941	581	1021	950	956	1137	1575	1379	850	2144	969	1378	307	1074	743	2214	314	954	1803	2236	2317	348	631	1477	786	250	2824	244	154	169	485	2687	1529					
2	"Число бюллетеней, полученных участковыми комиссиями"	88177	2150	2700	2340	480	2250	680	1550	1220	2740	2630	2720	2330	2980	2420	890	890	610	936	2790	2230	1500	1940	2440	1220	1590	726	1579	1200	1220	958	560	975	955	980	1035	1590	1380	865	1910	1015	1380	301	1090	735	2230	320	955	1810	2250	2320	343	625	1495	775	250	2890	242	152	165	475	2700	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35096	921	1115	1077	188	967	275	680	496	1176	1199	1133	966	1193	967	337	357	274	337	1164	980	571	826	984	446	563	305	660	300	289	388	166	450	249	316	282	469	525	293	793	464	552	71	534	302	910	87	428	574	887	959	150	264	664	276	76	1117	90	68	86	167	1040	653					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2604	14	23	15	46	12	40	23	50	30	17	54	12	13	14	34	40	24	71	35	49	15	15	22	25	35	9	8	56	106	32	100	64	47	37	162	22	18	48	315	33	64	40	26	24	17	47	45	28	10	14	53	56	9	69	42	120	48	19	33	44	11	0					
6	Число погашенных бюллетеней	50477	1215	1562	1248	246	1271	365	847	674	1534	1414	1533	1352	1774	1439	519	493	312	528	1591	1201	914	1099	1434	749	992	412	911	844	825	538	294	461	659	627	591	1099	837	524	802	518	764	190	530	409	1303	186	482	1208	1353	1347	140	305	822	430	132	1653	104	65	46	264	1649	847					
7	Число бюллетеней в переносных ящиках для голосования	2604	14	23	15	46	12	40	23	50	30	17	54	12	13	14	34	40	24	71	35	49	15	15	22	25	35	9	8	56	106	32	100	64	47	37	162	22	18	48	315	33	64	40	26	24	17	47	45	28	10	14	53	56	9	69	42	120	48	19	33	44	11	0					
8	Число бюллетеней в стационарных ящиках для голосования	35090	921	1115	1077	188	966	275	680	496	1176	1199	1133	966	1193	965	337	357	274	337	1164	980	569	826	984	446	563	305	660	300	289	388	166	450	249	316	282	469	525	293	793	464	552	71	534	302	910	87	428	574	887	958	150	264	664	276	76	1117	90	68	86	167	1040	653					
9	Число недействительных бюллетеней	505	6	11	12	1	18	3	2	5	13	5	7	8	11	9	6	6	10	3	22	16	12	15	13	9	6	12	0	2	9	6	2	7	5	6	5	10	7	7	19	7	13	3	12	6	12	5	8	13	15	5	1	3	11	6	2	15	4	1	1	6	21	9					
10	Число действительных бюллетеней	37189	929	1127	1080	233	960	312	701	541	1193	1211	1180	970	1195	970	365	391	288	405	1177	1013	572	826	993	462	592	302	668	354	386	414	264	507	291	347	439	481	536	334	1089	490	603	108	548	320	915	129	465	589	882	967	202	317	662	339	116	1222	134	86	118	205	1030	644					
