Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																													
Дата голосования: 18.09.2016																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская"																																																																																													
																																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																													
																																																																																													
		Сумма	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1896	УИК №2035									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	164702	2090	1271	2098	2170	2466	2624	2570	1458	1942	2536	2951	1472	2275	2070	2028	2203	1190	1688	2238	1906	2048	2117	1124	2267	2493	2958	332	2155	2054	2097	1710	1179	2572	2273	2174	2124	2124	2158	2018	2033	2268	2518	1763	2317	1371	1937	1391	2404	2315	1947	1822	1663	1364	1543	1922	2094	2046	1970	2172	2378	2362	1892	1480	2090	2715	2518	1540	3111	2094	2304	969	2241	2078	2052	1909	1473	1654	2412	1394	3036	2760	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	155020	1900	1200	2000	2100	2300	2500	2500	1300	1800	2400	2700	1400	2200	2000	1900	2100	1100	1600	2100	1900	2000	2000	1000	2200	2400	2800	280	2000	2000	2000	1600	1100	2300	2200	2100	2000	2000	2000	1900	1900	2100	2400	1700	2200	1300	1800	1300	2300	2200	1900	1700	1600	1200	1500	1800	2000	2000	1900	2100	2300	2200	1800	1400	2000	2500	2400	1400	2700	1900	2100	900	2100	2000	2000	1800	1400	1600	2200	1200	2600	2600	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48989	756	306	602	679	643	724	756	441	407	478	802	463	796	603	648	568	333	490	570	1606	656	674	367	770	805	734	113	479	650	652	329	244	848	724	558	612	683	588	588	376	491	501	362	703	456	573	471	497	487	523	574	463	407	504	646	755	559	610	720	708	685	625	417	538	835	758	391	881	606	720	386	721	664	737	684	501	537	708	624	1028	676	136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1005	13	5	8	11	12	9	11	1	8	30	10	3	2	4	5	3	0	4	5	54	8	4	0	6	6	18	0	7	17	9	4	2	10	9	19	7	18	16	21	13	20	15	10	8	6	11	6	11	15	45	12	14	7	5	4	10	10	27	8	9	5	1	5	3	7	5	0	2	3	0	5	12	15	29	5	9	19	0	0	221	14	0									
6	Число погашенных избирательных бюллетеней	105025	1131	889	1390	1410	1645	1767	1733	858	1385	1892	1888	934	1402	1393	1247	1529	767	1106	1525	240	1336	1322	633	1424	1588	2048	167	1514	1333	1339	1267	854	1442	1467	1523	1381	1299	1396	1291	1511	1589	1884	1328	1487	838	1216	823	1792	1698	1332	1114	1123	786	991	1150	1235	1431	1265	1372	1583	1510	1174	978	1459	1658	1637	1009	1817	1291	1380	509	1367	1321	1234	1111	890	1044	1492	576	1351	1910	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1003	13	5	8	11	12	9	11	1	8	30	10	3	2	4	5	3	0	4	5	54	8	4	0	6	6	18	0	7	17	9	4	2	10	9	19	7	18	16	21	13	20	15	10	8	6	11	6	11	15	45	12	14	7	5	4	10	10	25	8	9	5	1	5	3	7	5	0	2	3	0	5	12	15	29	5	9	19	0	0	221	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48970	756	306	601	679	640	724	756	441	407	478	802	463	796	603	648	568	333	490	570	1606	655	674	367	770	805	734	113	479	650	652	329	244	848	724	558	612	683	588	588	376	491	501	352	703	456	572	471	497	487	523	574	463	407	504	646	755	559	610	720	708	685	625	417	538	835	758	391	881	606	720	386	721	664	737	684	498	537	708	624	1028	676	136									
9	Число недействительных избирательных бюллетеней	1031	7	2	12	9	7	10	26	9	8	6	11	6	5	11	11	4	4	9	12	23	12	10	9	11	15	5	4	6	17	4	3	4	25	19	15	8	7	8	9	4	7	9	7	16	11	8	11	9	18	27	17	14	10	11	10	9	12	21	27	9	16	13	15	10	21	24	7	26	23	14	13	24	10	13	22	14	23	12	21	39	15	6									
10	Число действительных избирательных бюллетеней	48942	762	309	597	681	645	723	741	433	407	502	801	460	793	596	642	567	329	485	563	1637	651	668	358	765	796	747	109	480	650	657	330	242	833	714	562	611	694	596	600	385	504	507	355	695	451	575	466	499	484	541	569	463	404	498	640	756	557	614	701	708	674	613	407	531	821	739	384	857	586	706	378	709	669	753	667	493	533	696	603	1210	675	130									
