Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Буздякская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614					
1	"Число избирателей, внесенных в списки избирателей"	22385	353	375	198	119	2331	2445	2417	492	261	194	270	598	267	56	170	250	739	251	107	163	224	540	179	361	579	294	104	380	362	143	599	242	130	132	476	39	467	298	64	836	323	229	268	113	216	599	154	90	566	47	360	443	318	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22300	360	369	198	119	2254	2421	2366	492	261	194	271	604	264	56	170	250	740	249	107	163	224	543	179	364	577	294	104	380	368	143	600	243	130	132	477	39	487	320	72	836	323	229	260	113	216	617	156	90	566	47	356	434	320	153					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21394	353	369	198	109	2136	2312	2262	464	261	194	270	587	261	56	165	233	692	242	107	163	224	535	179	361	577	285	104	345	349	133	557	234	124	132	460	39	425	288	64	806	305	225	248	101	205	599	154	90	530	45	356	423	305	153					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	616	0	0	0	10	85	60	34	27	0	0	0	10	3	0	5	17	33	7	0	0	0	5	0	0	0	9	0	32	10	10	42	8	6	0	14	0	42	10	0	24	18	4	12	12	11	0	0	0	30	2	0	11	13	0					
6	Число погашенных избирательных бюллетеней	290	7	0	0	0	33	49	70	1	0	0	1	7	0	0	0	0	15	0	0	0	0	3	0	3	0	0	0	3	9	0	1	1	0	0	3	0	20	22	8	6	0	0	0	0	0	18	2	0	6	0	0	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	616	0	0	0	10	85	60	34	27	0	0	0	10	3	0	5	17	33	7	0	0	0	5	0	0	0	9	0	32	10	10	42	8	6	0	14	0	42	10	0	24	18	4	12	12	11	0	0	0	30	2	0	11	13	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21394	353	369	198	109	2136	2312	2262	464	261	194	270	587	261	56	165	233	692	242	107	163	224	535	179	361	577	285	104	345	349	133	557	234	124	132	460	39	425	288	64	806	305	225	248	101	205	599	154	90	530	45	356	423	305	153					
9	Число недействительных избирательных бюллетеней	59	0	0	0	0	30	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	21951	353	369	198	119	2191	2362	2290	491	261	194	270	597	264	56	170	250	725	249	107	163	224	540	179	361	577	294	104	377	359	143	599	242	130	132	465	39	467	298	64	830	323	229	260	113	212	599	154	90	560	47	356	434	318	153					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	185	2	2	2	2	22	39	22	7	2	0	0	3	2	1	2	2	3	2	2	1	1	4	3	3	2	2	1	5	2	0	3	4	0	2	2	1	5	2	0	5	2	2	2	0	0	0	1	0	2	1	2	6	2	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	135	1	2	2	0	18	31	20	3	0	0	0	3	2	0	2	2	3	0	2	0	0	4	0	2	2	2	1	5	2	0	3	2	0	1	1	0	4	1	0	5	0	1	1	0	0	0	1	0	2	0	0	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	115	0	6	1	0	12	12	10	4	0	0	2	3	2	0	0	2	4	2	0	1	0	3	0	0	3	3	2	3	2	0	2	3	0	1	1	0	2	3	0	6	0	0	11	0	1	0	1	0	2	0	4	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	50	1	0	0	2	4	8	2	4	2	0	0	0	0	1	0	0	0	2	0	1	1	0	3	1	0	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	2	1	1	0	0	0	0	0	0	1	2	3	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	0	1	3	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
