Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Буздякская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598					
1	"Число избирателей, внесенных в список избирателей"	23603	363	395	196	115	588	43	2486	2691	2761	471	313	71	493	213	209	364	399	220	554	263	96	178	257	767	266	123	161	227	556	188	397	620	300	102	374	376	151	584	236	127	106	608	144	92	492	31	906	328	252	368	469	348	165					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24916	378	423	203	120	605	44	2575	2790	2881	496	329	74	515	220	215	369	414	230	578	268	97	184	261	875	273	127	166	235	656	195	409	729	314	105	404	383	151	697	251	129	111	631	150	99	597	34	944	333	256	378	487	358	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18729	191	343	177	107	490	20	1623	1977	2112	312	264	71	449	174	208	267	317	184	550	250	90	163	197	471	258	123	161	227	463	178	397	550	256	102	260	274	137	416	219	122	99	600	144	92	432	31	421	283	236	325	430	324	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1308	35	20	16	5	63	22	139	99	42	38	23	0	23	23	0	83	62	15	4	8	5	11	22	46	5	0	0	0	36	7	0	44	34	0	30	70	14	60	11	5	7	0	0	0	31	0	63	31	12	29	0	15	0					
6	Число погашенных избирательных бюллетеней	4879	152	60	10	8	52	2	813	714	727	146	42	3	43	23	7	19	35	31	24	10	2	10	42	358	10	4	5	8	157	10	12	135	24	3	114	39	0	221	21	2	5	31	6	7	134	3	460	19	8	24	57	19	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1308	35	20	16	5	63	22	139	99	42	38	23	0	23	23	0	83	62	15	4	8	5	11	22	46	5	0	0	0	36	7	0	44	34	0	30	70	14	60	11	5	7	0	0	0	31	0	63	31	12	29	0	15	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18729	191	343	177	107	490	20	1623	1977	2112	312	264	71	449	174	208	267	317	184	550	250	90	163	197	471	258	123	161	227	463	178	397	550	256	102	260	274	137	416	219	122	99	600	144	92	432	31	421	283	236	325	430	324	162					
9	Число недействительных избирательных бюллетеней	297	3	3	5	0	0	0	104	6	14	6	2	0	0	17	0	38	1	12	5	2	0	0	0	16	0	0	0	0	3	0	0	12	0	1	4	0	3	3	0	0	0	0	0	0	7	0	14	0	6	1	9	0	0					
10	Число действительных избирательных бюллетеней	19740	223	360	188	112	553	42	1658	2070	2140	344	285	71	472	180	208	312	378	187	549	256	95	174	219	501	263	123	161	227	496	185	397	582	290	101	286	344	148	473	230	127	106	600	144	92	456	31	470	314	242	353	421	339	162					
