Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Шовгеновская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12378	476	718	345	913	734	327	818	253	74	1805	1201	236	1481	816	826	631	724									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12380	480	711	345	903	730	326	824	253	74	1818	1198	239	1481	813	827	631	727									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10696	334	549	269	795	649	293	616	214	70	1606	1074	217	1395	788	738	403	686									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	448	27	92	31	87	26	0	0	16	0	90	36	13	27	3	0	0	0									
6	Число погашенных избирательных бюллетеней	1236	119	70	45	21	55	33	208	23	4	122	88	9	59	22	89	228	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	448	27	92	31	87	26	0	0	16	0	90	36	13	27	3	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10696	334	549	269	795	649	293	616	214	70	1606	1074	217	1395	788	738	403	686									
9	Число недействительных избирательных бюллетеней	149	4	4	1	3	9	5	3	0	2	107	11	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	10995	357	637	299	879	666	288	613	230	68	1589	1099	230	1422	791	738	403	686									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	3	6	3	6	6	3	6	3	3	8	8	3	8	6	6	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	5	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	85	3	6	3	6	6	3	5	3	3	5	8	3	7	6	6	6	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	2	3	0	0	1	2	2	2	0	2	1	1	1	0	1	1	0									
		0.17%	0.55%	0.47%	0.00%	0.00%	0.15%	0.68%	0.32%	0.87%	0.00%	0.12%	0.09%	0.43%	0.07%	0.00%	0.14%	0.25%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	336	6	6	2	16	19	3	98	0	3	73	20	6	19	10	8	47	0									
		3.02%	1.66%	0.94%	0.67%	1.81%	2.81%	1.02%	15.91%	0.00%	4.29%	4.30%	1.80%	2.61%	1.34%	1.26%	1.08%	11.66%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	3	1	1	5	7	3	5	0	2	16	7	0	4	3	6	2	0									
		0.58%	0.83%	0.16%	0.33%	0.57%	1.04%	1.02%	0.81%	0.00%	2.86%	0.94%	0.63%	0.00%	0.28%	0.38%	0.81%	0.50%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7818	223	455	203	525	538	205	364	141	53	1251	933	175	913	553	567	178	541									
		70.15%	61.77%	70.98%	67.67%	59.52%	79.70%	69.97%	59.09%	61.30%	75.71%	73.76%	84.05%	76.09%	64.21%	69.91%	76.83%	44.17%	78.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	0	5	0	1	0	0	5	0	0	1	5	0	5	0	2	8	0									
		0.29%	0.00%	0.78%	0.00%	0.11%	0.00%	0.00%	0.81%	0.00%	0.00%	0.06%	0.45%	0.00%	0.35%	0.00%	0.27%	1.99%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0									
		0.05%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1014	49	70	32	70	56	31	34	52	5	67	32	21	227	150	21	34	63									
		9.10%	13.57%	10.92%	10.67%	7.94%	8.30%	10.58%	5.52%	22.61%	7.14%	3.95%	2.88%	9.13%	15.96%	18.96%	2.85%	8.44%	9.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	1	0	0	3	0	0	0	0	0	0	1	3	4	0	3	0	0									
		0.13%	0.28%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	1.30%	0.28%	0.00%	0.41%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	194	3	2	2	2	0	0	16	5	0	15	3	2	64	14	52	12	2									
		1.74%	0.83%	0.31%	0.67%	0.23%	0.00%	0.00%	2.60%	2.17%	0.00%	0.88%	0.27%	0.87%	4.50%	1.77%	7.05%	2.98%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	2	0	0	0	0	0	0	0	0	1	0	8	0	0	1	0									
		0.11%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.56%	0.00%	0.00%	0.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	28	1	1	1	0	3	0	5	2	0	3	0	0	3	0	4	2	3									
		0.25%	0.28%	0.16%	0.33%	0.00%	0.44%	0.00%	0.81%	0.87%	0.00%	0.18%	0.00%	0.00%	0.21%	0.00%	0.54%	0.50%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1342	57	58	41	253	38	42	77	26	5	150	88	20	172	54	68	116	77									
		12.04%	15.79%	9.05%	13.67%	28.68%	5.63%	14.33%	12.50%	11.30%	7.14%	8.84%	7.93%	8.70%	12.10%	6.83%	9.21%	28.78%	11.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	1	2	0	0	0	1	2	0	3	1	0	2	0	0	0	0									
		0.11%	0.00%	0.16%	0.67%	0.00%	0.00%	0.00%	0.16%	0.87%	0.00%	0.18%	0.09%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	102	12	32	15	4	4	2	5	0	0	7	7	2	0	7	3	2	0									
