Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Сибайская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43767	2161	2084	665	1276	690	1913	2180	2067	2142	786	1719	2128	2000	2640	1738	2023	2442	2294	900	1069	2196	2048	2107	2499									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43000	2100	2000	710	1210	750	1900	2150	2000	2100	820	1700	2100	1900	2600	1600	2000	2400	2300	960	900	2150	2050	2100	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21285	1685	884	399	511	676	981	1461	657	1199	315	554	1268	621	730	805	1548	1159	1606	392	522	747	1409	480	676									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	631	28	15	19	4	14	4	60	35	23	11	5	14	22	33	3	26	38	19	9	100	38	18	64	29									
6	Число погашенных избирательных бюллетеней	21084	387	1101	292	695	60	915	629	1308	878	494	1141	818	1257	1837	792	426	1203	675	559	278	1365	623	1556	1795									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	631	28	15	19	4	14	4	60	35	23	11	5	14	22	33	3	26	38	19	9	100	38	18	64	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21273	1685	884	399	511	676	981	1461	657	1199	315	554	1268	621	730	802	1548	1159	1606	383	522	747	1409	480	676									
9	Число недействительных избирательных бюллетеней	349	12	33	6	12	2	19	10	14	6	11	32	0	43	23	13	10	6	7	11	7	22	5	27	18									
10	Число действительных избирательных бюллетеней	21555	1701	866	412	503	688	966	1511	678	1216	315	527	1282	600	740	792	1564	1191	1618	381	615	763	1422	517	687									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	353	19	15	9	13	9	13	17	17	17	9	13	17	17	17	17	17	17	16	13	9	16	16	12	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	196	12	10	1	11	2	9	11	5	7	4	8	6	7	14	7	10	5	12	6	5	8	9	9	18									
