Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Ярославский район																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54448	2761	2853	2753	2821	2360	2138	1800	2389	2258	2376	2236	290	1681	2302	2671	2141	2161	2803	2982	2761	2838	2667	2406									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41600	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	200	1500	2000	2000	1500	1600	2000	2100	2000	2000	2000	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17797	806	1013	933	908	679	802	653	831	725	830	710	110	544	736	872	715	672	863	980	910	901	809	795									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	727	105	45	50	32	9	27	15	23	24	38	20	0	34	35	34	26	36	42	33	28	27	30	14									
6	Число погашенных избирательных бюллетеней	23076	1089	942	1017	1060	1312	671	832	1146	1251	1132	1270	90	922	1229	1094	759	892	1095	1087	1062	1072	1161	891									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	727	105	45	50	32	9	27	15	23	24	38	20	0	34	35	34	26	36	42	33	28	27	30	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17754	806	1011	933	908	679	802	653	830	725	830	710	110	544	734	870	702	672	861	969	902	901	809	793									
9	Число недействительных избирательных бюллетеней	384	29	20	14	18	16	11	12	21	17	15	14	0	11	15	14	16	16	14	26	37	24	13	11									
10	Число действительных избирательных бюллетеней	18097	882	1036	969	922	672	818	656	832	732	853	716	110	567	754	890	712	692	889	976	893	904	826	796									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	20	20	10	20	20	30	20	10	10	10	10	10	10	10	30	20	10	20	30	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	287	17	14	10	15	11	18	9	9	7	6	6	4	7	9	23	11	7	16	20	20	15	19	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	521	11	21	27	59	71	10	85	27	4	12	3	6	20	2	3	3	19	10	21	11	35	15	46									
14	Число погашенных неиспользованных открепительных удостоверений	113	3	6	0	5	9	12	11	1	3	4	4	6	3	1	7	9	3	4	10	0	5	1	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	5	7	7	5	3	2	3	6	3	2	4	0	5	1	1	1	2	1	1	3	5	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	580	23	26	34	31	17	29	26	29	33	24	30	1	18	18	30	18	22	32	37	23	34	17	28									
		3.14%	2.52%	2.46%	3.46%	3.30%	2.47%	3.50%	3.89%	3.40%	4.41%	2.76%	4.11%	0.91%	3.11%	2.34%	3.32%	2.47%	3.11%	3.54%	3.69%	2.47%	3.66%	2.03%	3.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	349	10	21	25	20	11	17	14	17	15	12	18	0	4	9	17	16	13	18	17	21	23	20	11									
		1.89%	1.10%	1.99%	2.54%	2.13%	1.60%	2.05%	2.10%	1.99%	2.00%	1.38%	2.47%	0.00%	0.69%	1.17%	1.88%	2.20%	1.84%	1.99%	1.70%	2.26%	2.48%	2.38%	1.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	584	27	21	30	25	18	29	14	16	27	33	31	8	15	30	37	21	18	25	37	44	27	24	27									
		3.16%	2.96%	1.99%	3.05%	2.66%	2.62%	3.50%	2.10%	1.88%	3.60%	3.80%	4.25%	7.27%	2.60%	3.90%	4.09%	2.88%	2.54%	2.77%	3.69%	4.73%	2.91%	2.86%	3.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6836	404	415	358	360	251	288	234	275	265	278	219	46	205	317	349	284	264	350	357	325	351	335	306									
		36.99%	44.35%	39.30%	36.42%	38.30%	36.48%	34.74%	35.03%	32.24%	35.38%	32.03%	30.00%	41.82%	35.47%	41.22%	38.61%	39.01%	37.29%	38.76%	35.63%	34.95%	37.82%	39.93%	37.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	351	20	21	13	18	14	21	14	13	16	20	15	3	13	10	11	14	16	18	23	10	15	13	20									
		1.90%	2.20%	1.99%	1.32%	1.91%	2.03%	2.53%	2.10%	1.52%	2.14%	2.30%	2.05%	2.73%	2.25%	1.30%	1.22%	1.92%	2.26%	1.99%	2.30%	1.08%	1.62%	1.55%	2.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	68	5	4	3	5	3	4	4	4	1	5	3	0	3	1	2	2	2	1	5	3	1	5	2									
		0.37%	0.55%	0.38%	0.31%	0.53%	0.44%	0.48%	0.60%	0.47%	0.13%	0.58%	0.41%	0.00%	0.52%	0.13%	0.22%	0.27%	0.28%	0.11%	0.50%	0.32%	0.11%	0.60%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2617	119	139	171	124	145	124	81	102	80	123	99	12	66	111	115	84	98	126	150	142	141	137	128									
		14.16%	13.06%	13.16%	17.40%	13.19%	21.08%	14.96%	12.13%	11.96%	10.68%	14.17%	13.56%	10.91%	11.42%	14.43%	12.72%	11.54%	13.84%	13.95%	14.97%	15.27%	15.19%	16.33%	15.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	514	20	27	30	28	10	22	21	19	20	31	22	1	17	20	14	35	15	28	34	27	25	19	29									
		2.78%	2.20%	2.56%	3.05%	2.98%	1.45%	2.65%	3.14%	2.23%	2.67%	3.57%	3.01%	0.91%	2.94%	2.60%	1.55%	4.81%	2.12%	3.10%	3.39%	2.90%	2.69%	2.26%	3.59%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	592	20	37	28	44	29	38	29	39	10	34	37	5	23	20	21	30	23	27	22	15	23	16	22									
		3.20%	2.20%	3.50%	2.85%	4.68%	4.22%	4.58%	4.34%	4.57%	1.34%	3.92%	5.07%	4.55%	3.98%	2.60%	2.32%	4.12%	3.25%	2.99%	2.20%	1.61%	2.48%	1.91%	2.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	2	1	3	2	2	0	3	4	4	0	1	0	0	0	2	0	0	0	2	3	0	0	1									
		0.16%	0.22%	0.09%	0.31%	0.21%	0.29%	0.00%	0.45%	0.47%	0.53%	0.00%	0.14%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.20%	0.32%	0.00%	0.00%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1506	44	75	80	79	47	41	61	98	98	108	84	6	68	54	75	54	46	76	70	75	57	55	55									
		8.15%	4.83%	7.10%	8.14%	8.40%	6.83%	4.95%	9.13%	11.49%	13.08%	12.44%	11.51%	5.45%	11.76%	7.02%	8.30%	7.42%	6.50%	8.42%	6.99%	8.06%	6.14%	6.56%	6.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2546	104	132	112	129	92	131	120	140	94	114	101	18	95	108	121	96	104	130	131	127	120	119	108									
		13.78%	11.42%	12.50%	11.39%	13.72%	13.37%	15.80%	17.96%	16.41%	12.55%	13.13%	13.84%	16.36%	16.44%	14.04%	13.38%	13.19%	14.69%	14.40%	13.07%	13.66%	12.93%	14.18%	13.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	107	8	4	2	6	2	6	3	7	2	5	2	3	4	3	3	4	4	8	7	5	3	6	10									
		0.58%	0.88%	0.38%	0.20%	0.64%	0.29%	0.72%	0.45%	0.82%	0.27%	0.58%	0.27%	2.73%	0.69%	0.39%	0.33%	0.55%	0.56%	0.89%	0.70%	0.54%	0.32%	0.72%	1.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1417	76	113	80	51	31	68	32	69	67	66	54	7	36	53	93	54	67	50	84	73	84	60	49									
		7.67%	8.34%	10.70%	8.14%	5.43%	4.51%	8.20%	4.79%	8.09%	8.95%	7.60%	7.40%	6.36%	6.23%	6.89%	10.29%	7.42%	9.46%	5.54%	8.38%	7.85%	9.05%	7.15%	6.07%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
