Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Дзержинская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  5175	УИК  5176	УИК  5177	УИК  5178	УИК  5179	УИК  5180					
1	"Число избирателей, внесенных в списки"	58957	2563	264	2418	339	241	254	125	291	258	496	379	129	504	82	2836	964	179	278	436	525	258	2385	2553	2454	2211	1056	2343	1175	2181	1887	2261	2024	1055	2050	2252	1139	1033	585	239	479	234	153	2009	3366	2318	4382	587	727					
2	"Число бюллетеней, полученных участковыми комиссиями"	81810	2600	280	2200	355	240	220	120	300	270	530	370	127	530	91	2800	950	214	270	410	480	230	2200	2400	2200	2100	950	2200	1050	2250	1750	2150	2000	1750	1850	1850	1100	900	570	220	500	230	193	6000	7810	6000	6000	6000	6000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33324	1440	152	1343	115	118	157	66	122	126	295	164	42	279	0	1278	437	64	158	193	256	8	1096	1078	900	1185	545	1014	381	861	883	985	902	1044	995	1038	585	513	231	131	215	93	87	1503	3347	2295	3406	572	626					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3295	52	19	20	73	27	54	20	28	36	31	36	32	32	66	70	94	39	40	74	60	123	14	31	52	16	43	37	14	51	91	47	39	11	14	14	20	6	213	63	61	36	29	235	19	21	976	15	101					
6	Число погашенных бюллетеней	45191	1108	109	837	167	95	9	34	150	108	204	170	53	219	25	1452	419	111	72	143	164	99	1090	1291	1248	899	362	1149	655	1338	776	1118	1059	695	841	798	495	381	126	26	224	101	77	4262	4444	3684	1618	5413	5273					
7	Число бюллетеней в переносных ящиках для голосования	3295	52	19	20	73	27	54	20	28	36	31	36	32	32	66	70	94	39	40	74	60	123	14	31	52	16	43	37	14	51	91	47	39	11	14	14	20	6	213	63	61	36	29	235	19	21	976	15	101					
8	Число бюллетеней в стационарных ящиках для голосования	33287	1440	152	1338	115	118	157	66	122	126	295	164	42	279	0	1275	436	63	158	193	256	8	1095	1078	900	1183	545	1011	381	861	883	985	902	1044	995	1038	594	513	231	130	215	93	87	1493	3339	2292	3398	572	626					
9	Число недействительных бюллетеней	433	34	5	24	0	2	1	1	2	5	5	4	0	0	0	17	12	0	0	8	12	1	20	17	12	11	7	8	3	12	15	8	11	8	19	14	12	15	0	0	10	4	2	2	34	13	30	7	6					
10	Число действительных бюллетеней	36149	1458	166	1334	188	143	210	85	148	157	321	196	74	311	66	1328	518	102	198	259	304	130	1089	1092	940	1188	581	1040	392	900	959	1024	930	1047	990	1038	602	504	444	193	266	125	114	1726	3324	2300	4344	580	721					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	895	38	4	34	6	4	4	3	5	4	8	6	3	9	2	39	15	4	4	7	9	39	36	33	35	32	19	34	16	28	34	29	29	29	34	19	15	9	8	8	4	13	4	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	119	11	0	10	0	1	2	2	3	2	0	0	1	0	0	11	1	0	0	0	1	1	9	4	3	3	1	1	0	2	7	1	6	2	3	7	5	5	0	2	0	11	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	1	3	5	1	1	5	2	0	4	1	0	0	2	0	12	5	0	0	2	2	1	3	9	24	4	1	2	0	6	2	3	2	4	5	4	4	4	7	2	1	1	1	0	0	2	3	0	3					
14	Число погашенных открепительных удостоверений	776	27	4	24	6	3	2	1	2	2	8	6	2	9	2	28	14	4	4	7	8	38	27	29	32	29	18	33	16	26	27	28	23	27	31	12	10	4	8	6	4	2	3	30	30	30	30	30	30					
15	Число открепительных удостоверений выданных ТИК	30	1	1	1	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	4	1	1	0	0	2	0	3	0	1	1	1	0	3	0	1	0	0	0	0	0	0	0	0					
