Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Соловецкая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №869					
1	"Число избирателей, внесенных в списки избирателей"	706	706					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	560	560					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	345	345					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	54	54					
6	Число погашенных избирательных бюллетеней	161	161					
7	Число избирательных бюллетеней в переносных ящиках для голосования	54	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	345	345					
9	Число недействительных избирательных бюллетеней	9	9					
10	Число действительных избирательных бюллетеней	390	390					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	18	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	8	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	6	6					
		1.50%	1.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	7	7					
		1.75%	1.75%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	15	15					
		3.76%	3.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	2					
		0.50%	0.50%					
23	6.Политическая партия «Партия социальной справедливости»	0	0					
		0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	59	59					
		14.79%	14.79%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	28	28					
		7.02%	7.02%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	5	5					
		1.25%	1.25%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	263	263					
		65.91%	65.91%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	5					
		1.25%	1.25%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
