Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Басманный район																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  3001	УИК  3002	УИК  3003	УИК  3004	УИК  3005	УИК  3006	УИК  3007	УИК  3008	УИК  3009					
1	"Число избирателей, внесенных в список"	66066	1538	2255	2461	1769	2617	1785	2704	1224	3100	2112	2196	2495	2108	2616	1818	1754	2497	2520	2192	2058	2694	2672	1875	2071	2501	2238	2589	1930	2039	312	165	406	230	121	193	25	100	86					
2	Число полученных избирательных бюллетеней	64496	1400	2200	2200	1800	2300	1600	2500	1200	2700	2000	1900	2400	2000	2500	1800	1593	2400	2500	2200	2200	2600	2500	1769	2000	2200	2200	2700	2000	2200	1100	250	570	250	152	250	112	122	128					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44091	1119	1159	1286	1068	1595	897	1680	699	2187	1540	1530	1693	1580	1476	1289	1236	1522	1717	1785	1089	2072	1638	1224	1567	1912	1764	1531	1462	1669	209	83	146	183	121	172	25	100	66					
5	"Число избирательных бюллетеней, выданных вне помещения"	1989	33	57	44	49	33	29	24	29	64	54	56	54	52	50	54	22	77	66	30	26	56	44	54	126	86	35	56	53	69	103	72	260	32	0	20	0	0	20					
6	Число погашенных избирательных бюллетеней	18416	248	984	870	683	672	674	796	472	449	406	314	653	368	974	457	335	801	717	385	1085	472	818	491	307	202	401	1113	485	462	788	95	164	35	31	58	87	22	42					
7	Число избирательных бюллетеней в переносных ящиках	1987	32	57	44	49	33	29	24	29	64	54	56	54	52	49	54	22	77	66	30	26	56	44	54	126	86	35	56	53	69	103	72	260	32	0	20	0	0	20					
8	Число бюллетеней в стационарных ящиках для голосования	43987	1112	1151	1278	1068	1595	897	1680	699	2186	1526	1530	1693	1580	1473	1287	1232	1522	1717	1755	1086	2072	1637	1222	1567	1892	1764	1531	1462	1669	208	83	146	183	121	172	25	100	66					
9	Число недействительных избирательных бюллетеней	477	0	8	8	5	9	5	4	3	204	7	5	7	11	10	9	9	18	6	16	5	13	11	7	19	12	21	19	7	11	0	0	5	1	0	0	0	0	2					
10	Число действительных избирательных бюллетеней	45497	1144	1200	1314	1112	1619	921	1700	725	2046	1573	1581	1740	1621	1512	1332	1245	1581	1777	1769	1107	2115	1670	1269	1674	1966	1778	1568	1508	1727	311	155	401	214	121	192	25	100	84					
11	Число полученных открепительных  удостоверений	1890	25	50	53	50	55	50	40	50	60	30	30	50	50	50	50	50	50	55	389	270	43	65	30	30	30	40	45	50	50	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1755	20	46	52	48	55	26	39	38	54	29	30	49	41	50	44	44	49	53	389	245	40	65	23	27	28	40	44	45	42	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2537	97	63	80	39	117	114	36	42	77	59	75	43	204	59	74	38	46	110	76	38	75	72	48	259	203	41	49	42	36	105	17	29	20	9	24	5	5	11					
14	Число неиспользованных открепительных удостоверений	135	5	4	1	2	0	24	1	12	6	1	0	1	9	0	6	6	1	2	0	25	3	0	7	3	2	0	1	5	8	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	2770	65	91	105	85	118	74	83	67	130	84	77	115	71	124	58	70	98	123	87	86	63	150	83	78	87	104	100	88	105	23	11	21	15	2	12	2	4	11					
		6.03%	5.68%	7.53%	7.94%	7.61%	7.25%	7.99%	4.87%	9.20%	5.78%	5.32%	4.85%	6.58%	4.35%	8.15%	4.33%	5.58%	6.13%	6.90%	4.87%	7.73%	2.96%	8.92%	6.50%	4.61%	4.40%	5.78%	6.30%	5.81%	6.04%	7.40%	7.10%	5.17%	6.98%	1.65%	6.25%	8.00%	4.00%	12.79%					
19	. Малышкин Олег Александрович	465	11	11	16	6	15	10	20	2	22	9	16	12	15	13	8	26	14	18	24	15	17	21	11	16	22	22	23	15	15	4	1	6	2	4	3	0	0	0					
		1.01%	0.96%	0.91%	1.21%	0.54%	0.92%	1.08%	1.17%	0.27%	0.98%	0.57%	1.01%	0.69%	0.92%	0.85%	0.60%	2.07%	0.88%	1.01%	1.34%	1.35%	0.80%	1.25%	0.86%	0.95%	1.11%	1.22%	1.45%	0.99%	0.86%	1.29%	0.65%	1.48%	0.93%	3.31%	1.56%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	258	6	7	7	5	8	8	15	1	8	5	5	18	12	6	11	8	11	15	3	5	11	10	19	6	9	14	6	8	5	1	0	3	1	0	1	0	0	0					
		0.56%	0.52%	0.58%	0.53%	0.45%	0.49%	0.86%	0.88%	0.14%	0.36%	0.32%	0.32%	1.03%	0.74%	0.39%	0.82%	0.64%	0.69%	0.84%	0.17%	0.45%	0.52%	0.59%	1.49%	0.35%	0.46%	0.78%	0.38%	0.53%	0.29%	0.32%	0.00%	0.74%	0.47%	0.00%	0.52%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	31027	746	691	745	728	968	520	943	398	1366	1160	1173	1167	1136	956	971	871	1044	1174	1378	741	1722	1074	864	1299	1465	1161	1058	1094	1285	221	105	281	157	95	127	16	76	51					
		67.49%	65.21%	57.20%	56.35%	65.17%	59.46%	56.16%	55.34%	54.67%	60.71%	73.42%	73.96%	66.80%	69.61%	62.81%	72.41%	69.46%	65.29%	65.84%	77.20%	66.64%	80.92%	63.89%	67.71%	76.73%	74.06%	64.54%	66.67%	72.21%	73.94%	71.06%	67.74%	69.21%	73.02%	78.51%	66.15%	64.00%	76.00%	59.30%					
22	. Хакамада Ирина Муцуовна	4138	81	199	223	101	153	159	261	96	122	133	81	193	136	150	111	66	183	188	93	106	101	144	94	141	149	203	166	102	129	7	8	24	11	6	6	1	5	6					
		9.00%	7.08%	16.47%	16.87%	9.04%	9.40%	17.17%	15.32%	13.19%	5.42%	8.42%	5.11%	11.05%	8.33%	9.86%	8.28%	5.26%	11.44%	10.54%	5.21%	9.53%	4.75%	8.57%	7.37%	8.33%	7.53%	11.28%	10.46%	6.73%	7.42%	2.25%	5.16%	5.91%	5.12%	4.96%	3.12%	4.00%	5.00%	6.98%					
23	. Харитонов Николай Михайлович	3032	112	88	101	85	96	66	105	89	163	82	96	114	85	174	95	75	117	126	83	72	73	166	59	56	102	125	99	77	108	37	20	33	18	1	20	5	2	7					
		6.60%	9.79%	7.28%	7.64%	7.61%	5.90%	7.13%	6.16%	12.23%	7.24%	5.19%	6.05%	6.53%	5.21%	11.43%	7.08%	5.98%	7.32%	7.07%	4.65%	6.47%	3.43%	9.88%	4.62%	3.31%	5.16%	6.95%	6.24%	5.08%	6.21%	11.90%	12.90%	8.13%	8.37%	0.83%	10.42%	20.00%	2.00%	8.14%					
																																													
24	Против всех	3807	123	113	117	102	261	84	273	72	235	100	133	121	166	89	78	129	114	133	101	82	128	105	139	78	132	149	116	124	80	18	10	33	10	13	23	1	13	9					
		8.28%	10.75%	9.35%	8.85%	9.13%	16.03%	9.07%	16.02%	9.89%	10.44%	6.33%	8.39%	6.93%	10.17%	5.85%	5.82%	10.29%	7.13%	7.46%	5.66%	7.37%	6.02%	6.25%	10.89%	4.61%	6.67%	8.28%	7.31%	8.18%	4.60%	5.79%	6.45%	8.13%	4.65%	10.74%	11.98%	4.00%	13.00%	10.47%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
