Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Федоровская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  1643	УИК  1644	УИК  1645	УИК  1646	УИК  1647	УИК  1648	УИК  1649	УИК  1650	УИК  1651	УИК  1652	УИК  1653	УИК  1654	УИК  1655	УИК  1656	УИК  1657	УИК  1658	УИК  1659	УИК  1660	УИК  1661	УИК  1662	УИК  1663	УИК  1664	УИК  1665	УИК  1666					
1	"Число избирателей, внесенных в список"	16636	1371	1789	1265	1523	343	591	291	267	443	561	622	542	235	626	693	647	267	674	646	594	385	979	122	1160					
2	Число полученных избирательных бюллетеней	16631	1360	1795	1225	1475	340	600	294	270	445	572	650	528	232	620	698	672	270	685	650	598	388	975	134	1155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10753	837	961	559	829	265	428	241	169	291	390	457	390	194	375	522	409	207	460	447	486	294	646	93	803					
5	"Число избирательных бюллетеней, выданных вне помещения"	1055	24	49	56	21	12	55	12	32	40	77	79	56	26	63	31	87	43	97	61	24	22	53	10	25					
6	Число погашенных избирательных бюллетеней	4823	499	785	610	625	63	117	41	69	114	105	114	82	12	182	145	176	20	128	142	88	72	276	31	327					
7	Число избирательных бюллетеней в переносных ящиках	1055	24	49	56	21	12	55	12	32	40	77	79	56	26	63	31	87	43	97	61	24	22	53	10	25					
8	Число бюллетеней в стационарных ящиках для голосования	10753	837	961	559	829	265	428	241	169	291	390	457	390	194	375	522	409	207	460	447	486	294	646	93	803					
9	Число недействительных избирательных бюллетеней	87	2	3	5	8	1	9	0	1	6	2	1	5	0	4	6	5	2	6	3	7	0	6	2	3					
10	Число действительных избирательных бюллетеней	11721	859	1007	610	842	276	474	253	200	325	465	535	441	220	434	547	491	248	551	505	503	316	693	101	825					
11	Число полученных открепительных  удостоверений	390	30	30	30	30	10	15	10	10	10	20	15	15	10	20	20	15	10	15	10	15	10	15	5	20					
12	Число выданных открепительных удостоверений	173	23	23	10	9	0	15	1	3	4	11	10	3	1	20	3	12	4	3	3	5	1	5	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	2	4	2	4	2	2	1	1	2	2	1	3	1	1	2	1	4	1	3	1	0	3	1	1					
14	Число неиспользованных открепительных удостоверений	217	7	7	20	21	10	0	9	7	6	9	5	12	9	0	17	3	6	12	7	10	9	10	5	16					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	229	16	22	17	27	5	10	1	8	3	7	15	8	2	6	4	11	11	1	5	10	5	16	1	18					
		1.94%	1.86%	2.18%	2.76%	3.18%	1.81%	2.07%	0.40%	3.98%	0.91%	1.50%	2.80%	1.79%	0.91%	1.37%	0.72%	2.22%	4.40%	0.18%	0.98%	1.96%	1.58%	2.29%	0.97%	2.17%					
19	. Малышкин Олег Александрович	415	28	45	22	22	7	24	16	7	14	21	31	7	9	12	5	8	11	11	22	20	22	22	1	28					
		3.51%	3.25%	4.46%	3.58%	2.59%	2.53%	4.97%	6.32%	3.48%	4.23%	4.50%	5.78%	1.57%	4.09%	2.74%	0.90%	1.61%	4.40%	1.97%	4.33%	3.92%	6.96%	3.15%	0.97%	3.38%					
20	. Миронов Сергей Михайлович	71	3	14	4	9	2	4	1	0	1	2	6	2	0	2	2	1	2	2	1	6	1	3	2	1					
		0.60%	0.35%	1.39%	0.65%	1.06%	0.72%	0.83%	0.40%	0.00%	0.30%	0.43%	1.12%	0.45%	0.00%	0.46%	0.36%	0.20%	0.80%	0.36%	0.20%	1.18%	0.32%	0.43%	1.94%	0.12%					
21	. Путин Владимир Владимирович	6528	562	586	316	472	119	203	143	86	190	328	280	213	140	191	428	199	159	293	296	329	171	300	39	485					
		55.28%	65.27%	58.02%	51.38%	55.53%	42.96%	42.03%	56.52%	42.79%	57.40%	70.24%	52.24%	47.76%	63.64%	43.61%	77.40%	40.12%	63.60%	52.60%	58.27%	64.51%	54.11%	42.92%	37.86%	58.57%					
22	. Хакамада Ирина Муцуовна	205	16	9	17	29	1	5	2	4	5	4	10	5	5	12	4	15	1	9	7	9	9	8	4	15					
		1.74%	1.86%	0.89%	2.76%	3.41%	0.36%	1.04%	0.79%	1.99%	1.51%	0.86%	1.87%	1.12%	2.27%	2.74%	0.72%	3.02%	0.40%	1.62%	1.38%	1.76%	2.85%	1.14%	3.88%	1.81%					
23	. Харитонов Николай Михайлович	4071	212	309	224	253	138	223	85	93	108	98	185	197	55	205	100	253	60	230	168	120	99	333	54	269					
		34.48%	24.62%	30.59%	36.42%	29.76%	49.82%	46.17%	33.60%	46.27%	32.63%	20.99%	34.51%	44.17%	25.00%	46.80%	18.08%	51.01%	24.00%	41.29%	33.07%	23.53%	31.33%	47.64%	52.43%	32.49%					
																															
24	Против всех	202	22	22	10	30	4	5	5	2	4	5	8	9	9	6	4	4	4	5	6	9	9	11	0	9					
		1.71%	2.56%	2.18%	1.63%	3.53%	1.44%	1.04%	1.98%	1.00%	1.21%	1.07%	1.49%	2.02%	4.09%	1.37%	0.72%	0.81%	1.60%	0.90%	1.18%	1.76%	2.85%	1.57%	0.00%	1.09%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
