Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Саянская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1017	УИК №1018	УИК №1019	УИК  1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038					
1	"Число избирателей, внесенных в список"	32969	464	1582	1813	1627	1690	1613	1754	1754	1727	1455	1690	1741	1736	1447	1750	553	1604	1253	1581	1653	951	1531					
2	Число полученных избирательных бюллетеней	32590	440	1550	1800	1600	1650	1600	1750	1750	1700	1450	1700	1750	1750	1450	1750	550	1600	1250	1550	1600	850	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18687	287	912	1043	868	966	913	1017	1055	1018	907	976	1045	944	838	888	222	949	659	951	968	423	838					
5	"Число избирательных бюллетеней, выданных вне помещения"	577	65	26	23	12	37	22	38	11	23	18	12	20	12	8	18	1	28	19	28	28	107	21					
6	Число погашенных избирательных бюллетеней	13326	88	612	734	720	647	665	695	684	659	525	712	685	794	604	844	327	623	572	571	604	320	641					
7	Число избирательных бюллетеней в переносных ящиках	577	65	26	23	12	37	22	38	11	23	18	12	20	12	8	18	1	28	19	28	28	107	21					
8	Число бюллетеней в стационарных ящиках для голосования	18687	287	912	1043	868	966	913	1017	1055	1018	907	976	1045	944	838	888	222	949	659	951	968	423	838					
9	Число недействительных избирательных бюллетеней	122	1	5	5	6	9	7	7	9	6	11	1	10	5	7	4	6	5	6	5	2	0	5					
10	Число действительных избирательных бюллетеней	19142	351	933	1061	874	994	928	1048	1057	1035	914	987	1055	951	839	902	217	972	672	974	994	530	854					
11	Число полученных открепительных  удостоверений	480	8	24	24	24	24	24	24	24	24	24	24	24	24	24	24	10	24	15	24	24	15	24					
12	Число выданных открепительных удостоверений	258	1	14	10	15	16	13	11	13	16	14	21	15	13	16	15	4	10	4	13	10	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	19	6	6	6	4	2	3	1	3	1	4	6	3	4	6	0	1	3	3	5	0	3					
14	Число неиспользованных открепительных удостоверений	222	7	10	14	9	8	11	13	11	8	10	3	9	11	8	9	6	14	11	11	14	10	15					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	835	4	42	38	46	42	42	37	47	42	30	40	56	37	25	50	3	51	27	51	58	27	40					
		4.33%	1.14%	4.48%	3.56%	5.23%	4.19%	4.49%	3.51%	4.41%	4.03%	3.24%	4.05%	5.26%	3.87%	2.96%	5.52%	1.35%	5.22%	3.98%	5.21%	5.82%	5.09%	4.66%					
19	. Малышкин Олег Александрович	807	1	39	64	51	33	49	45	44	35	48	43	37	37	30	34	18	36	32	29	39	26	37					
		4.19%	0.28%	4.16%	6.00%	5.80%	3.29%	5.24%	4.27%	4.13%	3.36%	5.19%	4.35%	3.47%	3.87%	3.55%	3.75%	8.07%	3.68%	4.72%	2.96%	3.92%	4.91%	4.31%					
20	. Миронов Сергей Михайлович	173	3	7	10	6	3	12	8	5	14	8	5	12	9	6	11	1	9	5	11	7	10	11					
		0.90%	0.85%	0.75%	0.94%	0.68%	0.30%	1.28%	0.76%	0.47%	1.34%	0.86%	0.51%	1.13%	0.94%	0.71%	1.21%	0.45%	0.92%	0.74%	1.12%	0.70%	1.89%	1.28%					
21	. Путин Владимир Владимирович	12193	308	584	633	533	658	570	702	703	653	589	643	651	607	587	544	146	565	428	617	629	321	522					
		63.29%	87.50%	62.26%	59.38%	60.57%	65.60%	60.96%	66.54%	65.95%	62.73%	63.68%	65.08%	61.13%	63.49%	69.39%	60.04%	65.47%	57.83%	63.13%	63.02%	63.15%	60.57%	60.77%					
22	. Хакамада Ирина Муцуовна	957	9	37	49	43	47	52	38	62	61	52	65	66	48	40	45	13	52	28	42	34	27	47					
		4.97%	2.56%	3.94%	4.60%	4.89%	4.69%	5.56%	3.60%	5.82%	5.86%	5.62%	6.58%	6.20%	5.02%	4.73%	4.97%	5.83%	5.32%	4.13%	4.29%	3.41%	5.09%	5.47%					
23	. Харитонов Николай Михайлович	3265	19	175	224	154	154	167	167	148	182	126	136	189	160	111	173	30	216	123	183	178	92	158					
		16.95%	5.40%	18.66%	21.01%	17.50%	15.35%	17.86%	15.83%	13.88%	17.48%	13.62%	13.77%	17.75%	16.74%	13.12%	19.09%	13.45%	22.11%	18.14%	18.69%	17.87%	17.36%	18.39%					
																													
24	Против всех	912	7	49	43	41	57	36	51	48	48	61	55	44	53	40	45	6	43	29	41	49	27	39					
		4.73%	1.99%	5.22%	4.03%	4.66%	5.68%	3.85%	4.83%	4.50%	4.61%	6.59%	5.57%	4.13%	5.54%	4.73%	4.97%	2.69%	4.40%	4.28%	4.19%	4.92%	5.09%	4.54%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
