Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Пенза, Железнодорожная"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в список"	85161	2057	1373	1610	2475	2384	2562	2551	2427	2107	2404	1948	1954	1740	2398	2803	2297	2431	2641	2710	1676	1974	2069	2410	1555	2048	3008	2888	2870	1430	1871	1433	1737	2853	1638	1674	2751	2628	957	2819					
2	Число полученных избирательных бюллетеней	76550	1900	1250	1450	2250	2250	2350	2300	2200	1950	2150	1600	1750	1600	2150	2350	2100	2200	2400	2500	1500	1750	1850	2200	1500	1900	2600	2650	2600	1300	1700	1300	1600	2500	1450	1500	2200	2350	850	2550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46938	1030	724	895	1546	1478	1511	1488	1448	1331	1358	1030	1083	1123	1179	1432	1363	1549	1308	1527	865	1003	1166	1387	802	942	1559	1467	1438	664	857	653	1024	1478	976	1056	1738	1271	584	1605					
5	"Число избирательных бюллетеней, выданных вне помещения"	2835	101	34	31	60	32	38	43	58	44	55	170	46	62	90	253	34	10	103	28	80	84	96	27	80	120	287	77	140	36	33	50	26	67	15	24	45	99	69	88					
6	Число погашенных избирательных бюллетеней	26776	769	492	524	643	740	801	769	694	575	737	400	621	415	881	665	703	641	989	945	555	663	588	786	618	838	754	1106	1022	600	810	597	550	955	459	420	417	980	197	857					
7	Число избирательных бюллетеней в переносных ящиках	2835	101	34	31	60	32	38	43	58	44	55	170	46	62	90	253	34	10	103	28	80	84	96	27	80	120	287	77	140	36	33	50	26	67	15	24	45	99	69	88					
8	Число бюллетеней в стационарных ящиках для голосования	46861	1030	724	895	1544	1477	1511	1488	1448	1291	1358	1027	1083	1123	1179	1432	1363	1547	1308	1527	865	1003	1166	1387	802	942	1559	1467	1437	664	856	650	1024	1478	976	1032	1738	1271	584	1605					
9	Число недействительных избирательных бюллетеней	476	22	10	5	9	7	17	11	13	6	16	7	10	10	14	14	10	24	13	26	13	10	21	13	7	11	18	22	15	8	14	2	13	14	2	6	6	14	15	8					
10	Число действительных избирательных бюллетеней	49220	1109	748	921	1595	1502	1532	1520	1493	1329	1397	1190	1119	1175	1255	1671	1387	1533	1398	1529	932	1077	1241	1401	875	1051	1828	1522	1562	692	875	698	1037	1531	989	1050	1777	1356	638	1685					
11	Число полученных открепительных  удостоверений	1358	30	20	20	40	60	40	55	60	40	35	20	30	40	30	45	43	45	35	70	20	25	35	45	25	25	40	50	40	10	25	20	30	35	30	35	35	30	10	35					
12	Число выданных открепительных удостоверений	1143	28	16	19	36	50	36	44	50	34	29	20	29	35	24	40	26	38	25	55	13	18	33	33	20	20	36	45	34	10	25	18	27	34	27	32	30	25	5	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1464	22	17	13	20	6	14	22	33	10	14	136	84	14	32	13	12	18	14	20	21	15	25	12	6	9	175	12	63	8	9	13	31	54	16	27	366	56	11	21					
14	Число неиспользованных открепительных удостоверений	215	2	4	1	4	10	4	11	10	6	6	0	1	5	6	5	17	7	10	15	7	7	2	12	5	5	4	5	6	0	0	2	3	1	3	3	5	5	5	11					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1					
16	Число утраченных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	4566	65	57	111	210	142	209	170	183	112	181	119	102	96	113	137	155	139	110	128	73	140	81	128	48	83	141	133	112	48	67	53	64	109	112	103	159	186	56	131					
		9.19%	5.75%	7.52%	11.99%	13.09%	9.41%	13.49%	11.10%	12.15%	8.39%	12.81%	9.94%	9.03%	8.10%	8.90%	8.13%	11.10%	8.93%	7.80%	8.23%	7.72%	12.88%	6.42%	9.05%	5.44%	7.82%	7.64%	8.61%	7.10%	6.86%	7.54%	7.57%	6.10%	7.06%	11.30%	9.75%	8.92%	13.58%	8.58%	7.74%					
19	. Малышкин Олег Александрович	1225	43	25	25	30	34	27	48	41	23	34	25	20	29	30	54	35	40	54	52	8	34	35	39	25	26	30	44	44	17	16	27	31	23	17	19	32	28	19	42					
		2.46%	3.80%	3.30%	2.70%	1.87%	2.25%	1.74%	3.14%	2.72%	1.72%	2.41%	2.09%	1.77%	2.45%	2.36%	3.20%	2.51%	2.57%	3.83%	3.34%	0.85%	3.13%	2.77%	2.76%	2.83%	2.45%	1.63%	2.85%	2.79%	2.43%	1.80%	3.86%	2.95%	1.49%	1.72%	1.80%	1.79%	2.04%	2.91%	2.48%					
20	. Миронов Сергей Михайлович	411	11	9	6	11	7	15	7	14	10	11	11	10	15	8	16	12	15	11	10	9	6	12	15	3	13	19	9	12	1	15	3	8	19	14	18	5	5	3	13					
		0.83%	0.97%	1.19%	0.65%	0.69%	0.46%	0.97%	0.46%	0.93%	0.75%	0.78%	0.92%	0.89%	1.27%	0.63%	0.95%	0.86%	0.96%	0.78%	0.64%	0.95%	0.55%	0.95%	1.06%	0.34%	1.22%	1.03%	0.58%	0.76%	0.14%	1.69%	0.43%	0.76%	1.23%	1.41%	1.70%	0.28%	0.36%	0.46%	0.77%					
21	. Путин Владимир Владимирович	29551	727	457	577	901	916	833	840	881	773	731	685	698	674	738	975	776	876	871	913	612	650	772	796	584	628	1119	906	1006	412	497	413	673	1039	583	620	1156	767	392	1084					
		59.46%	64.28%	60.29%	62.31%	56.17%	60.70%	53.78%	54.87%	58.50%	57.90%	51.73%	57.23%	61.82%	56.88%	58.16%	57.86%	55.55%	56.26%	61.73%	58.71%	64.76%	59.80%	61.17%	56.29%	66.21%	59.13%	60.62%	58.68%	63.79%	58.86%	55.91%	59.00%	64.10%	67.25%	58.83%	58.71%	64.83%	55.99%	60.03%	64.03%					
22	. Хакамада Ирина Муцуовна	1805	42	30	30	68	52	62	54	56	41	64	61	43	54	47	58	51	73	34	52	32	36	30	64	22	22	71	64	52	22	29	25	33	68	57	55	43	48	20	40					
		3.63%	3.71%	3.96%	3.24%	4.24%	3.45%	4.00%	3.53%	3.72%	3.07%	4.53%	5.10%	3.81%	4.56%	3.70%	3.44%	3.65%	4.69%	2.41%	3.34%	3.39%	3.31%	2.38%	4.53%	2.49%	2.07%	3.85%	4.15%	3.30%	3.14%	3.26%	3.57%	3.14%	4.40%	5.75%	5.21%	2.41%	3.50%	3.06%	2.36%					
23	. Харитонов Николай Михайлович	9204	160	131	136	295	290	313	328	256	309	308	236	197	255	256	318	264	249	233	297	162	175	259	271	164	226	374	305	243	170	212	151	167	184	164	171	284	265	114	312					
		18.52%	14.15%	17.28%	14.69%	18.39%	19.22%	20.21%	21.42%	17.00%	23.15%	21.80%	19.72%	17.45%	21.52%	20.17%	18.87%	18.90%	15.99%	16.51%	19.10%	17.14%	16.10%	20.52%	19.17%	18.59%	21.28%	20.26%	19.75%	15.41%	24.29%	23.85%	21.57%	15.90%	11.91%	16.55%	16.19%	15.93%	19.34%	17.46%	18.43%					
																																														
24	Против всех	2458	61	39	36	80	61	73	73	62	61	68	53	49	52	63	113	94	141	85	77	36	36	52	88	29	53	74	61	93	22	39	26	61	89	42	64	98	57	34	63					
		4.95%	5.39%	5.15%	3.89%	4.99%	4.04%	4.71%	4.77%	4.12%	4.57%	4.81%	4.43%	4.34%	4.39%	4.96%	6.71%	6.73%	9.06%	6.02%	4.95%	3.81%	3.31%	4.12%	6.22%	3.29%	4.99%	4.01%	3.95%	5.90%	3.14%	4.39%	3.71%	5.81%	5.76%	4.24%	6.06%	5.50%	4.16%	5.21%	3.72%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
