Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Ординская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319					
1	"Число избирателей, внесенных в список избирателей"	13002	1848	1024	1424	775	284	843	256	511	467	800	283	126	1343	170	798	830	479	296	445					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12815	1800	1000	1400	770	290	840	260	515	460	780	290	130	1300	170	800	800	480	290	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	301	0	0	0	58	0	47	0	38	41	0	0	0	0	0	0	17	60	0	40					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5627	863	386	619	300	110	333	87	201	180	423	138	68	588	93	441	329	171	144	153					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	686	58	36	57	33	31	81	33	33	19	31	14	25	102	11	30	46	11	17	18					
6	Число погашенных избирательных бюллетеней	6201	879	578	724	379	149	379	140	243	220	326	138	37	610	66	329	408	238	129	229					
7	Число избирательных бюллетеней в переносных ящиках для голосования	987	58	36	57	91	31	128	33	71	60	31	14	25	102	11	30	63	71	17	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5626	863	386	619	300	110	333	87	201	180	423	138	68	588	93	441	329	171	143	153					
9	Число недействительных избирательных бюллетеней	117	10	9	7	12	2	9	1	6	2	10	0	2	7	3	13	7	11	3	3					
10	Число действительных избирательных бюллетеней	6496	911	413	669	379	139	452	119	266	238	444	152	91	683	101	458	385	231	157	208					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	25	14	20	10	5	12	4	7	6	10	5	3	18	3	10	12	6	4	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	89	14	4	11	1	2	5	0	4	2	10	4	3	11	3	3	5	6	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	7	6	3	2	0	3	1	2	0	0	1	0	6	1	4	2	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	91	11	10	9	9	3	7	4	3	4	0	1	0	7	0	7	7	0	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	910	174	72	94	55	12	60	10	28	37	28	33	8	103	14	41	41	39	29	32					
		13.76%	18.89%	17.06%	13.91%	14.07%	8.51%	13.02%	8.33%	10.29%	15.42%	6.17%	21.71%	8.60%	14.93%	13.46%	8.70%	10.46%	16.12%	18.13%	15.17%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1241	181	101	171	67	32	94	6	69	47	21	25	14	150	12	19	74	59	41	58					
		18.77%	19.65%	23.93%	25.30%	17.14%	22.70%	20.39%	5.00%	25.37%	19.58%	4.63%	16.45%	15.05%	21.74%	11.54%	4.03%	18.88%	24.38%	25.63%	27.49%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	84	16	6	7	6	0	6	2	3	4	2	1	1	5	2	7	4	7	2	3					
		1.27%	1.74%	1.42%	1.04%	1.53%	0.00%	1.30%	1.67%	1.10%	1.67%	0.44%	0.66%	1.08%	0.72%	1.92%	1.49%	1.02%	2.89%	1.25%	1.42%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1452	162	91	164	62	19	79	52	100	17	194	31	14	109	16	191	77	28	21	25					
		21.96%	17.59%	21.56%	24.26%	15.86%	13.48%	17.14%	43.33%	36.76%	7.08%	42.73%	20.39%	15.05%	15.80%	15.38%	40.55%	19.64%	11.57%	13.13%	11.85%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	131	33	15	18	6	7	6	0	7	3	2	3	0	5	4	4	6	3	5	4					
		1.98%	3.58%	3.55%	2.66%	1.53%	4.96%	1.30%	0.00%	2.57%	1.25%	0.44%	1.97%	0.00%	0.72%	3.85%	0.85%	1.53%	1.24%	3.13%	1.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2641	338	121	210	181	68	204	48	59	130	197	58	54	308	52	194	183	94	58	84					
		39.94%	36.70%	28.67%	31.07%	46.29%	48.23%	44.25%	40.00%	21.69%	54.17%	43.39%	38.16%	58.06%	44.64%	50.00%	41.19%	46.68%	38.84%	36.25%	39.81%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	37	7	7	5	2	1	3	1	0	0	0	1	0	3	1	2	0	1	1	2					
		0.56%	0.76%	1.66%	0.74%	0.51%	0.71%	0.65%	0.83%	0.00%	0.00%	0.00%	0.66%	0.00%	0.43%	0.96%	0.42%	0.00%	0.41%	0.63%	0.95%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
