Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Верхнетуринская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227					
1	"Число избирателей, внесенных в списки избирателей"	8480	1257	996	1087	1068	2059	2013					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8400	1195	990	1070	1090	2040	2015					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4786	798	525	600	648	1125	1090					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	352	75	54	30	33	42	118					
6	Число погашенных избирательных бюллетеней	3262	322	411	440	409	873	807					
7	Число избирательных бюллетеней в переносных ящиках для голосования	352	75	54	30	33	42	118					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4786	798	525	600	648	1125	1090					
9	Число недействительных избирательных бюллетеней	43	5	5	10	4	13	6					
10	Число действительных избирательных бюллетеней	5095	868	574	620	677	1154	1202					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	44	5	5	7	7	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	43	5	5	7	6	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	26	2	1	6	3	7	7					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	1	3	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	81	12	11	5	11	19	23					
		1.58%	1.37%	1.90%	0.79%	1.62%	1.63%	1.90%					
19	2.Всероссийская политическая партия «Гражданская Сила»	141	11	10	44	22	22	32					
		2.74%	1.26%	1.73%	6.98%	3.23%	1.89%	2.65%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	0	1	2	0					
		0.06%	0.00%	0.00%	0.00%	0.15%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	333	41	46	32	52	77	85					
		6.48%	4.70%	7.94%	5.08%	7.64%	6.60%	7.04%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	39	5	2	1	4	7	20					
		0.76%	0.57%	0.35%	0.16%	0.59%	0.60%	1.66%					
23	6.Политическая партия «Партия социальной справедливости»	15	2	1	0	2	3	7					
		0.29%	0.23%	0.17%	0.00%	0.29%	0.26%	0.58%					
24	7.Политическая партия «Либерально-демократическая партия России»	565	108	45	73	80	133	126					
		10.99%	12.37%	7.77%	11.59%	11.75%	11.40%	10.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	335	39	30	38	47	87	94					
		6.52%	4.47%	5.18%	6.03%	6.90%	7.46%	7.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	36	6	9	5	3	4	9					
		0.70%	0.69%	1.55%	0.79%	0.44%	0.34%	0.75%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3514	641	418	418	449	794	794					
		68.39%	73.42%	72.19%	66.35%	65.93%	68.04%	65.73%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	33	3	2	4	6	6	12					
		0.64%	0.34%	0.35%	0.63%	0.88%	0.51%	0.99%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
