Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:     Волоколамская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112					
1	"Число избирателей, внесенных в списки"	41600	1055	1353	2642	2544	2427	2947	2926	1325	1194	866	1891	1270	304	945	1333	760	418	743	1263	335	2707	876	733	688	2534	717	1247	470	552	930	1075	530					
2	"Число бюллетеней, полученных участковыми комиссиями"	41040	971	1316	2605	2467	2374	2752	2868	1302	1167	875	1869	1257	302	949	1364	774	423	756	1255	333	2714	880	721	692	2514	715	1272	462	556	937	1062	536					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17945	357	552	1006	1198	988	1289	1253	539	532	349	633	479	139	497	518	329	227	302	468	158	1348	376	338	259	1094	305	511	238	241	445	447	530					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1777	85	18	69	40	23	14	12	20	7	109	21	29	46	27	160	50	12	72	164	58	28	70	45	78	145	87	85	19	57	82	45	0					
6	Число погашенных бюллетеней	21318	529	746	1530	1229	1363	1449	1603	743	628	417	1215	749	117	425	686	395	184	382	623	117	1338	434	338	355	1275	323	676	205	258	410	570	6					
7	Число бюллетеней в переносных ящиках для голосования	1777	85	18	69	40	23	14	12	20	7	109	21	29	46	27	160	50	12	72	164	58	28	70	45	78	145	87	85	19	57	82	45	0					
8	Число бюллетеней в стационарных ящиках для голосования	17924	357	552	1006	1193	988	1280	1253	539	532	349	633	479	139	497	518	329	224	302	468	158	1348	375	338	259	1094	305	511	238	241	445	444	530					
9	Число недействительных бюллетеней	466	9	20	14	32	14	16	10	15	17	13	20	7	6	13	14	8	14	14	13	1	27	16	20	4	12	11	26	8	6	23	15	28					
10	Число действительных бюллетеней	19235	433	550	1061	1201	997	1278	1255	544	522	445	634	501	179	511	664	371	222	360	619	215	1349	429	363	333	1227	381	570	249	292	504	474	502					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1160	30	40	50	50	50	50	50	40	40	30	40	40	30	30	40	30	30	30	40	30	50	30	30	30	50	30	40	30	30	30	40	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	151	2	1	8	7	10	10	9	5	3	4	4	3	0	3	6	3	3	6	4	3	10	1	1	10	9	8	11	0	3	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	178	3	4	7	5	7	11	6	6	1	4	4	5	6	0	6	6	0	2	13	3	8	11	4	4	21	5	1	1	3	3	4	14					
14	Число погашенных открепительных удостоверений	1009	28	39	42	43	40	40	41	35	37	26	36	37	30	27	34	27	27	24	36	27	40	29	29	20	41	22	29	30	27	27	39	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	186	3	3	6	17	4	2	6	8	6	5	6	3	0	4	10	4	4	6	5	0	8	6	10	3	11	8	13	2	6	1	3	13					
		0.94%	0.67%	0.52%	0.55%	1.37%	0.39%	0.15%	0.47%	1.43%	1.11%	1.09%	0.91%	0.59%	0.0%	0.76%	1.47%	1.05%	1.69%	1.60%	0.79%	0.0%	0.58%	1.34%	2.61%	0.89%	0.88%	2.04%	2.18%	0.77%	2.01%	0.18%	0.61%	2.45%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	536	13	17	40	33	34	58	41	9	16	6	16	21	3	6	8	7	0	8	9	2	62	13	23	9	17	5	12	18	4	4	7	15					
		2.72%	2.94%	2.98%	3.72%	2.67%	3.36%	4.48%	3.24%	1.61%	2.96%	1.31%	2.44%	4.13%	1.62%	1.14%	1.17%	1.84%	0.0%	2.13%	1.42%	0.92%	4.50%	2.92%	6.00%	2.67%	1.37%	1.27%	2.01%	7.00%	1.34%	0.75%	1.43%	2.83%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	596	10	16	29	48	29	38	15	12	17	9	22	10	15	11	16	10	11	15	31	10	45	20	11	8	51	11	18	4	11	17	21	5					
		3.02%	2.26%	2.80%	2.69%	3.89%	2.86%	2.93%	1.18%	2.14%	3.15%	1.96%	3.36%	1.96%	8.10%	2.09%	2.35%	2.63%	4.66%	4.01%	4.90%	4.62%	3.27%	4.49%	2.87%	2.37%	4.11%	2.80%	3.02%	1.55%	3.69%	3.22%	4.29%	0.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	657	11	19	55	44	46	52	65	13	22	13	18	14	6	16	18	4	6	1	23	5	61	11	17	16	31	5	14	6	12	13	4	16					
		3.33%	2.48%	3.33%	5.11%	3.56%	4.54%	4.01%	5.13%	2.32%	4.08%	2.83%	2.75%	2.75%	3.24%	3.05%	2.65%	1.05%	2.54%	0.26%	3.63%	2.31%	4.43%	2.47%	4.43%	4.74%	2.50%	1.27%	2.34%	2.33%	4.02%	2.46%	0.81%	3.01%					
22	"5. ""За Русь Святую"""	105	8	4	5	4	0	9	4	1	3	2	1	3	0	0	4	2	1	4	2	3	3	3	4	1	13	2	3	0	2	3	0	11					
