Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Няндомская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636					
1	"Число избирателей, внесенных в списки"	25728	1617	1645	1319	1947	1357	1948	1695	1617	1276	1835	374	1061	419	108	489	126	225	82	190	201	774	585	132	226	372	199	190	101	768	1288	693	540	132	197					
2	"Число бюллетеней, полученных участковыми комиссиями"	25135	1500	1600	1200	1900	1400	1800	1500	1500	1200	1800	380	1100	430	111	490	130	225	82	205	210	780	580	135	225	390	203	197	104	790	1300	740	590	155	183					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13091	793	765	571	957	829	1012	919	817	572	796	143	550	195	67	262	84	137	58	87	80	393	302	84	133	231	113	128	56	448	704	308	277	87	133					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1335	54	52	37	69	20	80	122	47	40	43	25	68	51	15	5	8	20	9	37	67	127	46	7	45	16	17	8	3	17	51	76	25	14	14					
6	Число погашенных бюллетеней	10709	653	783	592	874	551	708	459	636	588	961	212	482	184	29	223	38	68	15	81	63	260	232	44	47	143	73	61	45	325	545	356	288	54	36					
7	Число бюллетеней в переносных ящиках для голосования	1335	54	52	37	69	20	80	122	47	40	43	25	68	51	15	5	8	20	9	37	67	127	46	7	45	16	17	8	3	17	51	76	25	14	14					
8	Число бюллетеней в стационарных ящиках для голосования	13088	792	765	571	957	829	1012	919	817	570	796	143	550	195	67	262	84	137	58	87	80	393	302	84	133	231	113	128	56	448	704	308	277	87	133					
9	Число недействительных бюллетеней	194	12	7	5	4	14	13	3	17	5	13	2	8	2	1	7	0	4	0	1	0	0	13	1	4	0	3	7	0	10	22	6	8	1	1					
10	Число действительных бюллетеней	14229	834	810	603	1022	835	1079	1038	847	605	826	166	610	244	81	260	92	153	67	123	147	520	335	90	174	247	127	129	59	455	733	378	294	100	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	566	30	30	25	30	30	30	30	30	21	20	15	20	15	10	15	10	15	10	10	10	15	10	10	10	10	10	10	5	20	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	133	9	6	3	4	11	18	13	9	8	2	1	6	2	0	2	0	7	0	2	3	0	0	1	0	5	2	5	0	1	2	8	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	2	12	4	2	4	7	6	4	5	2	0	4	4	1	1	0	1	0	1	2	5	1	0	1	0	1	3	0	1	4	2	0	0	0					
14	Число погашенных открепительных удостоверений	433	21	24	22	26	19	12	17	21	13	18	14	14	13	10	13	10	8	10	8	7	15	10	9	10	5	8	5	5	19	18	2	9	10	8					
15	Число открепительных удостоверений выданных ТИК	6	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
