Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Саракташская 																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484					
1	"Число избирателей, внесенных в списки"	31407	2900	2423	2860	3047	2489	1096	384	254	167	205	499	454	403	221	503	445	482	265	618	1581	587	524	139	171	291	141	332	519	257	341	193	795	180	434	270	703	483	913	279	195	234	117	944	358	381	330					
2	"Число бюллетеней, полученных участковыми комиссиями"	31831	3000	2500	2750	3000	2500	1170	400	220	190	210	500	460	400	230	520	450	470	261	620	1650	600	530	140	180	300	150	340	550	260	350	200	800	190	450	280	650	500	930	280	200	230	120	970	400	400	330					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17202	1536	1038	1090	1424	924	662	240	164	112	130	326	341	288	159	329	301	376	208	390	820	415	325	81	94	181	104	264	350	204	243	143	404	127	247	199	381	211	522	192	123	168	74	569	243	266	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	950	77	97	50	50	49	60	0	24	0	0	10	8	7	8	7	36	0	12	72	39	39	10	19	24	12	9	0	18	0	18	10	19	10	0	0	5	5	70	13	17	9	14	16	0	7	0					
6	Число погашенных бюллетеней	13679	1387	1365	1610	1526	1527	448	160	32	78	80	164	111	105	63	184	113	94	41	158	791	146	195	40	62	107	37	76	182	56	89	47	377	53	203	81	264	284	338	75	60	53	32	385	157	127	116					
7	Число бюллетеней в переносных ящиках для голосования	950	77	97	50	50	49	60	0	24	0	0	10	8	7	8	7	36	0	12	72	39	39	10	19	24	12	9	0	18	0	18	10	19	10	0	0	5	5	70	13	17	9	14	16	0	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	17154	1536	1038	1090	1424	924	637	240	164	112	130	326	341	288	159	329	301	375	208	390	820	415	325	81	94	179	104	264	332	204	243	143	404	127	247	199	381	211	520	192	123	168	74	569	243	266	214					
9	Число недействительных бюллетеней	345	16	17	10	22	16	12	0	2	3	6	16	10	0	9	12	4	0	2	6	14	7	7	4	0	19	2	1	5	0	3	2	4	6	7	2	11	6	21	3	11	4	5	8	8	10	12					
10	Число действительных бюллетеней	17759	1597	1118	1130	1452	957	685	240	186	109	124	320	339	295	158	324	333	375	218	456	845	447	328	96	118	172	111	263	345	204	258	151	419	131	240	197	375	210	569	202	129	173	83	577	235	263	202					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	456	35	30	35	35	30	15	6	5	5	5	8	8	8	4	6	6	6	6	7	25	7	6	4	4	4	4	4	7	5	6	4	15	4	6	4	12	6	15	4	4	4	4	20	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	40	3	7	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	5	5	5	5	3	0	0	0	0	0	1	2	0	0	2	1	3	0	0	0	0	0	1	1	0	2	0	3	0	1	2	1	1	0	0	0	0	3	1	0	0	0	2	1	0	2					
14	Число погашенных открепительных удостоверений	416	32	23	32	32	29	15	6	5	5	5	7	8	8	4	6	6	6	4	7	19	4	2	4	4	4	4	4	7	5	6	4	15	4	5	4	11	6	10	4	4	4	4	20	6	6	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	264	14	6	19	19	8	4	3	7	3	4	6	5	10	5	1	5	6	1	7	17	4	4	3	0	5	0	6	8	3	3	4	5	2	4	0	7	3	13	4	2	5	0	13	4	5	7					
		1.45%	0.86%	0.52%	1.66%	1.28%	0.82%	0.57%	1.25%	3.72%	2.67%	3.07%	1.78%	1.43%	3.38%	2.99%	0.29%	1.48%	1.6%	0.45%	1.51%	1.97%	0.88%	1.19%	3.0%	0.0%	2.61%	0.0%	2.27%	2.28%	1.47%	1.14%	2.61%	1.18%	1.45%	1.61%	0.0%	1.81%	1.38%	2.20%	1.95%	1.42%	2.82%	0.0%	2.22%	1.64%	1.83%	3.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	234	30	32	17	18	21	4	0	0	2	1	2	6	5	1	3	2	4	0	7	11	3	0	1	5	2	0	6	1	1	1	0	4	1	0	0	1	4	8	0	0	2	2	8	3	11	4					
		1.29%	1.85%	2.81%	1.49%	1.22%	2.15%	0.57%	0.0%	0.0%	1.78%	0.76%	0.59%	1.71%	1.69%	0.59%	0.89%	0.59%	1.06%	0.0%	1.51%	1.28%	0.66%	0.0%	1.0%	4.23%	1.04%	0.0%	2.27%	0.28%	0.49%	0.38%	0.0%	0.94%	0.72%	0.0%	0.0%	0.25%	1.85%	1.35%	0.0%	0.0%	1.12%	2.27%	1.36%	1.23%	4.02%	1.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	410	32	21	32	38	28	21	11	2	2	2	1	7	4	6	8	5	2	1	2	20	12	3	1	11	6	4	2	7	6	3	3	10	1	3	10	10	4	21	6	4	10	2	14	6	2	4					
		2.26%	1.98%	1.85%	2.80%	2.57%	2.87%	3.01%	4.58%	1.06%	1.78%	1.53%	0.29%	2.00%	1.35%	3.59%	2.38%	1.48%	0.53%	0.45%	0.43%	2.32%	2.64%	0.89%	1.0%	9.32%	3.14%	3.53%	0.75%	2.0%	2.94%	1.14%	1.96%	2.36%	0.72%	1.21%	5.02%	2.59%	1.85%	3.55%	2.92%	2.85%	5.64%	2.27%	2.39%	2.46%	0.73%	1.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	250	38	27	12	24	18	16	2	2	5	0	13	3	2	1	3	4	2	0	2	17	0	1	1	0	1	2	3	3	2	0	0	3	1	1	0	3	3	9	2	0	2	0	11	4	1	6					
		1.38%	2.35%	2.37%	1.05%	1.62%	1.84%	2.29%	0.83%	1.06%	4.46%	0.0%	3.86%	0.85%	0.67%	0.59%	0.89%	1.18%	0.53%	0.0%	0.43%	1.97%	0.0%	0.29%	1.0%	0.0%	0.52%	1.76%	1.13%	0.85%	0.98%	0.0%	0.0%	0.70%	0.72%	0.40%	0.0%	0.77%	1.38%	1.52%	0.97%	0.0%	1.12%	0.0%	1.88%	1.64%	0.36%	2.80%					
22	"5. ""За Русь Святую"""	56	2	7	2	2	5	2	0	0	0	0	0	0	0	0	1	0	0	0	5	5	0	1	0	0	0	0	0	1	0	0	1	2	0	3	0	3	0	3	3	1	1	0	4	0	1	1					
		0.30%	0.12%	0.61%	0.17%	0.13%	0.51%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	1.08%	0.58%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.65%	0.47%	0.0%	1.21%	0.0%	0.77%	0.0%	0.50%	1.46%	0.71%	0.56%	0.0%	0.68%	0.0%	0.36%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	51	2	3	2	3	1	1	0	0	0	2	3	1	1	1	3	2	0	0	0	2	0	1	0	3	2	0	1	3	0	0	0	1	0	1	1	0	2	1	0	0	3	1	0	0	0	4					
		0.28%	0.12%	0.26%	0.17%	0.20%	0.10%	0.14%	0.0%	0.0%	0.0%	1.53%	0.89%	0.28%	0.33%	0.59%	0.89%	0.59%	0.0%	0.0%	0.0%	0.23%	0.0%	0.29%	0.0%	2.54%	1.04%	0.0%	0.37%	0.85%	0.0%	0.0%	0.0%	0.23%	0.0%	0.40%	0.50%	0.0%	0.92%	0.16%	0.0%	0.0%	1.69%	1.13%	0.0%	0.0%	0.0%	1.86%					
24	"7. ""Новый курс - Автомобильная Россия"""	68	9	5	8	7	8	0	0	1	1	0	1	3	3	1	1	0	0	1	0	2	0	0	2	1	0	4	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1					
		0.37%	0.55%	0.44%	0.70%	0.47%	0.82%	0.0%	0.0%	0.53%	0.89%	0.0%	0.29%	0.85%	1.01%	0.59%	0.29%	0.0%	0.0%	0.45%	0.0%	0.23%	0.0%	0.0%	2.0%	0.84%	0.0%	3.53%	0.37%	0.57%	0.49%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.46%					
25	"8. ""Народно-республиканская партия России"""	34	0	2	1	0	5	1	3	3	2	0	1	0	1	0	2	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	2	1	0					
		0.18%	0.0%	0.17%	0.08%	0.0%	0.51%	0.14%	1.25%	1.59%	1.78%	0.0%	0.29%	0.0%	0.33%	0.0%	0.59%	0.0%	0.0%	0.45%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.25%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.36%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	50	2	3	5	3	1	1	1	0	3	2	1	0	1	1	0	0	0	2	0	5	0	1	2	1	1	0	1	0	1	3	1	1	0	0	0	0	0	1	1	2	0	0	1	1	1	0					
		0.27%	0.12%	0.26%	0.43%	0.20%	0.10%	0.14%	0.41%	0.0%	2.67%	1.53%	0.29%	0.0%	0.33%	0.59%	0.0%	0.0%	0.0%	0.90%	0.0%	0.58%	0.0%	0.29%	2.0%	0.84%	0.52%	0.0%	0.37%	0.0%	0.49%	1.14%	0.65%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.48%	1.42%	0.0%	0.0%	0.17%	0.41%	0.36%	0.0%					
27	"10. ""Аграрная партия России"""	2738	109	58	43	67	37	105	49	20	19	56	110	108	96	30	85	78	92	99	37	94	122	78	5	14	31	27	64	44	63	60	41	76	20	60	52	40	39	88	16	17	39	9	175	61	70	35					
