Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268					
1	"Число избирателей, внесенных в списки избирателей"	110550	2398	1743	1037	1685	1975	2732	2697	2325	1507	2217	2279	853	2327	1945	1339	2501	1731	1624	2206	2218	1866	2717	2666	2428	1434	2063	1300	2179	2512	2169	1059	1634	2158	2007	2425	2441	2020	1886	1607	2587	2316	1150	1905	1168	1932	1963	1180	1412	1326	2574	1633	2482	2698	1201	1970	1899	1244					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89642	2000	1400	900	1400	1500	2100	2200	2000	1200	1800	1800	1040	2000	1600	1000	2200	1400	1300	1800	1800	1500	2000	2000	2000	1200	1700	1300	1700	2000	2000	902	1300	1700	1600	2000	2000	1700	1700	1300	1800	1800	900	1500	1000	1500	1500	1000	1200	1000	2000	1300	2000	2200	900	1500	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58007	1678	954	527	976	942	1231	1380	1250	887	1216	1187	853	998	1102	542	1396	615	616	892	632	992	1173	1379	1539	814	956	1111	1270	1108	1323	684	938	1179	1016	1612	1538	1089	1530	860	1509	843	302	863	679	1051	910	565	746	648	1369	916	1420	1467	637	582	827	688					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4374	118	150	34	40	70	338	78	128	20	79	64	0	57	23	37	115	47	45	72	164	66	41	23	84	75	75	34	185	104	39	15	143	43	68	31	39	232	140	57	20	85	72	79	31	35	31	101	52	48	53	46	58	104	50	201	95	40					
6	Число погашенных избирательных бюллетеней	27261	204	296	339	384	488	531	742	622	293	505	549	187	945	475	421	689	738	639	836	1004	442	786	598	377	311	669	155	245	788	638	203	219	478	516	357	423	379	30	383	271	872	526	558	290	414	559	334	402	304	578	338	522	629	213	717	578	272					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4333	118	149	34	40	69	338	78	128	20	79	64	0	57	23	37	114	46	45	71	163	66	41	23	84	74	74	34	181	101	39	15	140	43	68	31	38	230	133	56	20	85	72	79	30	35	29	99	50	48	53	46	57	102	49	201	95	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57502	1672	947	524	976	942	1231	1375	1136	880	1213	1182	853	993	1098	539	1386	583	615	892	627	987	1169	1356	1539	812	953	1111	1240	1104	1317	682	935	1179	1014	1604	1530	1083	1435	841	1501	843	302	858	671	1047	909	558	743	646	1366	908	1415	1450	634	582	827	687					
9	Число недействительных избирательных бюллетеней	774	18	18	2	8	13	19	18	22	19	13	21	0	9	18	13	17	14	5	1	8	17	23	26	5	18	6	14	15	9	15	7	21	12	12	12	20	15	19	17	10	10	2	14	11	12	17	11	11	18	19	18	11	20	8	10	26	7					
10	Число действительных избирательных бюллетеней	61061	1772	1078	556	1008	998	1550	1435	1242	881	1279	1225	853	1041	1103	563	1483	615	655	962	782	1036	1187	1353	1618	868	1021	1131	1406	1196	1341	690	1054	1210	1070	1623	1548	1298	1549	880	1511	918	372	923	690	1070	921	646	782	676	1400	936	1461	1532	675	773	896	719					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3181	90	65	50	80	50	56	50	75	50	55	50	0	75	65	50	50	50	50	50	60	50	53	107	50	50	50	70	50	50	50	50	70	50	55	80	85	55	50	50	55	60	40	40	50	50	60	50	50	50	70	50	50	60	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2969	87	65	40	80	50	55	50	71	50	55	48	0	69	65	30	50	40	40	45	60	45	52	105	50	49	50	70	50	50	50	37	64	49	51	80	83	54	50	42	53	60	21	38	41	50	56	35	40	33	69	50	50	60	44	50	38	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2944	36	53	21	20	87	54	70	36	103	25	92	680	33	18	35	14	34	24	65	16	13	190	17	112	11	15	35	18	33	64	81	26	31	12	17	27	8	45	13	19	32	48	66	30	28	27	51	21	24	26	23	100	25	23	65	12	40					
14	Число погашенных неиспользованных открепительных удостоверений	212	3	0	10	0	0	1	0	4	0	0	2	0	6	0	20	0	10	10	5	0	5	1	2	0	1	0	0	0	0	0	13	6	1	4	0	2	1	0	8	2	0	19	2	9	0	4	15	10	17	1	0	0	0	6	0	12	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	482	0	0	0	0	278	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	94	0	3	0	2	50	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	1374	18	23	5	22	27	32	33	26	19	41	34	0	16	32	10	31	8	14	24	10	38	28	41	18	27	18	17	31	30	44	14	14	21	25	38	35	30	22	16	35	27	3	11	19	48	29	21	15	28	34	26	29	46	18	19	14	20					
