Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Иваново, Советская"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №781	УИК №782	УИК №8330	УИК №8331	УИК №8332									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51111	1680	1476	1676	1744	1280	1967	1272	1246	1219	1303	1709	1486	1572	1607	1370	1166	1564	1553	1306	1635	1459	1130	1535	1500	1524	1267	1141	1365	1474	1240	1024	1032	1002	1051	1413	113	17	1375	211	407									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51100	1300	1200	1300	1400	1100	1500	1100	1100	1100	1100	1400	1200	1300	1300	1100	1000	1300	1300	1100	1300	1200	1000	1300	1300	1300	1100	1100	1100	1200	1100	1000	1000	900	1000	1200	300	300	7200	650	1350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14767	383	385	296	489	319	451	258	345	301	370	356	416	379	438	356	313	489	486	315	483	442	318	425	480	443	309	242	363	284	319	291	265	271	274	328	80	17	1371	210	407									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1164	15	11	69	13	6	12	14	8	19	32	66	23	50	20	8	48	7	14	13	50	14	19	22	29	33	85	53	23	65	33	39	44	32	53	111	8	0	2	1	0									
6	Число погашенных избирательных бюллетеней	35169	902	804	935	898	775	1037	828	747	780	698	978	761	871	842	736	639	804	800	772	767	744	663	853	791	824	706	805	714	851	748	670	691	597	673	761	212	283	5827	439	943									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1164	15	11	69	13	6	12	14	8	19	32	66	23	50	20	8	48	7	14	13	50	14	19	22	29	33	85	53	23	65	33	39	44	32	53	111	8	0	2	1	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14759	383	385	295	489	319	451	258	345	301	369	354	416	379	438	356	313	488	486	314	483	442	318	425	480	443	309	242	363	284	319	291	265	270	274	328	80	17	1370	210	407									
9	Число недействительных избирательных бюллетеней	241	13	5	7	4	9	14	6	4	5	6	5	6	7	13	5	1	5	11	5	7	9	4	4	10	8	3	7	7	5	10	4	5	6	4	0	4	0	10	3	0									
10	Число действительных избирательных бюллетеней	15682	385	391	357	498	316	449	266	349	315	395	415	433	422	445	359	360	490	489	322	526	447	333	443	499	468	391	288	379	344	342	326	304	296	323	439	84	17	1362	208	407									
