Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Юринская 																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6917	518	1266	1062	743	211	405	480	159	349	634	249	416	425									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7010	500	1250	1050	750	200	420	500	170	360	680	270	430	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3064	214	609	478	343	100	145	146	57	159	334	83	228	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	831	55	68	69	43	17	165	90	32	38	100	61	44	49									
6	Число погашенных избирательных бюллетеней	3115	231	573	503	364	83	110	264	81	163	246	126	158	213									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	831	55	68	69	43	17	165	90	32	38	100	61	44	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3063	214	608	478	343	100	145	146	57	159	334	83	228	168									
9	Число недействительных избирательных бюллетеней	48	3	14	8	0	0	3	4	1	0	10	1	3	1									
10	Число действительных избирательных бюллетеней	3846	266	662	539	386	117	307	232	88	197	424	143	269	216									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	20	50	30	20	5	30	20	20	20	45	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	228	3	18	13	4	0	30	18	18	20	45	30	20	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	13	19	7	3	5	8	7	4	9	5	5	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	102	17	32	17	16	5	0	2	2	0	0	0	0	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	4	4	3	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	1	8	7	0	0	1	1	2	0	3	0	1	2									
		0.67%	0.37%	1.18%	1.28%	0.00%	0.00%	0.32%	0.42%	2.25%	0.00%	0.69%	0.00%	0.37%	0.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	90	7	13	15	4	5	3	7	0	2	17	4	10	3									
		2.31%	2.60%	1.92%	2.74%	1.04%	4.27%	0.97%	2.97%	0.00%	1.02%	3.92%	2.78%	3.68%	1.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	5	5	8	1	1	1	3	3	1	2	0	3	2									
