Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №24																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295					
1	"Число избирателей, внесенных в список избирателей"	118952	1185	2293	2462	1742	1783	1811	2335	2599	2295	1977	1891	2161	1591	1754	2030	2063	1891	1877	1843	1619	1776	1785	2304	2538	1660	1689	2035	2310	2009	1820	1739	2280	1607	2024	1908	1098	2023	2172	1888	2553	2479	2273	2047	2382	2150	2240	2607	2781	3025	2562	2621	3114	2894	2406	2370	2581					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107500	1500	1900	2200	1500	1600	1600	2100	2200	2000	1800	1700	2100	1400	1600	1800	1900	1700	1600	1600	1500	1700	1700	2200	2300	1500	1500	1900	2100	1800	1700	1700	2200	1400	1800	1700	1000	1700	1800	1500	2200	2200	2200	1700	2200	2000	2100	2200	2700	2800	2200	2200	2700	2700	2200	2200	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59212	965	1166	1249	1033	955	974	1198	1299	1225	901	956	995	742	767	940	953	897	958	877	842	966	883	1106	1098	920	762	941	1215	1010	884	816	1096	822	995	924	434	931	1022	1049	1222	1121	1091	1076	1100	1192	1141	1403	1449	1352	1407	1126	1551	1447	1278	1144	1346					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1888	84	13	13	24	34	39	26	20	759	30	30	22	33	25	19	21	13	18	14	7	14	23	27	31	16	22	28	17	21	20	15	10	12	17	29	10	25	21	3	20	22	14	11	13	14	13	17	14	23	16	25	10	30	12	15	14					
6	Число погашенных избирательных бюллетеней	46352	451	721	938	443	611	587	871	881	16	869	714	1083	625	808	841	926	790	624	709	651	720	791	1067	1171	564	716	931	868	769	796	869	1094	566	788	747	556	744	757	408	958	1057	1095	613	1087	794	946	780	1237	1425	777	1049	1139	1223	910	1041	1140					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1148	84	13	13	24	34	39	26	20	19	30	30	22	33	25	19	21	13	18	14	7	14	23	27	31	16	22	28	17	21	20	15	10	12	17	29	10	25	21	3	20	22	14	11	13	14	13	17	14	23	16	25	10	30	12	15	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58756	962	1160	1249	1028	954	960	1191	1299	1225	901	953	990	742	765	940	953	895	958	876	840	960	883	1091	1098	920	758	940	1211	1006	880	813	1060	756	980	924	432	929	1022	1049	1202	1119	1088	1072	1100	1186	1138	1401	1447	1298	1372	1118	1538	1447	1272	1135	1270					
9	Число недействительных избирательных бюллетеней	935	12	15	30	9	8	13	18	14	11	12	20	53	11	16	21	14	9	14	18	13	12	16	27	11	1	15	19	16	17	19	13	87	10	10	12	4	14	14	11	18	18	11	7	15	14	21	24	20	22	16	18	29	0	16	16	11					
10	Число действительных избирательных бюллетеней	58969	1034	1158	1232	1043	980	986	1199	1305	1233	919	963	959	764	774	938	960	899	962	872	834	962	890	1091	1118	935	765	949	1212	1010	881	815	983	758	987	941	438	940	1029	1041	1204	1123	1091	1076	1098	1186	1130	1394	1441	1299	1372	1125	1519	1477	1268	1134	1273					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2800	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1569	33	32	23	34	35	28	31	39	34	29	33	17	31	30	29	28	18	31	29	33	29	24	36	32	20	19	24	36	27	12	29	24	12	27	31	10	22	18	30	26	35	16	20	29	30	18	39	28	40	29	30	46	29	28	28	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1743	35	127	54	34	21	15	24	32	69	16	25	10	21	32	101	71	66	155	90	19	41	26	42	53	20	34	18	13	13	20	17	17	14	8	15	34	26	18	15	21	13	10	18	20	23	6	40	11	6	11	20	15	27	15	6	20					
14	Число погашенных неиспользованных открепительных удостоверений	1231	17	18	27	16	15	22	19	11	16	21	17	33	19	20	21	22	32	19	21	17	21	26	14	18	30	31	26	14	23	38	21	26	38	23	19	40	28	32	20	24	15	34	30	21	20	32	11	22	10	21	20	4	21	22	22	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	48	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18179	307	359	403	367	322	305	391	398	396	305	284	329	253	214	285	313	252	288	274	264	306	278	411	344	346	240	296	375	389	312	277	327	264	401	328	163	338	437	460	387	307	329	290	345	335	324	351	419	122	384	315	407	460	343	313	147					
