Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Ашинская городская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883					
1	"Число избирателей, внесенных в списки избирателей"	54193	1240	787	1195	2004	825	1423	1188	1030	946	1904	676	1063	925	1222	629	1222	1474	1303	1227	1998	303	583	973	1279	1245	1139	887	1065	723	1510	631	1152	934	1080	1108	1369	1067	740	1151	1385	1227	1304	813	528	919	1826	555	171	113	87	193	237	1193	188	234					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46900	1000	700	1000	1700	700	1200	1000	900	900	1600	600	900	800	1000	600	1000	1200	1100	1000	1700	300	450	900	1100	1100	1000	800	900	700	1200	600	1000	900	900	1000	1200	900	700	1000	1200	900	1100	700	500	800	1600	530	150	110	80	190	230	1150	180	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29489	819	507	853	1296	550	891	776	691	626	1206	400	526	427	695	344	739	755	675	642	1278	165	280	526	582	689	658	521	623	412	722	317	588	457	575	557	731	428	468	513	486	528	509	277	207	493	878	287	103	102	76	134	113	616	100	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1400	27	22	25	22	32	30	27	47	15	36	19	46	28	32	44	25	13	47	61	24	19	83	21	66	35	40	26	35	41	65	0	3	10	6	5	0	0	0	7	0	77	4	41	1	35	16	16	7	0	0	7	23	56	20	13					
6	Число погашенных избирательных бюллетеней	16011	154	171	122	382	118	279	197	162	259	358	181	328	345	273	212	236	432	378	297	398	116	87	353	452	376	302	253	242	247	413	283	409	433	319	438	469	472	232	480	714	295	587	382	292	272	706	227	40	8	4	49	94	478	60	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1400	27	22	25	22	32	30	27	47	15	36	19	46	28	32	44	25	13	47	61	24	19	83	21	66	35	40	26	35	41	65	0	3	10	6	5	0	0	0	7	0	77	4	41	1	35	16	16	7	0	0	7	23	56	20	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29454	819	507	853	1296	550	891	776	691	626	1206	400	525	427	663	344	739	755	675	642	1278	165	279	526	582	689	658	521	623	412	722	317	588	457	575	556	731	428	468	513	486	528	509	277	207	493	878	287	103	102	76	134	113	616	100	72					
9	Число недействительных избирательных бюллетеней	360	7	8	9	15	17	11	11	0	9	15	9	10	3	18	2	8	9	6	11	12	1	2	1	8	15	8	3	8	1	19	0	8	7	0	5	8	7	11	3	4	6	4	8	2	1	11	2	2	0	1	1	1	6	0	6					
10	Число действительных избирательных бюллетеней	30494	839	521	869	1303	565	910	792	738	632	1227	410	561	452	677	386	756	759	716	692	1290	183	360	546	640	709	690	544	650	452	768	317	583	460	581	556	723	421	457	517	482	599	509	310	206	527	883	301	108	102	75	140	135	666	120	79					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	332	13	6	5	7	5	12	2	4	3	10	3	6	3	6	3	9	4	4	4	4	3	3	2	12	5	16	12	21	5	12	5	11	6	6	11	6	5	10	6	6	6	6	4	4	4	5	3	3	3	3	2	2	7	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	233	13	4	5	7	5	11	1	4	2	10	3	6	3	3	2	4	4	3	4	4	0	0	1	11	5	16	12	19	5	12	1	4	2	2	6	4	2	7	3	2	6	1	0	0	2	1	0	0	0	0	1	0	7	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	179	4	7	23	4	1	1	4	3	5	0	3	3	3	2	2	6	1	1	3	10	0	2	0	3	4	10	2	5	4	6	0	2	0	2	4	0	0	0	0	5	0	5	1	7	3	7	3	2	0	0	2	3	7	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	99	0	2	0	0	0	1	1	0	1	0	0	0	0	3	1	5	0	1	0	0	3	3	1	1	0	0	0	2	0	0	4	7	4	4	5	2	3	3	3	4	0	5	4	4	2	4	3	3	3	3	1	2	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	2	0	1	3	0	1	1	2	1	1	1	2	0	4	0	2	4	0	3	0	0	1	1	2	4	5	3	2	1	2	0	1	2	0	3	0	0	0	1	0	2	2	2	0	2	3	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	1.Политическая партия «Аграрная партия России»	536	13	7	14	20	6	15	10	13	9	20	10	6	8	15	3	9	12	17	8	19	1	7	12	20	18	10	9	11	12	10	6	12	10	10	23	18	9	17	6	8	10	10	4	3	6	8	8	5	1	4	4	5	5	0	0					
