Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Ашинская городская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883					
1	"Число избирателей, внесенных в список избирателей"	53029	1162	759	1090	1343	762	1385	1210	1468	911	1743	816	1193	1014	1271	721	1283	1561	1357	1189	2032	281	539	919	1314	1201	1074	922	1078	770	1599	683	1077	839	917	999	1196	1097	692	1121	1523	928	1262	792	478	855	1770	527	155	89	86	173	233	1193	169	208					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50000	1100	700	1050	1250	700	1300	1150	1400	850	1650	750	1100	950	1200	650	1200	1500	1300	1100	1900	250	450	850	1250	1150	1000	850	1050	750	1500	650	1000	800	850	950	1150	1050	650	1050	1450	850	1200	750	450	800	1650	520	150	90	80	170	230	1200	160	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27708	769	432	716	808	475	796	765	964	544	1070	475	514	446	684	366	671	772	603	498	1115	121	248	418	517	593	561	471	557	358	586	402	629	467	548	635	802	568	495	635	743	462	509	333	126	397	644	244	58	61	50	103	113	582	100	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1517	13	30	22	11	24	25	21	31	6	31	24	33	21	22	12	22	12	52	59	32	9	47	56	72	38	19	22	32	41	90	8	16	15	17	19	0	25	6	15	21	43	6	80	9	38	19	33	27	9	15	10	20	83	28	26					
6	Число погашенных избирательных бюллетеней	20774	318	238	311	431	201	479	364	405	300	549	251	553	483	494	272	507	716	645	543	753	120	155	376	661	519	420	357	461	351	824	240	355	318	285	296	348	457	149	400	686	345	685	337	315	365	987	243	65	20	15	57	97	535	32	85					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1517	13	30	22	11	24	25	21	31	6	31	24	33	21	22	12	22	12	52	59	32	9	47	56	72	38	19	22	32	41	90	8	16	15	17	19	0	25	6	15	21	43	6	80	9	38	19	33	27	9	15	10	20	83	28	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27707	769	432	715	808	475	796	765	964	544	1070	475	514	446	684	366	671	772	603	498	1115	121	248	418	517	593	561	471	557	358	586	402	629	467	548	635	802	568	495	635	743	462	509	333	126	397	644	244	58	61	50	103	113	582	100	89					
9	Число недействительных избирательных бюллетеней	570	20	12	12	22	13	18	9	11	20	19	17	11	10	22	9	18	16	12	8	25	0	11	9	9	10	12	6	10	4	22	3	9	13	14	8	17	5	9	5	5	9	10	5	2	7	18	8	3	0	0	3	0	17	0	3					
10	Число действительных избирательных бюллетеней	28654	762	450	725	797	486	803	777	984	530	1082	482	536	457	684	369	675	768	643	549	1122	130	284	465	580	621	568	487	579	395	654	407	636	469	551	646	785	588	492	645	759	496	505	408	133	428	645	269	82	70	65	110	133	648	128	112					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	303	9	2	2	9	4	5	10	13	2	9	4	3	2	6	2	5	2	8	7	13	2	3	2	11	8	11	16	16	10	9	3	6	6	6	6	4	6	2	5	5	4	3	3	3	5	6	4	2	2	2	2	2	7	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	242	9	2	1	9	2	5	9	13	1	9	4	3	1	6	2	5	2	2	4	13	0	3	0	11	6	11	16	16	9	9	1	5	4	6	4	2	4	1	4	3	2	0	1	2	2	5	3	2	0	0	1	0	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	8	3	0	3	4	6	4	8	5	6	7	3	3	3	2	2	3	1	2	3	3	3	3	1	2	2	0	1	2	5	1	3	1	3	2	0	0	0	0	2	2	3	1	2	3	0	5	2	1	1	1	3	6	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	61	0	0	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	6	3	0	2	0	2	0	2	0	0	0	1	0	2	1	2	0	2	2	2	1	1	2	2	3	2	1	3	1	1	0	2	2	1	2	0	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	97	4	0	0	2	1	2	1	2	0	3	2	1	1	1	0	5	2	3	0	4	0	2	1	6	8	2	5	4	0	4	2	2	0	1	1	3	0	1	0	2	5	2	2	2	1	2	1	0	0	0	0	1	3	0	0					
