Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Моркинская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24923	2215	1551	1246	1606	1765	447	291	300	623	773	1239	364	766	741	800	887	240	376	452	285	425	366	559	214	563	606	498	564	382	296	247	377	1296	1563									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25550	2250	1610	1280	1640	1800	470	300	300	650	800	1250	370	780	750	830	900	250	400	480	300	450	370	570	200	570	620	500	580	400	300	250	400	1330	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12638	1178	918	576	865	842	231	116	145	249	433	546	248	330	435	421	523	115	177	247	181	176	188	267	120	294	311	183	277	167	182	121	193	699	684									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1530	33	29	6	28	24	28	57	31	71	38	97	20	60	80	46	29	29	28	65	16	36	28	66	7	62	59	88	59	39	14	16	52	94	95									
6	Число погашенных избирательных бюллетеней	11382	1039	663	698	747	934	211	127	124	330	329	607	102	390	235	363	348	106	195	168	103	238	154	237	73	214	250	229	244	194	104	113	155	537	821									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1530	33	29	6	28	24	28	57	31	71	38	97	20	60	80	46	29	29	28	65	16	36	28	66	7	62	59	88	59	39	14	16	52	94	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12637	1178	918	576	865	842	231	116	145	249	433	546	248	330	435	421	523	115	177	247	181	176	188	267	120	294	311	183	277	167	182	121	193	699	683									
9	Число недействительных избирательных бюллетеней	302	20	23	15	18	20	3	2	3	13	8	14	7	13	16	7	10	3	9	4	1	6	11	5	3	7	11	5	2	13	0	4	7	6	13									
10	Число действительных избирательных бюллетеней	13865	1191	924	567	875	846	256	171	173	307	463	629	261	377	499	460	542	141	196	308	196	206	205	328	124	349	359	266	334	193	196	133	238	787	765									
