Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Локтевская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21589	1915	2092	1069	1126	936	1645	386	1325	877	811	560	579	1378	129	469	411	711	739	372	933	638	649	457	568	814									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20050	1750	1900	1000	1050	850	1500	350	1200	800	750	550	550	1300	150	450	400	650	700	350	850	600	600	450	550	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9056	763	876	404	400	351	582	186	474	375	417	261	255	520	61	198	206	305	354	157	345	336	367	219	243	401									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1081	58	62	14	47	44	59	20	85	41	37	23	21	133	2	14	32	30	75	28	100	28	28	26	39	35									
6	Число погашенных избирательных бюллетеней	9913	929	962	582	603	455	859	144	641	384	296	266	274	647	87	238	162	315	271	165	405	236	205	205	268	314									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1081	58	62	14	47	44	59	20	85	41	37	23	21	133	2	14	32	30	75	28	100	28	28	26	39	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9056	763	876	404	400	351	582	186	474	375	417	261	255	520	61	198	206	305	354	157	345	336	367	219	243	401									
9	Число недействительных избирательных бюллетеней	274	23	37	7	8	7	16	7	6	13	19	6	9	26	0	9	2	5	15	3	13	12	8	11	5	7									
10	Число действительных избирательных бюллетеней	9863	798	901	411	439	388	625	199	553	403	435	278	267	627	63	203	236	330	414	182	432	352	387	234	277	429									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	12	17	4	10	5	9	1	6	5	5	1	4	9	3	3	3	4	7	3	3	4	4	1	3	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	12	17	4	9	3	9	1	5	5	4	0	2	9	0	2	2	2	6	0	1	1	3	0	2	2									
