Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Монгун-Тайгинская										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №97	УИК №98	УИК №99					
1	"Число избирателей, внесенных в списки"	2963	1128	1200	635					
2	"Число бюллетеней, полученных участковыми комиссиями"	2904	960	1219	725					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	395	157	65	173					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1524	484	639	401					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	61	23	38	0					
6	Число погашенных бюллетеней	924	296	477	151					
7	Число бюллетеней в переносных ящиках для голосования	456	180	103	173					
8	Число бюллетеней в стационарных ящиках для голосования	1524	484	639	401					
9	Число недействительных бюллетеней	25	1	24	0					
10	Число действительных бюллетеней	1955	663	718	574					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	15	25	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	3	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	2					
14	Число погашенных открепительных удостоверений	31	12	9	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	106	52	29	25					
		5.35%	7.83%	3.90%	4.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6	2	2	2					
		0.30%	0.30%	0.26%	0.34%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	18	8	10	0					
		0.90%	1.20%	1.34%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	8	3	4	1					
		0.40%	0.45%	0.53%	0.17%					
22	"5. ""За Русь Святую"""	3	0	1	2					
		0.15%	0.0%	0.13%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	1	0	0	1					
		0.05%	0.0%	0.0%	0.17%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	2	2	0					
		0.20%	0.30%	0.26%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	13	3	7	3					
		0.65%	0.45%	0.94%	0.52%					
28	"11. ""Истинные патриоты России"""	3	0	3	0					
		0.15%	0.0%	0.40%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	2	0	0	2					
		0.10%	0.0%	0.0%	0.34%					
30	"13. ""Демократическая партия России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	2	0	4					
		0.30%	0.30%	0.0%	0.69%					
32	"15. ""Партия СЛОН"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6	2	1	3					
		0.30%	0.30%	0.13%	0.52%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	0	3	3					
		0.30%	0.0%	0.40%	0.52%					
35	"18. ""ЛДПР"""	7	6	1	0					
		0.35%	0.90%	0.13%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	38	3	34	1					
		1.91%	0.45%	4.58%	0.17%					
37	"20. ""Политическая партия ""Единая Россия"""	1628	542	564	522					
		82.22%	81.62%	76.01%	90.94%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	2	2	1					
		0.25%	0.30%	0.26%	0.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	78	29	45	4					
		3.93%	4.36%	6.06%	0.69%					
										
41	Против всех	17	7	10	0					
		0.85%	1.05%	1.34%	0.0%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
