Выборы Президента Российской Федерации																																																																																									
Дата голосования: 02.03.2008																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Сыктывкарская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
	Число участковых избирательных комиссий	82																																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	82																																																																																							
																																																																																									
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №696					
1	"Число избирателей, включенных в списки избирателей"	150537	107	1247	1650	535	1684	338	1332	1877	1700	1503	1291	1551	1447	1887	2458	1561	1794	716	2513	2459	2130	1794	2661	635	532	3095	2126	2278	2068	2208	2315	2760	2068	1769	1752	2014	2604	2614	1494	2254	1295	1758	1883	1796	2050	1488	1376	1438	1257	2611	1815	1689	1570	1562	1874	1910	2149	2550	2297	2777	2566	2354	1581	1941	1940	2711	1561	1101	1334	1792	1962	2325	2390	2057	1956	1510	2735	2503	2401	1929	1754	168					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	123550	100	1150	1500	500	1300	300	1050	1750	1550	1200	900	1200	1100	1450	1850	1250	1300	550	2000	2050	1650	1400	2300	700	600	2250	1700	2050	1650	1700	1850	2350	1800	1550	1450	1600	2150	2200	1150	1900	1050	1400	1450	1850	1800	1200	1350	1150	1000	2300	1700	1350	1200	1250	1550	1550	1650	2000	1800	2000	2000	1900	1250	1500	1500	2400	1150	850	1200	1450	1650	1900	2000	1700	1700	1500	2100	2000	2000	1550	1400	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	104837	86	984	1245	389	1055	269	909	1456	1227	1078	779	1028	922	1092	1541	949	1076	338	1744	1900	1452	1303	1747	363	252	1941	1578	1588	1448	1467	1499	2024	1688	1448	1261	1427	1974	1996	1050	1695	886	1164	1097	1784	1642	966	1013	1008	849	1963	1275	1180	974	924	1405	1484	1413	1732	1663	1874	1754	1687	1119	1197	1303	1949	961	723	884	1312	1443	1705	1783	1558	1560	1113	1738	1833	1355	1340	855	101					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3705	1	21	45	6	52	4	15	24	26	32	10	29	20	36	96	31	59	12	43	20	20	24	28	176	280	86	24	34	10	19	18	13	34	41	40	42	45	69	22	11	13	28	18	12	35	34	32	31	27	13	54	30	20	33	25	31	33	97	64	57	34	35	16	23	26	34	21	25	21	20	40	25	30	25	49	17	179	24	474	17	198	67					
6	Число погашенных избирательных бюллетеней	15008	13	145	210	105	193	27	126	270	297	90	111	143	158	322	213	270	165	200	213	130	178	73	525	161	68	223	98	428	192	214	333	313	78	61	149	131	131	135	78	194	151	208	335	54	123	200	305	111	124	324	371	140	206	293	120	35	204	171	73	69	212	178	115	280	171	417	168	102	295	118	167	170	187	117	91	370	183	143	171	193	347	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3705	1	21	45	6	52	4	15	24	26	32	10	29	20	36	96	31	59	12	43	20	20	24	28	176	280	86	24	34	10	19	18	13	34	41	40	42	45	69	22	11	13	28	18	12	35	34	32	31	27	13	54	30	20	33	25	31	33	97	64	57	34	35	16	23	26	34	21	25	21	20	40	25	30	25	49	17	179	24	474	17	198	67					
8	Число бюллетеней в стационарных ящиках для голосования	104701	86	984	1245	389	1055	269	908	1454	1225	1075	779	1028	919	1090	1538	948	1073	338	1741	1900	1452	1298	1744	362	252	1941	1578	1588	1448	1465	1497	2022	1688	1448	1256	1425	1970	1996	1050	1692	886	1161	1094	1782	1642	965	1009	1008	848	1942	1271	1179	974	924	1404	1481	1411	1729	1662	1868	1753	1686	1118	1197	1299	1945	961	723	881	1312	1443	1705	1783	1558	1560	1111	1731	1831	1355	1338	854	101					
9	Число недействительных избирательных бюллетеней	1709	1	12	19	6	16	5	17	14	21	33	8	16	10	17	24	14	20	6	31	42	24	29	38	5	5	29	15	28	27	11	30	36	5	34	16	20	49	29	14	18	12	17	17	15	22	17	12	9	15	33	22	15	11	10	24	23	20	31	34	26	40	43	21	27	32	32	9	8	24	25	27	19	33	21	31	16	25	30	30	23	14	0					
10	Число действительных избирательных бюллетеней	106697	86	993	1271	389	1091	268	906	1464	1230	1074	781	1041	929	1109	1610	965	1112	344	1753	1878	1448	1293	1734	533	527	1998	1587	1594	1431	1473	1485	1999	1717	1455	1280	1447	1966	2036	1058	1685	887	1172	1095	1779	1655	982	1029	1030	860	1922	1303	1194	983	947	1405	1489	1424	1795	1692	1899	1747	1678	1113	1193	1293	1947	973	740	878	1307	1456	1711	1780	1562	1578	1112	1885	1825	1799	1332	1038	168					
11	Число полученных открепительных  удостоверений	3184	5	23	30	2	30	4	15	27	30	20	30	10	30	20	50	38	30	20	65	50	30	30	57	0	0	60	55	65	53	15	20	67	50	56	50	50	65	60	24	57	50	50	30	50	60	30	50	50	30	50	50	40	30	20	55	45	30	30	65	30	25	60	50	50	34	45	30	30	30	53	53	50	60	50	60	56	80	30	40	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2753	3	23	30	0	30	2	9	27	30	20	9	6	10	17	43	37	15	11	61	50	11	19	57	0	0	60	55	60	52	14	14	67	50	56	49	38	60	58	24	52	33	37	18	50	55	25	49	42	10	48	46	37	10	20	51	43	10	21	61	22	24	52	42	45	28	45	4	12	8	53	53	50	60	46	60	55	80	30	34	30	25	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3157	6	12	27	11	9	4	14	34	17	23	13	33	25	13	40	17	26	7	46	83	40	24	41	83	44	65	60	29	33	63	39	60	67	49	46	24	56	111	39	128	45	60	56	80	72	22	40	43	26	169	40	27	35	14	19	48	16	56	54	75	45	35	28	15	10	38	17	15	14	34	29	14	31	37	58	20	29	27	34	46	0	23					
14	Число неиспользованных открепительных удостоверений	431	2	0	0	2	0	2	6	0	0	0	21	4	20	3	7	1	15	9	4	0	19	11	0	0	0	0	0	5	1	1	6	0	0	0	1	12	5	2	0	5	17	13	12	0	5	5	1	8	20	2	4	3	20	0	4	2	20	9	4	8	1	8	8	5	6	0	26	18	22	0	0	0	0	4	0	1	0	0	6	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	60	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	1	2	2	2	1	0	1	0	0	2	1	1	1	1	1	5	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	3	1	4	0	0	0	2	1	0	2	1	1	1	0	1	1	2	0	0	0	1	2	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																									
