Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Челябинск, Металлургическая"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №2224					
1	"Число избирателей, внесенных в список избирателей"	112988	2281	2751	513	2353	2483	2465	1289	1397	1393	1383	1335	1533	1622	1482	1630	2004	1872	1956	2742	1958	1867	1911	1880	2122	1240	1166	1127	1070	1540	412	1037	1157	2263	1591	1709	2862	1880	2016	166	1811	1748	1913	1933	1956	1928	3313	1760	1899	2347	2813	2821	1581	1764	1777	2301	2327	2747	2601	2891	2017	1282					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102100	2200	2700	500	2200	2400	2000	1200	1200	1300	1300	1300	1400	1500	1400	1500	1600	1700	1900	2000	1700	1700	1800	1600	2000	1200	1100	1100	1000	1400	400	1000	1100	2000	1400	1500	2100	1700	1700	200	1700	1600	1700	1800	1800	1700	2600	1700	1800	2200	2000	2200	1500	1600	1700	2200	2200	2600	2500	2700	2000	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	63320	1004	1332	213	1225	1356	1823	671	796	782	731	712	816	917	850	902	1190	962	1149	1954	1174	966	984	1111	1217	746	732	699	632	801	372	562	700	1386	876	812	1987	880	1201	145	887	887	992	1007	993	960	2100	981	1036	1389	1866	1695	849	900	1005	1277	1281	1233	1485	1525	947	657					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2436	81	67	54	67	27	36	22	22	20	33	40	38	18	29	11	38	33	25	29	28	23	32	44	37	28	33	39	25	32	0	14	32	32	37	33	24	27	37	0	35	32	37	41	29	46	46	38	61	39	30	47	27	43	24	42	40	281	33	57	60	101					
6	Число погашенных избирательных бюллетеней	36338	1115	1301	233	908	1017	141	507	382	498	536	548	545	565	521	587	368	705	726	17	498	711	784	445	746	426	335	362	343	567	28	424	368	582	487	655	89	793	462	55	778	681	671	752	778	694	454	681	703	772	104	458	624	657	670	881	879	1086	982	1118	993	542					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2436	81	67	54	67	27	36	22	22	20	33	40	38	18	29	11	38	33	25	29	28	23	32	44	37	28	33	39	25	32	0	14	32	32	37	33	24	27	37	0	35	32	37	41	29	46	46	38	61	39	30	47	27	43	24	42	40	281	33	57	60	101					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63283	1004	1332	213	1225	1356	1823	671	796	781	731	710	816	915	850	902	1190	958	1149	1954	1166	966	984	1111	1217	745	732	699	632	798	372	562	700	1383	876	812	1982	880	1201	145	885	887	992	1005	993	960	2100	981	1036	1389	1866	1695	849	900	1004	1277	1279	1232	1485	1525	947	657					
9	Число недействительных избирательных бюллетеней	1438	26	41	4	25	28	46	24	8	15	22	31	22	22	21	24	24	23	19	48	22	16	24	18	22	9	18	15	4	20	10	15	20	30	13	12	51	26	24	2	18	17	29	11	17	32	43	59	14	23	64	40	18	25	15	18	22	38	23	41	17	10					
10	Число действительных избирательных бюллетеней	64281	1059	1358	263	1267	1355	1813	669	810	786	742	719	832	911	858	889	1204	968	1155	1935	1172	973	992	1137	1232	764	747	723	653	810	362	561	712	1385	900	833	1955	881	1214	143	902	902	1000	1035	1005	974	2103	960	1083	1405	1832	1702	858	918	1013	1301	1297	1475	1495	1541	990	748					
