Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Воловская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233					
1	"Число избирателей, внесенных в список избирателей"	12321	475	575	626	513	595	2157	1184	486	359	134	499	511	235	198	594	373	942	221	673	599	372					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11353	429	523	572	471	554	1992	1088	451	356	143	461	460	213	206	530	339	856	201	617	555	336					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6360	191	306	402	367	268	1130	635	217	209	81	215	274	110	87	236	204	468	136	368	246	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2068	143	145	93	57	173	64	76	98	58	35	157	88	45	42	153	49	227	50	122	119	74					
6	Число погашенных избирательных бюллетеней	2925	95	72	77	47	113	798	377	136	89	27	89	98	58	77	141	86	161	15	127	190	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2068	143	145	93	57	173	64	76	98	58	35	157	88	45	42	153	49	227	50	122	119	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6360	191	306	402	367	268	1130	635	217	209	81	215	274	110	87	236	204	468	136	368	246	210					
9	Число недействительных избирательных бюллетеней	97	4	3	0	0	2	19	14	0	0	2	4	22	3	0	15	2	0	2	4	1	0					
10	Число действительных избирательных бюллетеней	8331	330	448	495	424	439	1175	697	315	267	114	368	340	152	129	374	251	695	184	486	364	284					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	0	3	6	3	3	17	14	12	2	0	9	5	3	1	3	1	5	3	3	6	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	76	0	2	4	1	2	17	14	11	1	0	9	5	0	0	1	1	4	0	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	3	2	2	4	3	2	0	1	2	0	1	1	0	0	1	2	8	0	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	24	0	1	2	2	1	0	0	1	1	0	0	0	3	1	2	0	1	3	2	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	698	18	40	40	63	24	171	81	15	12	6	36	32	21	9	36	20	4	10	23	26	11					
		8.28%	5.39%	8.87%	8.08%	14.86%	5.44%	14.32%	11.39%	4.76%	4.49%	5.17%	9.68%	8.84%	13.55%	6.98%	9.25%	7.91%	0.58%	5.38%	4.69%	7.12%	3.87%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	695	25	19	38	2	27	136	63	33	22	2	38	43	24	13	39	8	50	10	46	48	9					
		8.25%	7.49%	4.21%	7.68%	0.47%	6.12%	11.39%	8.86%	10.48%	8.24%	1.72%	10.22%	11.88%	15.48%	10.08%	10.03%	3.16%	7.19%	5.38%	9.39%	13.15%	3.17%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	2	3	2	0	1	9	7	0	3	0	1	2	1	1	0	1	4	0	2	2	1					
		0.50%	0.60%	0.67%	0.40%	0.00%	0.23%	0.75%	0.98%	0.00%	1.12%	0.00%	0.27%	0.55%	0.65%	0.78%	0.00%	0.40%	0.58%	0.00%	0.41%	0.55%	0.35%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1704	38	77	87	18	82	400	157	72	37	8	63	88	42	44	118	30	85	73	87	64	34					
		20.22%	11.38%	17.07%	17.58%	4.25%	18.59%	33.50%	22.08%	22.86%	13.86%	6.90%	16.94%	24.31%	27.10%	34.11%	30.33%	11.86%	12.23%	39.25%	17.76%	17.53%	11.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	58	2	2	3	0	2	21	5	0	2	0	3	0	2	1	3	0	8	0	4	0	0					
		0.69%	0.60%	0.44%	0.61%	0.00%	0.45%	1.76%	0.70%	0.00%	0.75%	0.00%	0.81%	0.00%	1.29%	0.78%	0.77%	0.00%	1.15%	0.00%	0.82%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5096	243	305	320	341	302	436	382	195	191	98	225	174	62	60	178	192	527	91	323	223	228					
		60.47%	72.75%	67.63%	64.65%	80.42%	68.48%	36.52%	53.73%	61.90%	71.54%	84.48%	60.48%	48.07%	40.00%	46.51%	45.76%	75.89%	75.83%	48.92%	65.92%	61.10%	80.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	38	2	2	5	0	1	2	2	0	0	0	2	1	0	1	0	0	17	0	1	1	1					
		0.45%	0.60%	0.44%	1.01%	0.00%	0.23%	0.17%	0.28%	0.00%	0.00%	0.00%	0.54%	0.28%	0.00%	0.78%	0.00%	0.00%	2.45%	0.00%	0.20%	0.27%	0.35%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
