Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Клетнянская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15318	601	1104	1059	1205	1279	645	555	1241	542	1266	645	524	153	328	276	587	166	213	156	250	240	144	77	498	250	179	292	81	155	94	218	178	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14050	550	1000	1000	1150	1100	600	500	1010	500	1110	600	500	150	320	260	550	150	200	140	240	240	130	70	500	240	170	290	80	140	90	200	170	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7779	158	421	614	856	779	273	248	445	387	537	413	198	99	235	142	175	97	99	95	148	94	74	49	276	109	124	132	68	124	53	96	83	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1615	48	77	37	19	62	81	59	167	37	134	34	24	15	44	65	150	37	51	21	73	61	33	2	52	80	6	19	8	12	18	49	24	16									
6	Число погашенных избирательных бюллетеней	4656	344	502	349	275	259	246	193	398	76	439	153	278	36	41	53	225	16	50	24	19	85	23	19	172	51	40	139	4	4	19	55	63	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1615	48	77	37	19	62	81	59	167	37	134	34	24	15	44	65	150	37	51	21	73	61	33	2	52	80	6	19	8	12	18	49	24	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7779	158	421	614	856	779	273	248	445	387	537	413	198	99	235	142	175	97	99	95	148	94	74	49	276	109	124	132	68	124	53	96	83	78									
9	Число недействительных избирательных бюллетеней	126	1	5	14	0	0	4	23	19	3	20	3	2	0	0	0	2	0	0	0	0	2	0	1	0	5	0	9	0	0	1	0	0	12									
10	Число действительных избирательных бюллетеней	9268	205	493	637	875	841	350	284	593	421	651	444	220	114	279	207	323	134	150	116	221	153	107	50	328	184	130	142	76	136	70	145	107	82									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	5	10	10	10	10	5	5	10	5	10	5	5	3	3	3	5	3	3	2	3	3	2	1	6	3	2	3	1	2	2	3	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	2	3	2	2	4	5	5	7	5	8	1	3	0	1	0	1	0	2	0	1	3	2	0	6	0	0	3	0	0	0	1	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	1	3	1	3	2	0	1	3	1	1	1	2	0	2	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	78	3	7	8	8	6	0	0	3	0	2	4	2	3	2	3	4	3	1	2	2	0	0	1	0	3	2	0	1	2	2	2	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	3	1	0	2	2	0	1	9	0	2	2	5	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	103	5	7	3	3	38	6	2	10	0	5	3	2	1	0	1	4	0	1	0	2	0	0	0	1	2	0	2	0	1	1	0	1	2									
		1.10%	2.43%	1.41%	0.46%	0.34%	4.52%	1.69%	0.65%	1.63%	0.00%	0.75%	0.67%	0.90%	0.88%	0.00%	0.48%	1.23%	0.00%	0.67%	0.00%	0.90%	0.00%	0.00%	0.00%	0.30%	1.06%	0.00%	1.32%	0.00%	0.74%	1.41%	0.00%	0.93%	2.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	164	6	14	15	0	0	13	9	22	6	14	7	8	1	2	4	6	0	0	0	0	4	0	2	7	6	2	4	0	5	0	3	3	1									
		1.75%	2.91%	2.81%	2.30%	0.00%	0.00%	3.67%	2.93%	3.59%	1.42%	2.09%	1.57%	3.60%	0.88%	0.72%	1.93%	1.85%	0.00%	0.00%	0.00%	0.00%	2.58%	0.00%	3.92%	2.13%	3.17%	1.54%	2.65%	0.00%	3.68%	0.00%	2.07%	2.80%	1.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	5	13	14	6	0	2	0	5	1	8	2	7	1	0	1	3	1	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0									
		0.81%	2.43%	2.61%	2.15%	0.69%	0.00%	0.56%	0.00%	0.82%	0.24%	1.19%	0.45%	3.15%	0.88%	0.00%	0.48%	0.92%	0.75%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.61%	0.53%	0.00%	0.00%	0.00%	2.21%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6421	114	314	462	601	656	219	194	363	345	384	336	93	69	238	169	227	113	97	93	150	95	70	36	258	131	80	77	58	72	54	108	76	69									
		68.35%	55.34%	63.05%	70.97%	68.69%	78.00%	61.86%	63.19%	59.31%	81.37%	57.23%	75.17%	41.89%	60.53%	85.30%	81.64%	69.85%	84.33%	64.67%	80.17%	67.87%	61.29%	65.42%	70.59%	78.66%	69.31%	61.54%	50.99%	76.32%	52.94%	76.06%	74.48%	71.03%	73.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	1	3	7	0	0	2	0	1	1	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.23%	0.49%	0.60%	1.08%	0.00%	0.00%	0.56%	0.00%	0.16%	0.24%	0.60%	0.00%	0.00%	0.88%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
