Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Краснознаменская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в списки избирателей"	9933	1507	1502	706	435	393	394	429	316	467	442	604	536	505	1697					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9300	1400	1350	650	400	400	400	400	300	450	450	550	500	500	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5136	736	768	490	251	149	207	267	144	238	187	298	297	282	822					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	730	51	33	19	1	87	22	26	59	53	42	57	91	57	132					
6	Число погашенных избирательных бюллетеней	3434	613	549	141	148	164	171	107	97	159	221	195	112	161	596					
7	Число избирательных бюллетеней в переносных ящиках для голосования	730	51	33	19	1	87	22	26	59	53	42	57	91	57	132					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5134	736	766	490	251	149	207	267	144	238	187	298	297	282	822					
9	Число недействительных избирательных бюллетеней	48	5	16	1	6	1	3	2	0	3	0	5	1	4	1					
10	Число действительных избирательных бюллетеней	5816	782	783	508	246	235	226	291	203	288	229	350	387	335	953					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	145	29	22	14	1	5	5	5	8	7	5	15	10	4	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	114	12	14	14	1	4	3	5	8	7	2	15	10	4	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	51	6	12	1	2	5	8	4	2	1	1	3	2	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	31	17	8	0	0	1	2	0	0	0	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	3	1	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	241	28	32	8	33	12	12	19	10	21	6	17	11	11	21					
		4.11%	3.56%	4.01%	1.57%	13.10%	5.08%	5.24%	6.48%	4.93%	7.22%	2.62%	4.79%	2.84%	3.24%	2.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	48	12	17	1	0	0	1	3	0	1	1	2	6	1	3					
		0.82%	1.52%	2.13%	0.20%	0.00%	0.00%	0.44%	1.02%	0.00%	0.34%	0.44%	0.56%	1.55%	0.29%	0.31%					
20	3.Политическая партия «Демократическая партия России»	8	0	0	0	1	2	2	1	1	1	0	0	0	0	0					
		0.14%	0.00%	0.00%	0.00%	0.40%	0.85%	0.87%	0.34%	0.49%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	481	94	81	42	6	21	17	24	13	47	13	21	25	28	49					
		8.20%	11.94%	10.14%	8.25%	2.38%	8.90%	7.42%	8.19%	6.40%	16.15%	5.68%	5.92%	6.44%	8.26%	5.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	0	0	0	0	2	2	1	0	1	0	2	1	2	1					
		0.20%	0.00%	0.00%	0.00%	0.00%	0.85%	0.87%	0.34%	0.00%	0.34%	0.00%	0.56%	0.26%	0.59%	0.10%					
23	6.Политическая партия «Партия социальной справедливости»	16	3	0	1	1	2	1	1	0	2	1	0	2	0	2					
		0.27%	0.38%	0.00%	0.20%	0.40%	0.85%	0.44%	0.34%	0.00%	0.69%	0.44%	0.00%	0.52%	0.00%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	558	93	111	21	17	20	13	36	14	44	26	37	30	31	65					
		9.52%	11.82%	13.89%	4.13%	6.75%	8.47%	5.68%	12.29%	6.90%	15.12%	11.35%	10.42%	7.73%	9.14%	6.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	405	84	80	15	10	11	12	21	14	7	22	25	16	32	56					
		6.91%	10.67%	10.01%	2.95%	3.97%	4.66%	5.24%	7.17%	6.90%	2.41%	9.61%	7.04%	4.12%	9.44%	5.87%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	55	11	10	1	7	5	2	2	2	2	0	1	2	2	8					
		0.94%	1.40%	1.25%	0.20%	2.78%	2.12%	0.87%	0.68%	0.99%	0.69%	0.00%	0.28%	0.52%	0.59%	0.84%					
