Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Тернейская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915					
1	"Число избирателей, внесенных в списки избирателей"	10535	534	2049	1879	1539	1551	616	693	189	180	743	232	192	138					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10000	510	1949	1743	1459	1499	592	654	194	181	670	220	191	138					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6406	350	1156	1078	1006	1075	377	370	126	122	399	117	155	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	305	22	37	33	63	50	13	22	15	4	30	6	10	0					
6	Число погашенных избирательных бюллетеней	3289	138	756	632	390	374	202	262	53	55	241	97	26	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	305	22	37	33	63	50	13	22	15	4	30	6	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6405	350	1155	1078	1006	1075	377	370	126	122	399	117	155	75					
9	Число недействительных избирательных бюллетеней	84	6	11	8	20	20	2	9	1	0	1	3	3	0					
10	Число действительных избирательных бюллетеней	6626	366	1181	1103	1049	1105	388	383	140	126	428	120	162	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	5	20	22	26	37	20	30	15	15	50	15	25	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	127	2	18	20	25	34	6	4	7	7	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	73	3	10	4	6	13	3	8	3	2	16	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	168	3	2	2	1	3	14	26	8	8	46	15	25	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	1	2	1	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	144	8	11	24	24	20	17	11	3	8	9	4	2	3					
		2.15%	2.15%	0.92%	2.16%	2.25%	1.78%	4.36%	2.81%	2.13%	6.35%	2.10%	3.25%	1.21%	4.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	37	0	7	5	8	10	2	0	0	0	0	2	1	2					
		0.55%	0.00%	0.59%	0.45%	0.75%	0.89%	0.51%	0.00%	0.00%	0.00%	0.00%	1.63%	0.61%	2.67%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	2	0	2	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.18%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	657	23	108	72	113	132	24	57	45	7	50	9	14	3					
