Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
"Наименование Избирательной комиссии:    Челябинск, Ленинская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052					
1	"Число избирателей, внесенных в список избирателей"	144134	2330	2683	2788	2372	2526	2315	2357	2618	2347	2267	2220	2156	1680	2699	2310	1952	1950	2037	1764	1686	2222	2207	2357	2626	2266	1790	1281	2347	2391	2030	1638	1639	2175	1988	2260	1635	2031	2082	2232	1375	1608	1471	2606	1436	1654	2644	2186	2016	2216	2819	2511	2731	2423	1872	1689	2052	2177	2494	2575	1892	2683	2797	2192	2548	2434	2779					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121600	2000	2200	2300	2000	2200	2000	2000	2200	2000	2000	2000	2000	1300	2200	2000	1500	1600	1600	1400	1300	2000	2000	2000	2200	2000	1500	1000	2000	2000	1500	1200	1300	2000	1700	2000	1500	1600	1600	2000	1200	1500	1100	2200	1200	1500	2300	2000	1600	2000	2000	2200	2300	2000	1600	1500	1700	1700	2200	2200	1600	2200	2300	2000	2200	2200	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	72120	1126	1137	1350	1165	1250	1196	1304	1215	1124	967	1073	1052	881	1110	1071	1007	966	975	806	734	971	1004	1227	1341	1234	822	580	1163	1254	956	747	868	1153	1022	1016	817	1207	1226	1298	681	825	829	1678	824	892	1492	1131	1093	1182	1889	1277	1268	1367	801	689	974	1111	1329	1294	943	1302	1405	1032	1043	982	1372					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3040	34	18	56	19	15	15	15	25	45	138	18	46	38	33	36	66	38	66	19	47	48	52	42	46	35	30	24	40	28	247	18	43	28	39	30	29	42	47	15	32	30	70	9	29	25	67	55	42	38	48	38	323	32	5	21	42	52	28	25	38	52	61	39	35	28	106					
6	Число погашенных избирательных бюллетеней	46431	840	1045	894	816	935	789	681	960	831	895	909	902	381	1057	893	427	596	559	575	519	981	944	731	813	731	647	396	797	718	297	435	389	818	639	954	654	351	327	687	487	645	201	513	345	583	741	814	465	776	63	885	709	601	793	790	684	537	843	881	619	846	834	929	1122	1190	722					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3040	34	18	56	19	15	15	15	25	45	138	18	46	38	33	36	66	38	66	19	47	48	52	42	46	35	30	24	40	28	247	18	43	28	39	30	29	42	47	15	32	30	70	9	29	25	67	55	42	38	48	38	323	32	5	21	42	52	28	25	38	52	61	39	35	28	106					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71930	1126	1137	1350	1165	1249	1196	1304	1215	1124	967	1073	1052	881	1110	1071	941	928	975	806	734	971	1003	1227	1341	1234	822	580	1163	1254	956	747	867	1153	1022	1016	816	1207	1226	1298	681	825	828	1678	824	892	1492	1125	1091	1182	1834	1275	1263	1367	801	689	974	1111	1329	1291	943	1301	1405	1032	1043	982	1365					
9	Число недействительных избирательных бюллетеней	1407	20	19	23	24	15	31	24	20	21	13	15	23	26	19	14	16	16	18	18	15	20	19	28	21	26	13	14	23	48	34	9	15	16	24	22	5	20	23	28	9	10	6	47	12	19	26	27	39	44	31	20	25	37	8	16	20	12	20	11	16	18	36	24	26	22	28					
10	Число действительных избирательных бюллетеней	73563	1140	1136	1383	1160	1249	1180	1295	1220	1148	1092	1076	1075	893	1124	1093	991	950	1023	807	766	999	1036	1241	1366	1243	839	590	1180	1234	1169	756	895	1165	1037	1024	840	1229	1250	1285	704	845	892	1640	841	898	1533	1153	1094	1176	1851	1293	1561	1362	798	694	996	1151	1337	1305	965	1335	1430	1047	1052	988	1443					
