Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    территориальная избирательная комиссия Селивановского района																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №1038					
1	"Число избирателей, внесенных в списки избирателей"	17179	603	1032	758	233	402	793	426	580	511	502	288	340	160	408	1067	80	177	326	419	1476	2245	2085	1433	110	725					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17322	615	1040	828	254	410	826	449	607	543	531	300	368	179	411	1091	78	178	340	424	1400	2200	2000	1400	110	740					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8898	277	543	383	69	215	351	213	384	314	293	180	195	106	229	462	41	35	150	205	678	1186	1229	657	110	393					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2048	138	149	90	96	49	112	86	51	43	53	38	61	23	71	198	21	97	95	76	141	102	74	133	0	51					
6	Число погашенных избирательных бюллетеней	6376	200	348	355	89	146	363	150	172	186	185	82	112	50	111	431	16	46	95	143	581	912	697	610	0	296					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2048	138	149	90	96	49	112	86	51	43	53	38	61	23	71	198	21	97	95	76	141	102	74	133	0	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8894	277	543	383	69	215	351	213	384	314	293	180	195	106	229	462	41	35	150	205	678	1186	1225	657	110	393					
9	Число недействительных избирательных бюллетеней	128	0	14	6	0	2	8	2	5	1	1	1	0	0	2	4	1	2	4	1	3	18	23	20	0	10					
10	Число действительных избирательных бюллетеней	10814	415	678	467	165	262	455	297	430	356	345	217	256	129	298	656	61	130	241	280	816	1270	1276	770	110	434					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	13	9	11	7	10	10	10	10	10	10	10	30	10	10	10	0	5	12	10	20	28	20	15	0	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	281	13	9	11	7	10	10	10	8	10	9	10	30	10	10	10	0	3	12	5	20	28	20	15	0	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	94	4	4	6	5	1	6	0	2	1	3	2	1	1	5	3	5	3	1	1	14	13	3	4	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	5	0	0	0	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	710	38	29	50	10	35	48	48	15	10	47	63	11	46	59	17	3	4	12	15	25	61	38	10	5	11					
		6.49%	9.16%	4.19%	10.57%	6.06%	13.26%	10.37%	16.05%	3.45%	2.80%	13.58%	28.90%	4.30%	35.66%	19.67%	2.58%	4.84%	3.03%	4.90%	5.34%	3.05%	4.74%	2.93%	1.27%	4.55%	2.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	1	1	0	0	2	2	1	3	0	0	0	0	2	3	1	0	0	1	4	6	10	3	8	0	3					
		0.47%	0.24%	0.14%	0.00%	0.00%	0.76%	0.43%	0.33%	0.69%	0.00%	0.00%	0.00%	0.00%	1.55%	1.00%	0.15%	0.00%	0.00%	0.41%	1.42%	0.73%	0.78%	0.23%	1.01%	0.00%	0.68%					
20	3.Политическая партия «Демократическая партия России»	11	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1					
		0.10%	0.96%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.15%	0.00%	0.76%	0.41%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.23%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1695	43	84	59	7	32	44	43	45	64	45	25	22	8	26	94	3	16	29	29	167	308	271	108	20	103					
		15.49%	10.36%	12.14%	12.47%	4.24%	12.12%	9.50%	14.38%	10.34%	17.93%	13.01%	11.47%	8.59%	6.20%	8.67%	14.24%	4.84%	12.12%	11.84%	10.32%	20.39%	23.91%	20.86%	13.67%	18.18%	23.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	47	1	3	0	0	0	2	3	0	3	7	0	0	0	1	2	0	0	0	0	1	14	4	4	1	1					
		0.43%	0.24%	0.43%	0.00%	0.00%	0.00%	0.43%	1.00%	0.00%	0.84%	2.02%	0.00%	0.00%	0.00%	0.33%	0.30%	0.00%	0.00%	0.00%	0.00%	0.12%	1.09%	0.31%	0.51%	0.91%	0.23%					
23	6.Политическая партия «Партия социальной справедливости»	30	0	0	3	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	7	9	1	0	4					
		0.27%	0.00%	0.00%	0.63%	0.00%	0.38%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.39%	0.78%	0.33%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.54%	0.69%	0.13%	0.00%	0.90%					
24	7.Политическая партия «Либерально-демократическая партия России»	1087	42	86	56	10	29	60	25	32	43	34	10	26	7	25	68	14	13	19	29	68	112	128	98	12	41					
		9.93%	10.12%	12.43%	11.84%	6.06%	10.98%	12.96%	8.36%	7.36%	12.04%	9.83%	4.59%	10.16%	5.43%	8.33%	10.30%	22.58%	9.85%	7.76%	10.32%	8.30%	8.70%	9.85%	12.41%	10.91%	9.23%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	805	22	74	41	16	15	33	19	49	15	17	7	12	6	8	51	6	5	11	18	60	110	117	51	9	33					
		7.36%	5.30%	10.69%	8.67%	9.70%	5.68%	7.13%	6.35%	11.26%	4.20%	4.91%	3.21%	4.69%	4.65%	2.67%	7.73%	9.68%	3.79%	4.49%	6.41%	7.33%	8.54%	9.01%	6.46%	8.18%	7.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	86	2	8	3	0	2	8	0	1	6	0	0	3	0	0	7	2	0	1	3	2	16	14	5	0	3					
		0.79%	0.48%	1.16%	0.63%	0.00%	0.76%	1.73%	0.00%	0.23%	1.68%	0.00%	0.00%	1.17%	0.00%	0.00%	1.06%	3.23%	0.00%	0.41%	1.07%	0.24%	1.24%	1.08%	0.63%	0.00%	0.68%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6233	259	386	253	122	146	256	158	284	210	195	111	180	59	175	415	33	89	166	180	480	615	685	484	62	230					
