Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Агинская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21					
1	"Число избирателей, внесенных в списки"	18706	2032	2514	1219	2349	1090	463	452	511	546	648	121	92	930	695	624	463	645	852	255	279	1926					
2	"Число бюллетеней, полученных участковыми комиссиями"	17893	1896	2170	1111	2203	960	452	450	503	549	623	123	101	973	734	619	481	638	854	286	329	1838					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10672	992	1254	703	1147	639	313	290	347	365	413	91	92	522	473	391	304	381	532	138	171	1114					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1712	32	194	20	51	69	78	94	82	96	139	30	0	135	165	105	85	151	52	60	12	62					
6	Число погашенных бюллетеней	5509	872	722	388	1005	252	61	66	74	88	71	2	9	316	96	123	92	106	270	88	146	662					
7	Число бюллетеней в переносных ящиках для голосования	1712	32	194	20	51	69	78	94	82	96	139	30	0	135	165	105	85	151	52	60	12	62					
8	Число бюллетеней в стационарных ящиках для голосования	10672	992	1254	703	1147	639	313	290	347	365	413	91	92	522	473	391	304	381	532	138	171	1114					
9	Число недействительных бюллетеней	199	19	22	14	18	9	5	12	1	9	10	0	0	9	22	7	5	5	11	4	3	14					
10	Число действительных бюллетеней	12185	1005	1426	709	1180	699	386	372	428	452	542	121	92	648	616	489	384	527	573	194	180	1162					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	17	33	6	17	7	6	9	8	9	4	3	3	11	10	8	4	5	7	5	6	22					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	155	17	31	5	13	5	4	9	8	5	4	0	0	10	10	6	1	3	4	1	0	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	11	9	3	4	3	1	4	1	1	0	3	3	6	5	2	2	10	4	0	2	4					
14	Число погашенных открепительных удостоверений	45	0	2	1	4	2	2	0	0	4	0	3	3	1	0	2	3	2	3	4	6	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	228	10	14	9	12	20	8	12	13	13	15	6	1	16	15	8	8	18	6	1	2	21					
		1.84%	0.97%	0.96%	1.24%	1.00%	2.82%	2.04%	3.12%	3.03%	2.81%	2.71%	4.95%	1.08%	2.43%	2.35%	1.61%	2.05%	3.38%	1.02%	0.50%	1.09%	1.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	135	21	22	13	18	6	3	4	3	5	1	0	1	2	8	4	1	8	3	5	1	6					
		1.09%	2.05%	1.51%	1.79%	1.50%	0.84%	0.76%	1.04%	0.69%	1.08%	0.18%	0.0%	1.08%	0.30%	1.25%	0.80%	0.25%	1.50%	0.51%	2.52%	0.54%	0.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	266	15	46	29	30	19	9	2	10	11	7	1	0	25	20	2	2	13	5	5	3	12					
		2.14%	1.46%	3.17%	4.01%	2.50%	2.68%	2.30%	0.52%	2.33%	2.38%	1.26%	0.82%	0.0%	3.80%	3.13%	0.40%	0.51%	2.44%	0.85%	2.52%	1.63%	1.02%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	345	22	54	27	17	6	3	7	12	10	11	1	0	34	26	6	9	27	29	8	7	29					
		2.78%	2.14%	3.72%	3.73%	1.41%	0.84%	0.76%	1.82%	2.79%	2.16%	1.99%	0.82%	0.0%	5.17%	4.07%	1.20%	2.31%	5.07%	4.96%	4.04%	3.82%	2.46%					
22	"5. ""За Русь Святую"""	19	4	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	7					
		0.15%	0.39%	0.20%	0.0%	0.08%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.17%	0.0%	0.0%	0.59%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	0	1	0	2	0	0	0	0	0	0	0	0	2	1	2	4	1	0	0	0	1					
		0.11%	0.0%	0.06%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.15%	0.40%	1.02%	0.18%	0.0%	0.0%	0.0%	0.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	52	10	11	4	5	4	2	1	2	2	1	0	0	1	1	2	0	1	1	0	0	4					
		0.41%	0.97%	0.75%	0.55%	0.41%	0.56%	0.51%	0.26%	0.46%	0.43%	0.18%	0.0%	0.0%	0.15%	0.15%	0.40%	0.0%	0.18%	0.17%	0.0%	0.0%	0.34%					
25	"8. ""Народно-республиканская партия России"""	16	1	0	0	3	2	0	0	1	0	0	0	0	2	2	1	0	0	1	0	1	2					
		0.12%	0.09%	0.0%	0.0%	0.25%	0.28%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.30%	0.31%	0.20%	0.0%	0.0%	0.17%	0.0%	0.54%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	3	3	2	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1					
		0.12%	0.29%	0.20%	0.27%	0.25%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.08%					
27	"10. ""Аграрная партия России"""	1007	49	70	41	52	30	41	31	39	55	53	4	20	66	180	66	51	43	23	61	12	20					
		8.13%	4.78%	4.83%	5.67%	4.34%	4.23%	10.48%	8.07%	9.09%	11.93%	9.60%	3.30%	21.73%	10.04%	28.21%	13.30%	13.11%	8.08%	3.93%	30.80%	6.55%	1.70%					
28	"11. ""Истинные патриоты России"""	10	1	1	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0					
		0.08%	0.09%	0.06%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	613	70	40	25	101	36	13	30	18	15	51	2	0	16	3	6	5	3	49	6	27	97					
		4.94%	6.83%	2.76%	3.45%	8.43%	5.08%	3.32%	7.81%	4.19%	3.25%	9.23%	1.65%	0.0%	2.43%	0.47%	1.20%	1.28%	0.56%	8.39%	3.03%	14.75%	8.24%					
30	"13. ""Демократическая партия России"""	16	0	0	3	0	1	0	0	2	0	1	0	0	3	0	1	0	0	1	0	3	1					
		0.12%	0.0%	0.0%	0.41%	0.0%	0.14%	0.0%	0.0%	0.46%	0.0%	0.18%	0.0%	0.0%	0.45%	0.0%	0.20%	0.0%	0.0%	0.17%	0.0%	1.63%	0.08%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	0	4	2	2	1	0	1	1	0	0	0	0	6	0	1	1	0	0	0	1	1					
		0.16%	0.0%	0.27%	0.27%	0.16%	0.14%	0.0%	0.26%	0.23%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.20%	0.25%	0.0%	0.0%	0.0%	0.54%	0.08%					
32	"15. ""Партия СЛОН"""	14	1	1	2	2	1	1	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1					
