Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Акшинская 																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8635	1645	1663	326	150	240	664	756	128	553	313	166	279	188	301	806	457									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8800	1670	1690	340	150	260	680	760	125	580	330	170	290	180	300	810	465									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	21	0	0	0	0	6	1	5	0	2	0	0	0	0	0	7	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3430	662	680	146	65	113	263	243	89	151	179	53	120	106	145	278	137									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	332	35	44	34	7	9	13	27	3	30	19	21	12	8	20	25	25									
6	Число погашенных избирательных бюллетеней	5017	973	966	160	78	132	403	485	33	397	132	96	158	66	135	500	303									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	344	35	44	34	7	6	14	32	3	32	19	21	12	8	20	32	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3430	662	680	146	65	113	263	243	89	151	179	53	120	106	145	278	137									
9	Число недействительных избирательных бюллетеней	180	32	33	10	0	1	19	19	2	5	13	3	5	4	10	19	5									
10	Число действительных избирательных бюллетеней	3594	665	691	170	72	118	258	256	90	178	185	71	127	110	155	291	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	348	59	88	6	15	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	53	18	12	0	1	1	2	3	0	1	4	5	0	1	0	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	9	7	3	0	1	2	5	3	3	3	2	1	1	3	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	295	41	76	6	14	14	13	12	15	14	11	10	15	14	15	12	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	7	8	0	0	0	0	0	0	0	2	0	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	6	3	1	0	2	4	3	0	2	2	0	3	2	1	0	2									
		0.82%	0.86%	0.41%	0.56%	0.00%	1.68%	1.44%	1.09%	0.00%	1.09%	1.01%	0.00%	2.27%	1.75%	0.61%	0.00%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	124	29	30	5	5	3	9	5	0	6	2	0	6	2	6	10	6									
		3.29%	4.16%	4.14%	2.78%	6.94%	2.52%	3.25%	1.82%	0.00%	3.28%	1.01%	0.00%	4.55%	1.75%	3.64%	3.23%	3.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	19	9	0	0	1	4	5	0	4	1	2	3	0	4	5	0									
		1.51%	2.73%	1.24%	0.00%	0.00%	0.84%	1.44%	1.82%	0.00%	2.19%	0.51%	2.70%	2.27%	0.00%	2.42%	1.61%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1578	274	275	94	31	56	128	114	30	70	81	25	49	52	67	143	89									
		41.81%	39.31%	37.98%	52.22%	43.06%	47.06%	46.21%	41.45%	32.61%	38.25%	40.91%	33.78%	37.12%	45.61%	40.61%	46.13%	54.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	3	2	1	0	0	2	1	0	0	1	0	1	0	0	1	1									
		0.34%	0.43%	0.28%	0.56%	0.00%	0.00%	0.72%	0.36%	0.00%	0.00%	0.51%	0.00%	0.76%	0.00%	0.00%	0.32%	0.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	1	2	1	0	1	0	1	5	51	3	0	0	0	1	0	0									
		1.75%	0.14%	0.28%	0.56%	0.00%	0.84%	0.00%	0.36%	5.43%	27.87%	1.52%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	942	175	187	31	24	24	67	83	33	1	67	24	36	34	45	77	34									
		24.96%	25.11%	25.83%	17.22%	33.33%	20.17%	24.19%	30.18%	35.87%	0.55%	33.84%	32.43%	27.27%	29.82%	27.27%	24.84%	20.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.43%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	5	5	0	0	1	0	2	1	0	0	0	1	0	0	0	0									
		0.40%	0.72%	0.69%	0.00%	0.00%	0.84%	0.00%	0.73%	1.09%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	3	0	0	2	0	1	0	2	0	0	0	1	0	1	0									
