Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Хорошевский район																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №3417									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46676	3506	2877	2488	2850	2740	2068	2617	2074	2098	2444	2666	2612	2322	2450	2256	2555	1868	1890	1786	509									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32100	2000	1900	1750	1950	1850	1400	1850	1400	2500	1700	1850	1700	1600	1650	1500	1700	1200	1100	1200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18561	1583	960	920	1096	1009	802	1070	855	2080	905	859	924	793	811	828	922	799	552	563	230									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	342	9	11	18	12	28	16	34	17	18	20	27	40	0	1	12	4	40	30	2	3									
6	Число погашенных избирательных бюллетеней	13197	408	929	812	842	813	582	746	528	402	775	964	736	807	838	660	774	361	518	635	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	342	9	11	18	12	28	16	34	17	18	20	27	40	0	1	12	4	40	30	2	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18535	1582	960	920	1096	1007	802	1067	854	2077	904	854	919	793	811	827	922	798	551	563	228									
9	Число недействительных избирательных бюллетеней	322	38	16	17	18	11	11	21	11	50	28	10	15	9	8	11	17	10	10	5	6									
10	Число действительных избирательных бюллетеней	18555	1553	955	921	1090	1024	807	1080	860	2045	896	871	944	784	804	828	909	828	571	560	225									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	20	20	20	20	20	25	20	30	100	20	20	20	20	20	20	20	35	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	347	15	17	16	13	12	19	16	25	94	16	7	15	9	9	7	7	28	14	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2015	646	193	18	85	122	69	15	96	49	61	7	17	69	113	153	116	22	20	43	101									
14	Число погашенных неиспользованных открепительных удостоверений	153	5	3	4	7	8	6	4	5	6	4	13	5	11	11	13	13	7	6	16	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	3	3	0	5	2	2	1	2	9	0	1	1	1	2	5	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	785	54	42	36	45	31	37	65	42	104	21	31	36	39	35	42	33	32	25	23	12									
		4.16%	3.39%	4.33%	3.84%	4.06%	2.99%	4.52%	5.90%	4.82%	4.96%	2.27%	3.52%	3.75%	4.92%	4.31%	5.01%	3.56%	3.82%	4.30%	4.07%	5.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	286	32	12	16	16	13	13	13	7	25	24	19	15	8	11	6	15	16	16	5	4									
		1.52%	2.01%	1.24%	1.71%	1.44%	1.26%	1.59%	1.18%	0.80%	1.19%	2.60%	2.16%	1.56%	1.01%	1.35%	0.72%	1.62%	1.91%	2.75%	0.88%	1.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	473	48	30	31	39	30	26	35	23	28	19	22	27	9	17	18	15	28	12	11	5									
		2.51%	3.02%	3.09%	3.30%	3.52%	2.90%	3.18%	3.18%	2.64%	1.34%	2.06%	2.50%	2.82%	1.13%	2.09%	2.15%	1.62%	3.34%	2.07%	1.95%	2.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6290	575	347	312	355	324	253	300	289	1004	220	266	234	237	220	261	296	278	189	230	100									
