Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Великий Новгород																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
1	"Число избирателей, внесенных в список избирателей"	184986	1485	1604	1484	2943	2880	2758	2756	2781	2024	1756	2250	2723	2680	2068	2622	2136	1871	989	2328	1818	1040	1996	881	2050	1595	2541	2358	2832	2304	1548	2294	2843	2643	2150	2150	2703	2763	1959	2453	2637	2129	2193	2150	1815	2813	2640	2559	2554	2706	2150	2149	1751	2581	1751	2207	2666	1452	2403	1878	2259	2104	2822	1922	2599	2267	2358	1294	2454	1221	2232	2335	2658	2718	2977	2733	2797	1241	2843	1314	1908	1321	3075	2396	895					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	179750	1400	1600	1400	2900	2700	2700	2600	2500	2000	1700	2100	2700	2600	2000	2500	2100	1800	850	2300	1600	1000	1900	850	1850	1600	2500	2400	2800	2300	1600	2300	2800	2600	2100	2150	2750	2700	1900	2500	2600	2100	2200	2100	1800	2800	2600	2600	2500	2700	2100	2100	1700	2300	1700	2200	2200	1400	2400	1800	2300	2100	2800	1900	2600	2300	2300	1200	2400	1200	2200	2200	2600	2700	2800	2700	2800	1200	2700	1300	1800	1300	2500	2400	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	100496	708	822	786	1486	1524	1576	1462	1460	1244	1007	1127	1430	1566	1219	1559	1148	986	636	1282	923	529	1029	353	987	805	1496	1253	1399	1297	847	1224	1412	1205	1060	1108	1411	1458	962	1511	1525	1265	1257	1245	1002	1583	1610	1475	1372	1505	1076	1258	992	1317	1042	1292	1663	843	1299	951	1288	1283	1574	1119	1358	1247	1385	781	1282	605	1139	1185	1426	1529	1689	1504	1599	681	1457	739	1054	743	1245	1290	425					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2234	107	9	10	53	10	18	18	26	25	11	20	16	15	20	25	18	16	13	24	77	11	18	0	195	20	11	13	22	19	12	33	25	17	41	15	22	13	5	13	11	13	5	10	7	11	15	13	19	17	15	20	16	93	14	16	13	14	15	16	27	25	15	14	17	6	12	17	16	12	16	15	21	10	7	23	21	13	19	15	12	15	484	12	1					
6	Число погашенных избирательных бюллетеней	76709	585	769	604	1361	866	1106	1120	1014	731	682	953	1254	1019	761	916	934	798	201	994	600	460	853	497	668	775	993	1134	1379	984	741	1043	1363	1378	999	1027	1317	1229	933	976	1064	822	938	845	791	1206	975	1103	1109	1178	1009	822	692	890	644	892	524	543	1086	833	985	792	1211	767	1225	1047	903	402	1102	583	1045	1000	1153	1161	1104	1173	1180	506	1224	546	732	542	771	1098	474					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2233	106	9	10	53	10	18	18	27	25	11	20	16	15	20	25	18	16	13	24	77	11	18	0	195	20	11	13	22	19	12	33	25	17	41	15	22	13	5	13	11	13	5	10	7	11	15	13	19	17	15	20	16	93	14	16	13	14	15	16	27	25	15	14	17	6	12	17	16	12	16	15	21	10	7	23	21	13	19	15	12	15	483	12	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	100042	707	820	786	1483	1519	1576	1459	1458	1233	990	1127	1425	1557	1183	1470	1147	985	636	1280	923	529	1029	353	987	805	1496	1252	1399	1297	838	1224	1412	1203	1060	1108	1409	1445	959	1532	1524	1259	1248	1245	1000	1572	1609	1475	1366	1505	1073	1258	992	1317	1040	1292	1610	843	1298	949	1288	1278	1571	1119	1358	1247	1385	781	1282	604	1139	1182	1426	1435	1689	1489	1597	680	1456	739	1052	728	1242	1274	425					
9	Число недействительных избирательных бюллетеней	1674	37	7	14	23	16	24	22	20	21	20	15	23	23	45	30	22	17	12	31	18	6	13	10	18	17	25	28	22	19	16	30	27	23	22	15	18	17	14	15	28	16	11	19	12	19	33	23	27	14	17	8	18	38	7	18	26	15	25	14	27	41	20	15	27	15	15	25	19	4	11	9	17	14	24	29	39	6	28	10	12	8	44	22	10					
10	Число действительных избирательных бюллетеней	100601	776	822	782	1513	1513	1570	1455	1465	1237	981	1132	1418	1549	1158	1465	1143	984	637	1273	982	534	1034	343	1164	808	1482	1237	1399	1297	834	1227	1410	1197	1079	1108	1413	1441	950	1530	1507	1256	1242	1236	995	1564	1591	1465	1358	1508	1071	1270	990	1372	1047	1290	1597	842	1288	951	1288	1262	1566	1118	1348	1238	1382	773	1279	612	1144	1188	1430	1431	1672	1483	1579	687	1447	744	1052	735	1681	1264	416					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3207	18	25	25	35	50	55	77	62	30	20	25	30	30	37	40	35	35	35	30	37	25	45	25	25	17	45	50	52	55	105	35	40	50	30	45	47	40	40	35	30	35	27	35	30	45	45	75	60	90	50	50	20	35	25	40	25	30	45	25	35	25	50	35	25	38	41	15	27	15	35	38	40	41	32	40	42	20	50	20	32	20	65	42	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2514	16	20	16	34	46	50	65	62	21	19	20	18	25	32	36	33	27	13	24	30	23	25	18	20	11	25	44	46	37	88	35	38	42	23	30	40	31	30	35	22	27	25	35	24	39	36	50	44	50	35	43	12	23	17	31	19	15	36	15	34	17	44	33	18	24	34	15	27	6	25	23	33	31	31	27	37	15	40	15	24	14	44	37	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2004	2	14	5	18	37	19	13	19	18	13	15	14	19	23	24	15	36	22	15	20	20	26	24	19	20	21	19	19	16	4	11	12	14	13	13	13	17	15	14	13	14	28	5	8	17	10	12	23	16	11	8	39	26	48	24	428	16	15	9	10	17	32	12	32	13	20	28	9	12	18	20	12	13	19	17	9	24	37	27	66	13	81	11	11					
14	Число погашенных неиспользованных открепительных удостоверений	693	2	5	9	1	4	5	12	0	9	1	5	12	5	5	4	2	8	22	6	7	2	20	7	5	6	20	6	6	18	17	0	2	8	7	15	7	9	10	0	8	8	2	0	6	6	9	25	16	40	15	7	8	12	8	9	6	15	9	10	1	8	6	2	7	14	7	0	0	9	10	15	7	10	1	13	5	5	10	5	8	6	21	5	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	2	1	0	2	7	4	2	1	2	2	0	2	1	3	1	0	1	1	0	1	0	0	1	5	2	1	2	2	0	1	3	2	1	1	1	3	1	1	1	5	3	1	1	2	0	1	2	1	1	2	0	1	2	3	1	1	1	1	2	2	0	7	0	2	1	2	0	2	0	2	0	1	1	1	2	4	1	1	1	1	3	0	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	311	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																											
