Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Гагаринский район																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №3347					
1	"Число избирателей, внесенных в список избирателей"	47655	2633	2164	1708	2263	2346	2078	1898	1739	1915	1779	1969	1542	2239	2401	2414	2508	2394	2112	2295	2385	2049	2724	100					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40000	2250	1800	1300	1900	2000	1800	1600	1400	1600	1500	1700	1300	1900	2000	2000	2100	2000	1800	1900	2000	1700	2300	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26324	1271	1111	1020	1188	1508	1078	1010	923	1382	990	1050	821	1616	1661	1273	1220	1131	1037	1166	1218	966	1584	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	630	42	23	18	29	51	15	27	19	15	18	17	10	17	72	29	33	73	18	34	28	23	19	0					
6	Число погашенных избирательных бюллетеней	13046	937	666	262	683	441	707	563	458	203	492	633	469	267	267	698	847	796	745	700	754	711	697	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	630	42	23	18	29	51	15	27	19	15	18	17	10	17	72	29	33	73	18	34	28	23	19	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26010	1266	1111	1019	1188	1502	1073	1009	923	1382	987	1048	821	1505	1650	1273	1220	1127	1035	1155	1212	966	1438	100					
9	Число недействительных избирательных бюллетеней	481	21	21	11	18	29	23	19	19	33	19	13	23	41	38	33	19	24	13	32	22	10	0	0					
10	Число действительных избирательных бюллетеней	26159	1287	1113	1026	1199	1524	1065	1017	923	1364	986	1052	808	1481	1684	1269	1234	1176	1040	1157	1218	979	1457	100					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	960	40	40	40	40	60	60	40	20	40	40	40	20	60	60	40	40	60	40	40	40	40	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	731	37	35	34	38	41	44	35	13	31	27	35	19	42	40	34	28	50	28	19	31	23	47	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1128	72	25	345	34	31	30	34	56	52	30	14	40	53	39	32	31	22	24	23	46	17	44	34					
14	Число погашенных неиспользованных открепительных удостоверений	229	3	5	6	2	19	16	5	7	9	13	5	1	18	20	6	12	10	12	21	9	17	13	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	0	0	0	1	0	1	0	3	2	3	0	1	0	0	3	2	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4554	232	220	176	221	225	181	178	153	133	183	200	146	240	201	282	235	225	192	215	247	209	247	13					
		17.09%	17.74%	19.40%	16.97%	18.16%	14.49%	16.64%	17.18%	16.24%	9.52%	18.21%	18.78%	17.57%	15.77%	11.67%	21.66%	18.75%	18.75%	18.23%	18.08%	19.92%	21.13%	16.95%	13.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2057	123	110	48	87	113	112	83	67	95	66	73	76	105	75	113	107	126	103	103	63	66	125	18					
		7.72%	9.40%	9.70%	4.63%	7.15%	7.28%	10.29%	8.01%	7.11%	6.80%	6.57%	6.85%	9.15%	6.90%	4.36%	8.68%	8.54%	10.50%	9.78%	8.66%	5.08%	6.67%	8.58%	18.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	406	20	16	12	15	24	29	20	16	13	22	19	13	14	18	15	12	23	31	15	11	16	27	5					
		1.52%	1.53%	1.41%	1.16%	1.23%	1.55%	2.67%	1.93%	1.70%	0.93%	2.19%	1.78%	1.56%	0.92%	1.05%	1.15%	0.96%	1.92%	2.94%	1.26%	0.89%	1.62%	1.85%	5.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7020	364	316	258	374	412	320	313	241	271	294	313	224	339	313	382	369	275	294	345	299	288	404	12					
		26.35%	27.83%	27.87%	24.88%	30.73%	26.53%	29.41%	30.21%	25.58%	19.40%	29.25%	29.39%	26.96%	22.27%	18.18%	29.34%	29.45%	22.92%	27.92%	29.02%	24.11%	29.12%	27.73%	12.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5523	267	258	178	260	249	245	259	175	138	238	264	195	306	260	258	266	243	235	274	412	243	291	9					
		20.73%	20.41%	22.75%	17.16%	21.36%	16.03%	22.52%	25.00%	18.58%	9.88%	23.68%	24.79%	23.47%	20.11%	15.10%	19.82%	21.23%	20.25%	22.32%	23.04%	33.23%	24.57%	19.97%	9.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6315	265	184	350	226	488	160	153	259	706	175	169	148	460	809	205	232	265	168	194	166	147	346	40					
		23.70%	20.26%	16.23%	33.75%	18.57%	31.42%	14.71%	14.77%	27.49%	50.54%	17.41%	15.87%	17.81%	30.22%	46.98%	15.75%	18.52%	22.08%	15.95%	16.32%	13.39%	14.86%	23.75%	40.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	284	16	9	4	16	13	18	11	12	8	8	14	6	17	8	14	13	19	17	11	20	10	17	3					
