Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мирнинская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19201	2112	2038	2638	2174	2319	2063	2673	224	1018	493	207	344	208	168	109	199	214									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17920	2000	2000	2000	2000	2000	2000	2300	250	1100	590	230	400	250	220	120	200	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10456	969	970	1346	894	947	925	1272	200	991	493	207	344	208	168	109	199	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	79	4	1	2	3	7	4	7	24	27	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	7385	1027	1029	652	1103	1046	1071	1021	26	82	97	23	56	42	52	11	1	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	79	4	1	2	3	7	4	7	24	27	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10450	969	966	1346	894	947	923	1272	200	991	493	207	344	208	168	109	199	214									
9	Число недействительных избирательных бюллетеней	149	9	13	20	15	17	15	25	0	0	1	3	10	1	1	0	8	11									
10	Число действительных избирательных бюллетеней	10380	964	954	1328	882	937	912	1254	224	1018	492	204	334	207	167	109	191	203									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	22	30	20	20	20	30	30	0	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	17	27	14	16	17	22	23	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	4	7	19	10	5	5	16	0	73	0	0	1	0	0	3	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	63	5	3	6	4	3	8	7	0	3	3	3	3	3	3	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	276	33	42	42	29	40	34	56	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	110	13	13	26	12	10	13	20	1	1	0	0	0	0	0	0	0	1									
		1.04%	1.34%	1.34%	1.93%	1.34%	1.05%	1.40%	1.56%	0.45%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	116	20	14	21	9	14	15	18	0	1	2	0	0	1	0	0	0	1									
		1.10%	2.06%	1.45%	1.56%	1.00%	1.47%	1.62%	1.41%	0.00%	0.10%	0.41%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	165	19	24	22	23	18	21	33	2	1	2	0	0	0	0	0	0	0									
		1.57%	1.95%	2.48%	1.63%	2.56%	1.89%	2.27%	2.58%	0.89%	0.10%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6796	525	498	737	467	499	458	668	185	966	429	202	324	204	166	109	174	185									
		64.55%	53.96%	51.50%	54.67%	52.06%	52.31%	49.41%	52.23%	82.59%	94.89%	87.02%	97.58%	94.19%	98.08%	98.81%	100.00%	87.44%	86.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	14	12	16	5	9	6	7	0	3	10	1	1	0	0	0	1	1									
		0.82%	1.44%	1.24%	1.19%	0.56%	0.94%	0.65%	0.55%	0.00%	0.29%	2.03%	0.48%	0.29%	0.00%	0.00%	0.00%	0.50%	0.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	4	3	2	1	1	3	5	0	1	0	0	0	0	0	0	2	0									
		0.21%	0.41%	0.31%	0.15%	0.11%	0.10%	0.32%	0.39%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1427	159	190	221	161	191	188	222	22	19	26	0	4	1	1	0	11	11									
		13.55%	16.34%	19.65%	16.39%	17.95%	20.02%	20.28%	17.36%	9.82%	1.87%	5.27%	0.00%	1.16%	0.48%	0.60%	0.00%	5.53%	5.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	3	8	6	7	0	2	9	2	2	3	0	0	0	0	0	0	0									
		0.40%	0.31%	0.83%	0.45%	0.78%	0.00%	0.22%	0.70%	0.89%	0.20%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	12	10	8	10	7	11	8	3	2	0	1	0	0	0	0	0	0									
		0.68%	1.23%	1.03%	0.59%	1.11%	0.73%	1.19%	0.63%	1.34%	0.20%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	2	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0									
		0.09%	0.21%	0.10%	0.15%	0.11%	0.10%	0.11%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	82	3	8	14	9	14	13	9	2	2	6	0	2	0	0	0	0	0									
		0.78%	0.31%	0.83%	1.04%	1.00%	1.47%	1.40%	0.70%	0.89%	0.20%	1.22%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	952	128	117	159	109	104	121	177	5	14	11	0	3	1	0	0	1	2									
		9.04%	13.16%	12.10%	11.80%	12.15%	10.90%	13.05%	13.84%	2.23%	1.38%	2.23%	0.00%	0.87%	0.48%	0.00%	0.00%	0.50%	0.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	3	0	8	3	5	2	7	1	1	1	0	0	0	0	0	0	0									
		0.29%	0.31%	0.00%	0.59%	0.33%	0.52%	0.22%	0.55%	0.45%	0.10%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	470	59	56	86	65	64	58	71	1	4	2	0	0	0	0	0	2	2									
		4.46%	6.06%	5.79%	6.38%	7.25%	6.71%	6.26%	5.55%	0.45%	0.39%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.93%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
